Time,Extension,Load,Strain 1,Tensile strain,Tensile stress
(sec),(mm),(N),,(%),(MPa)
0.00000,0.00000,-0.34030,0.00000,0.00000,-0.00537
0.10000,0.00078,0.61065,0.00000,0.00311,0.00963
0.20000,0.00395,2.97422,0.00000,0.01578,0.04690
0.30000,0.00975,11.15327,0.00000,0.03898,0.17586
0.40000,0.01525,16.62842,0.00000,0.06099,0.26220
0.50000,0.02015,20.33260,0.00000,0.08060,0.32060
0.60000,0.02469,22.65119,0.00000,0.09877,0.35716
0.70000,0.02906,26.57309,0.00000,0.11623,0.41900
0.80000,0.03336,28.93260,0.00000,0.13345,0.45621
0.90000,0.03743,32.14065,0.00000,0.14971,0.50679
1.00000,0.04149,35.10044,0.00000,0.16598,0.55346
1.10000,0.04574,38.32397,0.00000,0.18296,0.60429
1.20000,0.04992,39.76194,0.00000,0.19970,0.62696
1.30000,0.05423,42.81743,0.00000,0.21692,0.67514
1.40000,0.05835,45.83028,0.00000,0.23342,0.72265
1.50000,0.06242,48.52043,0.00000,0.24968,0.76507
1.60000,0.06655,51.43984,0.00000,0.26618,0.81110
1.70000,0.07073,54.44555,0.00000,0.28292,0.85849
1.80000,0.07504,58.06897,0.00000,0.30014,0.91563
1.90000,0.07922,60.40914,0.00000,0.31688,0.95253
2.00000,0.08335,64.35415,0.00000,0.33339,1.01473
2.10000,0.08747,66.93367,0.00000,0.34989,1.05540
2.20000,0.09160,69.83610,0.00000,0.36639,1.10117
2.30000,0.09584,73.29736,0.00000,0.38337,1.15575
2.40000,0.10009,76.38897,0.00000,0.40035,1.20449
2.50000,0.10427,79.22963,0.00000,0.41709,1.24928
2.60000,0.10834,82.60117,0.00000,0.43335,1.30245
2.70000,0.11240,86.27975,0.00000,0.44962,1.36045
2.80000,0.11659,89.38189,0.00000,0.46636,1.40936
2.90000,0.12077,93.25323,0.00000,0.48310,1.47041
3.00000,0.12502,97.03832,0.00000,0.50008,1.53009
3.10000,0.12921,100.79845,0.00000,0.51682,1.58938
3.20000,0.13327,104.14229,0.00000,0.53308,1.64210
3.30000,0.13740,108.30424,0.00000,0.54958,1.70773
3.40000,0.14158,111.46774,0.00000,0.56633,1.75761
3.50000,0.14583,115.76953,0.00000,0.58331,1.82544
3.60000,0.15007,119.86946,0.00000,0.60029,1.89009
3.70000,0.15426,124.48343,0.00000,0.61703,1.96284
3.80000,0.15838,128.15564,0.00000,0.63353,2.02075
3.90000,0.16239,133.11587,0.00000,0.64955,2.09896
4.00000,0.16663,137.63194,0.00000,0.66653,2.17017
4.10000,0.17082,143.25941,0.00000,0.68327,2.25890
4.20000,0.17506,148.16516,0.00000,0.70025,2.33625
4.30000,0.17925,153.75729,0.00000,0.71700,2.42443
4.40000,0.18325,158.31327,0.00000,0.73302,2.49627
4.50000,0.18738,163.82666,0.00000,0.74952,2.58320
4.60000,0.19163,169.45521,0.00000,0.76650,2.67195
4.70000,0.19587,174.76076,0.00000,0.78348,2.75561
4.80000,0.20018,180.07206,0.00000,0.80070,2.83936
4.90000,0.20418,185.77875,0.00000,0.81672,2.92934
5.00000,0.20825,192.09476,0.00000,0.83299,3.02893
5.10000,0.21237,197.02937,0.00000,0.84949,3.10674
5.20000,0.21656,202.85312,0.00000,0.86623,3.19857
5.30000,0.22092,209.10955,0.00000,0.88369,3.29722
5.40000,0.22505,214.69202,0.00000,0.90019,3.38524
5.50000,0.22905,221.35279,0.00000,0.91621,3.49027
5.60000,0.23318,227.89754,0.00000,0.93272,3.59346
5.70000,0.23736,234.16425,0.00000,0.94946,3.69228
5.80000,0.24167,240.98770,0.00000,0.96668,3.79987
5.90000,0.24591,247.58005,0.00000,0.98366,3.90382
6.00000,0.25004,253.92720,0.00000,1.00016,4.00390
6.10000,0.25411,260.56254,0.00000,1.01642,4.10852
6.20000,0.25823,267.70069,0.00000,1.03292,4.22108
6.30000,0.26248,274.35245,0.00000,1.04990,4.32596
6.40000,0.26672,281.78759,0.00000,1.06688,4.44320
6.50000,0.27091,288.37014,0.00000,1.08362,4.54699
6.60000,0.27503,295.35575,0.00000,1.10013,4.65714
6.70000,0.27904,303.00315,0.00000,1.11615,4.77772
6.80000,0.28328,311.03827,0.00000,1.13313,4.90442
6.90000,0.28747,317.90058,0.00000,1.14987,5.01262
7.00000,0.29165,326.35925,0.00000,1.16661,5.14600
7.10000,0.29584,334.54185,0.00000,1.18335,5.27502
7.20000,0.29996,343.20422,0.00000,1.19986,5.41161
7.30000,0.30409,352.39190,0.00000,1.21636,5.55648
7.40000,0.30827,361.24547,0.00000,1.23310,5.69608
7.50000,0.31246,370.64508,0.00000,1.24984,5.84429
7.60000,0.31665,380.32203,0.00000,1.26658,5.99688
7.70000,0.32089,390.27426,0.00000,1.28356,6.15380
7.80000,0.32496,399.27904,0.00000,1.29982,6.29579
7.90000,0.32908,409.59241,0.00000,1.31633,6.45841
8.00000,0.33327,419.65963,0.00000,1.33307,6.61715
8.10000,0.33745,430.83676,0.00000,1.34981,6.79339
8.20000,0.34170,439.83613,0.00000,1.36679,6.93529
8.30000,0.34594,451.09694,0.00000,1.38377,7.11285
8.40000,0.34995,461.13292,0.00000,1.39979,7.27110
8.50000,0.35407,471.28508,0.00000,1.41629,7.43117
8.60000,0.35826,482.23794,0.00000,1.43303,7.60388
8.70000,0.36250,493.03733,0.00000,1.45001,7.77416
8.80000,0.36681,504.98373,0.00000,1.46723,7.96253
8.90000,0.37087,515.34423,0.00000,1.48350,8.12589
9.00000,0.37494,525.59641,0.00000,1.49976,8.28755
9.10000,0.37901,536.74825,0.00000,1.51602,8.46339
9.20000,0.38325,547.35537,0.00000,1.53300,8.63064
9.30000,0.38756,558.76425,0.00000,1.55022,8.81054
9.40000,0.39174,569.84476,0.00000,1.56696,8.98525
9.50000,0.39581,579.77741,0.00000,1.58323,9.14187
9.60000,0.39987,591.08865,0.00000,1.59949,9.32022
9.70000,0.40406,602.42200,0.00000,1.61623,9.49893
9.80000,0.40830,614.22759,0.00000,1.63321,9.68508
9.90000,0.41255,624.96015,0.00000,1.65019,9.85431
10.00000,0.41673,635.83553,0.00000,1.66693,10.02579
10.10000,0.42074,647.08041,0.00000,1.68295,10.20310
10.20000,0.42486,658.58690,0.00000,1.69946,10.38453
10.30000,0.42917,671.26225,0.00000,1.71668,10.58439
10.40000,0.43335,683.00250,0.00000,1.73342,10.76951
10.50000,0.43754,694.38163,0.00000,1.75016,10.94894
10.60000,0.44172,704.93342,0.00000,1.76690,11.11532
10.70000,0.44579,716.52727,0.00000,1.78316,11.29813
10.80000,0.44998,728.58306,0.00000,1.79990,11.48822
10.90000,0.45416,739.96573,0.00000,1.81664,11.66770
11.00000,0.45835,752.04554,0.00000,1.83339,11.85818
11.10000,0.46253,762.87473,0.00000,1.85013,12.02893
11.20000,0.46666,774.87673,0.00000,1.86663,12.21818
11.30000,0.47078,787.46751,0.00000,1.88313,12.41671
11.40000,0.47491,798.60389,0.00000,1.89963,12.59230
11.50000,0.47909,810.20324,0.00000,1.91637,12.77520
11.60000,0.48328,821.87075,0.00000,1.93311,12.95917
11.70000,0.48752,834.05171,0.00000,1.95009,13.15124
11.80000,0.49171,845.60569,0.00000,1.96683,13.33342
11.90000,0.49577,858.04956,0.00000,1.98310,13.52964
12.00000,0.49990,870.25482,0.00000,1.99960,13.72209
12.10000,0.50409,882.02348,0.00000,2.01634,13.90765
12.20000,0.50833,894.39377,0.00000,2.03332,14.10271
12.30000,0.51258,906.08578,0.00000,2.05030,14.28707
12.40000,0.51658,918.20797,0.00000,2.06632,14.47821
12.50000,0.52071,929.25169,0.00000,2.08283,14.65234
12.60000,0.52489,941.92801,0.00000,2.09957,14.85222
12.70000,0.52914,953.44754,0.00000,2.11655,15.03386
12.80000,0.53344,965.61657,0.00000,2.13377,15.22574
12.90000,0.53757,977.22923,0.00000,2.15027,15.40885
13.00000,0.54157,989.20185,0.00000,2.16629,15.59763
13.10000,0.54570,1001.07240,0.00000,2.18279,15.78481
13.20000,0.54994,1013.82388,0.00000,2.19977,15.98587
13.30000,0.55419,1026.74970,0.00000,2.21676,16.18968
