Time,Extension,Load,Strain 1,Tensile strain,Tensile stress
(sec),(mm),(N),,(%),(MPa)
0.00000,0.00000,-0.38219,0.00000,0.00000,-0.00782
0.10000,0.00060,0.84913,0.00000,0.00239,0.01736
0.20000,0.00383,2.00683,0.00000,0.01531,0.04104
0.30000,0.00981,4.27740,0.00000,0.03922,0.08747
0.40000,0.01525,8.44453,0.00000,0.06099,0.17269
0.50000,0.02009,11.44284,0.00000,0.08036,0.23400
0.60000,0.02469,13.67366,0.00000,0.09877,0.27963
0.70000,0.02912,17.61603,0.00000,0.11647,0.36025
0.80000,0.03342,19.82003,0.00000,0.13369,0.40532
0.90000,0.03743,24.48113,0.00000,0.14971,0.50064
1.00000,0.04155,28.03833,0.00000,0.16621,0.57338
1.10000,0.04574,33.18646,0.00000,0.18296,0.67866
1.20000,0.04998,37.92172,0.00000,0.19994,0.77550
1.30000,0.05417,44.00455,0.00000,0.21668,0.89989
1.40000,0.05829,48.97824,0.00000,0.23318,1.00160
1.50000,0.06242,54.66855,0.00000,0.24968,1.11797
1.60000,0.06655,60.72407,0.00000,0.26618,1.24180
1.70000,0.07073,67.80225,0.00000,0.28292,1.38655
1.80000,0.07498,74.31973,0.00000,0.29990,1.51983
1.90000,0.07922,81.23750,0.00000,0.31688,1.66130
2.00000,0.08335,88.16658,0.00000,0.33339,1.80300
2.10000,0.08735,95.61352,0.00000,0.34941,1.95529
2.20000,0.09154,102.79693,0.00000,0.36615,2.10219
2.30000,0.09578,109.84637,0.00000,0.38313,2.24635
2.40000,0.10003,118.44636,0.00000,0.40011,2.42222
2.50000,0.10427,125.52557,0.00000,0.41709,2.56698
2.60000,0.10834,133.02929,0.00000,0.43335,2.72044
2.70000,0.11240,140.31969,0.00000,0.44962,2.86952
2.80000,0.11665,147.25656,0.00000,0.46660,3.01138
2.90000,0.12083,155.07594,0.00000,0.48334,3.17129
3.00000,0.12508,163.29064,0.00000,0.50032,3.33928
3.10000,0.12926,171.49384,0.00000,0.51706,3.50703
3.20000,0.13327,179.18263,0.00000,0.53308,3.66427
3.30000,0.13740,187.06261,0.00000,0.54958,3.82541
3.40000,0.14158,194.75877,0.00000,0.56633,3.98280
3.50000,0.14583,202.56985,0.00000,0.58331,4.14253
3.60000,0.15007,210.47536,0.00000,0.60029,4.30420
3.70000,0.15414,219.49622,0.00000,0.61655,4.48868
3.80000,0.15832,226.46398,0.00000,0.63329,4.63117
3.90000,0.16239,235.59658,0.00000,0.64955,4.81793
4.00000,0.16663,242.46376,0.00000,0.66653,4.95836
4.10000,0.17082,251.90862,0.00000,0.68327,5.15151
4.20000,0.17506,259.49448,0.00000,0.70025,5.30664
4.30000,0.17919,267.78583,0.00000,0.71676,5.47619
4.40000,0.18320,275.66573,0.00000,0.73278,5.63734
4.50000,0.18744,283.40211,0.00000,0.74976,5.79554
4.60000,0.19163,290.61874,0.00000,0.76650,5.94312
4.70000,0.19581,299.32689,0.00000,0.78324,6.12120
4.80000,0.20012,307.53384,0.00000,0.80046,6.28904
4.90000,0.20412,315.75067,0.00000,0.81649,6.45707
5.00000,0.20825,324.49700,0.00000,0.83299,6.63593
5.10000,0.21249,332.90957,0.00000,0.84997,6.80797
5.20000,0.21668,340.27796,0.00000,0.86671,6.95865
5.30000,0.22092,348.81313,0.00000,0.88369,7.13319
5.40000,0.22505,357.75080,0.00000,0.90019,7.31597
5.50000,0.22911,365.02283,0.00000,0.91645,7.46468
5.60000,0.23324,374.19063,0.00000,0.93296,7.65216
5.70000,0.23742,382.84704,0.00000,0.94970,7.82918
5.80000,0.24167,392.46916,0.00000,0.96668,8.02595
5.90000,0.24591,400.41604,0.00000,0.98366,8.18847
6.00000,0.24998,409.32172,0.00000,0.99992,8.37059
6.10000,0.25411,418.38894,0.00000,1.01642,8.55601
6.20000,0.25823,427.37792,0.00000,1.03292,8.73983
6.30000,0.26248,437.11322,0.00000,1.04990,8.93892
6.40000,0.26666,446.35762,0.00000,1.06664,9.12797
6.50000,0.27091,456.05134,0.00000,1.08362,9.32620
6.60000,0.27491,465.07702,0.00000,1.09965,9.51078
6.70000,0.27904,474.62182,0.00000,1.11615,9.70597
6.80000,0.28328,484.63000,0.00000,1.13313,9.91063
6.90000,0.28747,494.20465,0.00000,1.14987,10.10643
7.00000,0.29171,503.36979,0.00000,1.16685,10.29386
7.10000,0.29584,512.83431,0.00000,1.18335,10.48741
7.20000,0.29996,521.71596,0.00000,1.19986,10.66904
7.30000,0.30409,532.26491,0.00000,1.21636,10.88476
7.40000,0.30827,541.80571,0.00000,1.23310,11.07987
7.50000,0.31246,551.38492,0.00000,1.24984,11.27577
7.60000,0.31670,561.13410,0.00000,1.26682,11.47513
7.70000,0.32089,570.40271,0.00000,1.28356,11.66468
7.80000,0.32496,580.34863,0.00000,1.29982,11.86807
7.90000,0.32908,589.98549,0.00000,1.31633,12.06514
8.00000,0.33327,599.40908,0.00000,1.33307,12.25785
8.10000,0.33745,609.77638,0.00000,1.34981,12.46986
8.20000,0.34176,619.87927,0.00000,1.36703,12.67647
8.30000,0.34594,629.52833,0.00000,1.38377,12.87379
8.40000,0.34995,638.70130,0.00000,1.39979,13.06138
8.50000,0.35407,649.53542,0.00000,1.41629,13.28293
8.60000,0.35826,659.61597,0.00000,1.43303,13.48908
8.70000,0.36250,670.48008,0.00000,1.45001,13.71125
8.80000,0.36681,681.44635,0.00000,1.46723,13.93551
8.90000,0.37081,690.41373,0.00000,1.48326,14.11889
9.00000,0.37488,701.20851,0.00000,1.49952,14.33964
9.10000,0.37907,711.27745,0.00000,1.51626,14.54555
9.20000,0.38331,722.13220,0.00000,1.53324,14.76753
9.30000,0.38762,732.41028,0.00000,1.55046,14.97772
9.40000,0.39180,742.60863,0.00000,1.56720,15.18627
9.50000,0.39581,753.11307,0.00000,1.58323,15.40108
9.60000,0.39987,763.25689,0.00000,1.59949,15.60853
9.70000,0.40406,773.79402,0.00000,1.61623,15.82401
9.80000,0.40836,784.74497,0.00000,1.63345,16.04795
9.90000,0.41261,795.98390,0.00000,1.65043,16.27779
10.00000,0.41667,806.82179,0.00000,1.66669,16.49942
10.10000,0.42074,817.26182,0.00000,1.68295,16.71292
10.20000,0.42480,828.27564,0.00000,1.69922,16.93815
10.30000,0.42905,839.23433,0.00000,1.71620,17.16226
10.40000,0.43335,851.86902,0.00000,1.73342,17.42064
10.50000,0.43754,863.49435,0.00000,1.75016,17.65837
10.60000,0.44166,875.36527,0.00000,1.76666,17.90113
10.70000,0.44573,887.34683,0.00000,1.78292,18.14615
10.80000,0.44998,899.05271,0.00000,1.79990,18.38554
10.90000,0.45416,910.25550,0.00000,1.81664,18.61463
11.00000,0.45835,923.38109,0.00000,1.83339,18.88305
11.10000,0.46259,935.80764,0.00000,1.85037,19.13717
11.20000,0.46666,946.99562,0.00000,1.86663,19.36596
11.30000,0.47072,958.92372,0.00000,1.88289,19.60989
11.40000,0.47491,971.04106,0.00000,1.89963,19.85769
11.50000,0.47909,983.54332,0.00000,1.91637,20.11336
11.60000,0.48340,996.76112,0.00000,1.93359,20.38366
11.70000,0.48758,1009.53942,0.00000,1.95033,20.64498
11.80000,0.49171,1021.46864,0.00000,1.96683,20.88893
11.90000,0.49571,1035.33436,0.00000,1.98286,21.17248
12.00000,0.49990,1047.75634,0.00000,1.99960,21.42651
12.10000,0.50414,1062.17070,0.00000,2.01658,21.72128
12.20000,0.50839,1075.33308,0.00000,2.03356,21.99045
12.30000,0.51258,1087.85443,0.00000,2.05030,22.24651
12.40000,0.51658,1100.44917,0.00000,2.06632,22.50407
12.50000,0.52065,1113.79968,0.00000,2.08259,22.77709
12.60000,0.52483,1126.46399,0.00000,2.09933,23.03607
12.70000,0.52914,1140.00877,0.00000,2.11655,23.31306
12.80000,0.53350,1152.77097,0.00000,2.13401,23.57405
12.90000,0.53757,1165.22545,0.00000,2.15027,23.82874
13.00000,0.54157,1178.41335,0.00000,2.16629,24.09843
13.10000,0.54570,1192.09550,0.00000,2.18279,24.37823
13.20000,0.54994,1204.40638,0.00000,2.19977,24.62999
13.30000,0.55431,1218.72118,0.00000,2.21723,24.92272
13.40000,0.55849,1232.15578,0.00000,2.23397,25.19746
13.50000,0.56250,1245.25875,0.00000,2.25000,25.46541
