File name: osso25_p1_intacto_10MHz_rep1_med1.txt
Dia: terça-feira, 18 de fevereiro de 2020
Hora: 13:26

Frequency (min) -6dB: 7,86MHz
Frequency (central): 8,75MHz
Frequency (max) -6dB: 9,84MHz
FSAB:   7,15 dB/MHz
AIB: -19,41 dB
IRC:  -2,30 dB
Frequency (superior limit): 12,00MHz
Reflection duration: 982,1ns
Backscatter duration: 2,0us
Sample (initial): 34,3us
Reference (initial): 46,9us
dF (PDS): 78,1kHz

ABTF	Linear regression
-27,042559	0,826169
-26,483939	0,277427
-25,925319	-0,276839
-25,366699	-0,832092
-24,808079	-1,381702
-24,249459	-1,916453
-23,690839	-2,424171
-23,132220	-2,889690
-22,573600	-3,295503
-22,014980	-3,623393
-21,456360	-3,857118
-20,897740	-3,985679
-20,339120	-4,006128
-19,780500	-3,924751
-19,221881	-3,756077
-18,663261	-3,520238
-18,104641	-3,239808
-17,546021	-2,937201
-16,987401	-2,633103
-16,428781	-2,345891
-15,870161	-2,091716
-15,311542	-1,884906
-14,752922	-1,738441
-14,194302	-1,664353
-13,635682	-1,673965
