Time,Extension,Load,Strain 1,Tensile strain,Tensile stress
(sec),(mm),(N),(mm/mm),(%),(MPa)
0.00000,0.00000,12.79770,0.00068,0.06760,0.61955
0.10000,0.00227,14.10856,0.00069,0.06893,0.68301
0.20000,0.01148,16.13247,0.00079,0.07924,0.78099
0.30000,0.02206,20.53854,0.00094,0.09376,0.99430
0.40000,0.03193,24.85322,0.00108,0.10777,1.20317
0.50000,0.04102,28.13799,0.00121,0.12075,1.36219
0.60000,0.04969,32.73585,0.00133,0.13337,1.58478
0.70000,0.05818,35.48173,0.00145,0.14538,1.71771
0.80000,0.06661,39.05598,0.00157,0.15736,1.89075
0.90000,0.07492,42.19382,0.00169,0.16922,2.04265
1.00000,0.08329,45.92809,0.00181,0.18098,2.22344
1.10000,0.09166,49.95887,0.00193,0.19311,2.41857
1.20000,0.09997,52.76329,0.00205,0.20506,2.55434
1.30000,0.10834,55.95391,0.00218,0.21763,2.70880
1.40000,0.11659,59.48282,0.00229,0.22949,2.87964
1.50000,0.12490,62.71370,0.00241,0.24139,3.03605
1.60000,0.13333,66.10728,0.00254,0.25429,3.20034
1.70000,0.14158,69.60260,0.00266,0.26580,3.36955
1.80000,0.14989,72.98410,0.00278,0.27815,3.53325
1.90000,0.15838,76.12953,0.00291,0.29093,3.68552
2.00000,0.16663,79.65786,0.00303,0.30307,3.85634
2.10000,0.17500,82.52749,0.00316,0.31623,3.99526
2.20000,0.18331,86.50924,0.00328,0.32832,4.18802
2.30000,0.19163,89.85309,0.00341,0.34073,4.34990
2.40000,0.20000,92.35282,0.00353,0.35325,4.47091
2.50000,0.20831,96.42242,0.00366,0.36611,4.66793
2.60000,0.21668,99.20851,0.00379,0.37855,4.80281
2.70000,0.22499,102.71525,0.00391,0.39104,4.97257
2.80000,0.23330,106.38569,0.00404,0.40360,5.15026
2.90000,0.24167,108.58808,0.00416,0.41609,5.25688
3.00000,0.25004,113.11840,0.00429,0.42934,5.47620
3.10000,0.25829,116.02268,0.00442,0.44178,5.61680
3.20000,0.26666,118.84915,0.00454,0.45419,5.75363
3.30000,0.27503,122.70138,0.00467,0.46731,5.94013
3.40000,0.28328,125.26760,0.00480,0.48020,6.06436
3.50000,0.29159,128.55442,0.00493,0.49262,6.22348
3.60000,0.29996,131.87405,0.00506,0.50566,6.38419
3.70000,0.30821,135.70143,0.00519,0.51861,6.56947
3.80000,0.31653,138.46508,0.00531,0.53133,6.70327
3.90000,0.32496,141.48810,0.00544,0.54437,6.84961
4.00000,0.33327,144.79851,0.00557,0.55719,7.00987
4.10000,0.34164,148.47254,0.00570,0.57030,7.18774
4.20000,0.34995,151.87908,0.00583,0.58329,7.35265
4.30000,0.35814,154.68758,0.00596,0.59606,7.48862
4.40000,0.36651,158.47653,0.00609,0.60868,7.67204
4.50000,0.37494,161.28739,0.00622,0.62177,7.80812
4.60000,0.38331,164.64917,0.00635,0.63528,7.97087
4.70000,0.39162,167.80439,0.00648,0.64806,8.12362
4.80000,0.39999,170.60342,0.00662,0.66187,8.25912
4.90000,0.40830,174.26050,0.00675,0.67479,8.43617
5.00000,0.41667,177.57354,0.00688,0.68810,8.59655
5.10000,0.42504,180.59105,0.00701,0.70142,8.74264
5.20000,0.43335,183.07959,0.00715,0.71465,8.86311
5.30000,0.44172,187.23268,0.00728,0.72792,9.06417
5.40000,0.44998,189.97955,0.00741,0.74126,9.19715
5.50000,0.45829,193.02814,0.00754,0.75419,9.34473
5.60000,0.46666,196.25255,0.00768,0.76774,9.50083
5.70000,0.47491,199.43714,0.00781,0.78060,9.65500
5.80000,0.48322,203.25037,0.00794,0.79393,9.83960
5.90000,0.49171,206.19323,0.00807,0.80739,9.98207
6.00000,0.49990,209.05109,0.00821,0.82065,10.12042
