Time,Extension,Load,Strain 1,Tensile strain,Tensile stress
(sec),(mm),(N),(mm/mm),(%),(MPa)
0.00000,0.00006,17.12563,0.00062,0.06217,0.86031
0.10000,0.00419,18.15640,0.00065,0.06466,0.91209
0.20000,0.01381,21.74641,0.00077,0.07657,1.09243
0.30000,0.02356,26.44098,0.00089,0.08895,1.32827
0.40000,0.03270,30.11470,0.00101,0.10076,1.51281
0.50000,0.04143,33.18892,0.00113,0.11258,1.66725
0.60000,0.04992,36.79064,0.00124,0.12430,1.84818
0.70000,0.05835,40.70895,0.00135,0.13545,2.04502
0.80000,0.06673,44.16632,0.00147,0.14668,2.21870
0.90000,0.07498,47.91560,0.00158,0.15833,2.40704
1.00000,0.08323,51.13937,0.00170,0.16967,2.56899
1.10000,0.09172,54.67221,0.00182,0.18163,2.74646
1.20000,0.09997,57.89601,0.00193,0.19298,2.90841
1.30000,0.10834,60.90471,0.00205,0.20457,3.05955
1.40000,0.11677,65.41720,0.00216,0.21643,3.28624
1.50000,0.12502,68.21661,0.00228,0.22758,3.42687
1.60000,0.13333,72.19986,0.00240,0.23966,3.62697
1.70000,0.14182,75.86068,0.00252,0.25159,3.81087
1.80000,0.14995,78.48697,0.00263,0.26313,3.94280
1.90000,0.15832,81.25558,0.00275,0.27498,4.08188
2.00000,0.16669,85.21592,0.00287,0.28707,4.28083
2.10000,0.17494,89.00834,0.00299,0.29927,4.47134
2.20000,0.18337,92.45495,0.00311,0.31130,4.64448
2.30000,0.19169,95.79494,0.00323,0.32347,4.81227
2.40000,0.20000,99.11614,0.00336,0.33591,4.97911
2.50000,0.20831,102.83515,0.00348,0.34798,5.16593
2.60000,0.21662,106.01029,0.00361,0.36054,5.32544
2.70000,0.22493,109.29031,0.00373,0.37254,5.49021
2.80000,0.23336,112.45211,0.00385,0.38513,5.64904
2.90000,0.24167,115.73083,0.00397,0.39734,5.81375
3.00000,0.24992,118.54520,0.00409,0.40926,5.95513
3.10000,0.25835,122.15805,0.00422,0.42238,6.13662
3.20000,0.26666,125.55511,0.00435,0.43459,6.30727
3.30000,0.27497,128.68461,0.00447,0.44706,6.46448
3.40000,0.28340,131.59034,0.00459,0.45933,6.61045
3.50000,0.29165,134.62849,0.00472,0.47195,6.76308
3.60000,0.29996,138.24679,0.00485,0.48509,6.94484
3.70000,0.30839,141.85304,0.00498,0.49756,7.12600
3.80000,0.31676,145.37936,0.00510,0.51015,7.30315
3.90000,0.32502,147.86860,0.00522,0.52237,7.42819
4.00000,0.33339,151.64153,0.00535,0.53527,7.61773
4.10000,0.34164,155.32122,0.00549,0.54853,7.80258
4.20000,0.35001,157.36155,0.00561,0.56099,7.90507
4.30000,0.35832,160.82847,0.00574,0.57387,8.07923
4.40000,0.36663,164.62861,0.00587,0.58695,8.27013
4.50000,0.37494,167.99518,0.00599,0.59919,8.43925
4.60000,0.38325,171.42415,0.00612,0.61236,8.61151
4.70000,0.39162,174.15670,0.00625,0.62490,8.74878
4.80000,0.39999,177.88833,0.00638,0.63782,8.93624
4.90000,0.40836,180.91226,0.00651,0.65074,9.08815
5.00000,0.41667,183.78699,0.00664,0.66380,9.23256
5.10000,0.42498,187.71879,0.00677,0.67697,9.43007
5.20000,0.43329,190.14789,0.00690,0.68974,9.55210
5.30000,0.44161,193.59636,0.00703,0.70277,9.72533
5.40000,0.45004,196.57242,0.00716,0.71617,9.87484
5.50000,0.45835,200.11445,0.00729,0.72892,10.05277
5.60000,0.46666,203.08581,0.00742,0.74248,10.20204
5.70000,0.47503,206.09263,0.00755,0.75515,10.35308
5.80000,0.48328,209.00911,0.00768,0.76828,10.49959
5.90000,0.49165,213.44651,0.00781,0.78106,10.72251
6.00000,0.50002,216.05443,0.00794,0.79422,10.85352
6.10000,0.50833,219.75501,0.00808,0.80783,11.03942
6.20000,0.51670,222.16102,0.00820,0.82049,11.16028
6.30000,0.52507,225.94074,0.00834,0.83414,11.35016
6.40000,0.53332,228.68135,0.00848,0.84752,11.48783
6.50000,0.54163,231.86258,0.00861,0.86053,11.64764
6.60000,0.55000,235.09217,0.00874,0.87406,11.80988
6.70000,0.55831,238.82487,0.00887,0.88703,11.99739
6.80000,0.56668,241.28708,0.00901,0.90057,12.12108
6.90000,0.57500,244.35059,0.00914,0.91375,12.27498
7.00000,0.58331,248.10163,0.00927,0.92703,12.46341
7.10000,0.59174,251.21656,0.00941,0.94077,12.61989
7.20000,0.59999,254.22389,0.00954,0.95416,12.77096
7.30000,0.60830,257.07495,0.00967,0.96698,12.91419
7.40000,0.61673,259.54307,0.00977,0.97729,13.03817
7.50000,0.62492,262.83145,0.00991,0.99089,13.20336
7.60000,0.63323,266.14633,0.01004,1.00429,13.36989
7.70000,0.64172,268.86223,0.01018,1.01793,13.50632
7.80000,0.64997,272.32394,0.01031,1.03110,13.68022
7.90000,0.65828,275.36962,0.01044,1.04448,13.83322
8.00000,0.66677,278.99724,0.01059,1.05884,14.01545
8.10000,0.67502,281.82489,0.01072,1.07227,14.15750
8.20000,0.68327,284.45798,0.01085,1.08547,14.28977
8.30000,0.69176,288.74951,0.01100,1.09970,14.50536
8.40000,0.69996,291.35949,0.01113,1.11283,14.63647
8.50000,0.70833,293.99537,0.01127,1.12662,14.76889
8.60000,0.71676,297.92015,0.01140,1.14030,14.96605
8.70000,0.72495,300.50306,0.01153,1.15345,15.09580
8.80000,0.73338,303.42026,0.01167,1.16718,15.24235
8.90000,0.74163,306.30422,0.01181,1.18129,15.38722
9.00000,0.74988,309.87363,0.01195,1.19517,15.56653
9.10000,0.75843,313.00581,0.01209,1.20920,15.72388
9.20000,0.76674,316.15398,0.01223,1.22315,15.88203
9.30000,0.77499,318.58385,0.01236,1.23635,16.00409
9.40000,0.78348,322.50553,0.01251,1.25052,16.20110
9.50000,0.79161,324.72957,0.01264,1.26409,16.31282
9.60000,0.79992,328.29151,0.01278,1.27796,16.49176
9.70000,0.80835,331.37768,0.01292,1.29158,16.64679
9.80000,0.81666,333.55239,0.01306,1.30559,16.75604
9.90000,0.82492,337.32019,0.01319,1.31942,16.94531
10.00000,0.83335,339.73600,0.01333,1.33338,17.06667
10.10000,0.84166,343.18548,0.01348,1.34766,17.23996
10.20000,0.84997,345.88079,0.01361,1.36124,17.37536
10.30000,0.85840,348.36263,0.01375,1.37518,17.50003
10.40000,0.86665,350.80316,0.01389,1.38913,17.62263
10.50000,0.87496,354.90014,0.01403,1.40280,17.82844
10.60000,0.88339,357.80014,0.01417,1.41744,17.97413
10.70000,0.89164,360.15091,0.01431,1.43131,18.09222
10.80000,0.90001,363.36842,0.01445,1.44503,18.25385
10.90000,0.90832,366.16898,0.01459,1.45900,18.39454
11.00000,0.91663,369.02672,0.01473,1.47319,18.53809
11.10000,0.92506,372.37857,0.01487,1.48747,18.70647
11.20000,0.93331,374.68583,0.01502,1.50168,18.82238
11.30000,0.94168,377.35444,0.01516,1.51564,18.95644
11.40000,0.95000,380.70579,0.01530,1.53005,19.12479
11.50000,0.95825,383.50115,0.01544,1.54365,19.26522
11.60000,0.96656,386.30322,0.01558,1.55796,19.40598
11.70000,0.97499,389.41428,0.01572,1.57239,19.56227
11.80000,0.98330,392.13356,0.01586,1.58648,19.69887
11.90000,0.99155,395.32012,0.01601,1.60065,19.85895
12.00000,1.00004,397.57220,0.01615,1.61517,19.97208
12.10000,1.00835,400.03797,0.01630,1.62973,20.09595
12.20000,1.01660,403.09024,0.01643,1.64337,20.24928
12.30000,1.02509,405.69012,0.01658,1.65805,20.37988
12.40000,1.03334,408.86817,0.01672,1.67205,20.53953
12.50000,1.04165,411.77245,0.01687,1.68663,20.68543
12.60000,1.05008,414.25037,0.01701,1.70106,20.80991
12.70000,1.05833,416.99917,0.01715,1.71529,20.94799
12.80000,1.06664,419.59626,0.01730,1.73009,21.07846
12.90000,1.07496,422.19469,0.01745,1.74462,21.20899
13.00000,1.08327,424.32300,0.01759,1.75890,21.31591
13.10000,1.09164,428.48089,0.01773,1.77295,21.52478
13.20000,1.10001,430.00197,0.01788,1.78775,21.60119
13.30000,1.10832,433.54095,0.01802,1.80212,21.77897
13.40000,1.11675,435.90898,0.01817,1.81701,21.89793
13.50000,1.12500,438.81549,0.01831,1.83144,22.04394
13.60000,1.13331,440.99889,0.01846,1.84610,22.15362
13.70000,1.14180,443.57334,0.01861,1.86097,22.28295
13.80000,1.14999,446.05425,0.01875,1.87546,22.40758
13.90000,1.15824,447.71424,0.01887,1.88716,22.49097
14.00000,1.16667,450.41782,0.01901,1.90122,22.62678
14.10000,1.17492,452.53383,0.01916,1.91605,22.73308
14.20000,1.18323,455.28663,0.01931,1.93081,22.87137
14.30000,1.19172,457.90020,0.01946,1.94578,23.00266
14.40000,1.19998,460.84737,0.01961,1.96064,23.15071
14.50000,1.20829,463.01545,0.01975,1.97532,23.25963
14.60000,1.21678,466.11209,0.01991,1.99067,23.41519
14.70000,1.22497,468.19998,0.02006,2.00559,23.52007
14.80000,1.23328,471.60499,0.02021,2.02073,23.69112
14.90000,1.24171,473.93786,0.02036,2.03648,23.80832
15.00000,1.24996,476.32596,0.02051,2.05148,23.92828
15.10000,1.25833,478.82693,0.02066,2.06642,24.05392
15.20000,1.26670,480.56366,0.02081,2.08122,24.14116
15.30000,1.27489,483.18300,0.02097,2.09660,24.27275
15.40000,1.28332,486.30512,0.02112,2.11166,24.42959
15.50000,1.29169,488.56731,0.02127,2.12719,24.54323
15.60000,1.29994,491.73688,0.02143,2.14251,24.70245
