Time,Extension,Load,Strain 1,Tensile strain,Tensile stress
(sec),(mm),(N),(mm/mm),(%),(MPa)
0.00000,0.00006,9.72310,0.00066,0.06627,0.47018
0.10000,0.00430,11.71009,0.00070,0.06959,0.56627
0.20000,0.01387,15.03513,0.00083,0.08345,0.72706
0.30000,0.02356,19.51639,0.00098,0.09817,0.94376
0.40000,0.03265,23.09859,0.00112,0.11151,1.11699
0.50000,0.04143,27.97272,0.00125,0.12515,1.35269
0.60000,0.04986,31.65875,0.00138,0.13800,1.53094
0.70000,0.05823,36.03963,0.00151,0.15064,1.74279
0.80000,0.06667,38.57702,0.00163,0.16336,1.86549
0.90000,0.07498,42.88487,0.00176,0.17642,2.07381
1.00000,0.08329,46.92485,0.00189,0.18939,2.26917
1.10000,0.09172,50.04974,0.00202,0.20179,2.42028
1.20000,0.10003,54.02807,0.00215,0.21456,2.61266
1.30000,0.10834,57.15244,0.00227,0.22731,2.76375
1.40000,0.11671,62.09211,0.00240,0.24034,3.00262
1.50000,0.12508,65.37838,0.00253,0.25332,3.16154
1.60000,0.13339,68.74735,0.00266,0.26608,3.32445
1.70000,0.14164,71.89647,0.00279,0.27871,3.47674
1.80000,0.14995,75.53460,0.00291,0.29123,3.65267
1.90000,0.15832,79.50399,0.00304,0.30411,3.84462
2.00000,0.16663,83.39567,0.00317,0.31660,4.03281
2.10000,0.17494,87.25008,0.00329,0.32939,4.21920
2.20000,0.18331,90.03416,0.00342,0.34213,4.35383
2.30000,0.19157,93.96924,0.00355,0.35495,4.54412
2.40000,0.19994,97.56361,0.00368,0.36750,4.71794
2.50000,0.20837,100.90718,0.00380,0.38044,4.87962
2.60000,0.21662,104.90115,0.00394,0.39365,5.07276
2.70000,0.22499,108.45142,0.00406,0.40584,5.24444
2.80000,0.23330,111.58671,0.00419,0.41874,5.39606
2.90000,0.24155,116.06665,0.00431,0.43118,5.61270
3.00000,0.24998,119.30258,0.00444,0.44374,5.76918
3.10000,0.25841,122.56905,0.00457,0.45716,5.92714
3.20000,0.26672,125.68677,0.00469,0.46909,6.07790
3.30000,0.27503,129.43456,0.00482,0.48209,6.25914
3.40000,0.28340,132.74279,0.00495,0.49470,6.41911
3.50000,0.29165,136.29333,0.00507,0.50743,6.59081
3.60000,0.30002,139.94949,0.00518,0.51794,6.76761
3.70000,0.30839,142.82617,0.00529,0.52938,6.90672
3.80000,0.31670,146.27733,0.00543,0.54261,7.07361
3.90000,0.32508,150.07468,0.00556,0.55558,7.25724
4.00000,0.33333,153.36574,0.00568,0.56833,7.41639
4.10000,0.34164,156.61349,0.00581,0.58111,7.57344
4.20000,0.35001,160.10713,0.00594,0.59367,7.74239
4.30000,0.35826,163.49308,0.00606,0.60616,7.90612
4.40000,0.36663,166.57196,0.00619,0.61871,8.05501
4.50000,0.37500,170.46040,0.00631,0.63143,8.24304
4.60000,0.38331,174.07530,0.00645,0.64460,8.41785
4.70000,0.39162,177.34618,0.00657,0.65717,8.57602
4.80000,0.40005,180.66436,0.00670,0.66982,8.73648
4.90000,0.40836,184.36222,0.00683,0.68250,8.91530
5.00000,0.41661,188.11736,0.00695,0.69474,9.09689
5.10000,0.42510,191.03565,0.00708,0.70802,9.23801
5.20000,0.43329,194.52703,0.00720,0.72027,9.40685
5.30000,0.44161,198.71409,0.00732,0.73240,9.60932
5.40000,0.45010,202.26669,0.00745,0.74542,9.78112
5.50000,0.45829,205.02219,0.00758,0.75796,9.91437
5.60000,0.46666,208.20408,0.00770,0.77046,10.06824
5.70000,0.47509,211.80152,0.00784,0.78353,10.24220
5.80000,0.48328,214.89928,0.00796,0.79552,10.39200
5.90000,0.49165,218.29901,0.00808,0.80837,10.55640
6.00000,0.50002,221.61917,0.00821,0.82117,10.71696
6.10000,0.50833,225.20327,0.00833,0.83347,10.89028
6.20000,0.51670,228.79562,0.00846,0.84564,11.06399
6.30000,0.52501,232.26957,0.00858,0.85797,11.23198
6.40000,0.53332,234.75417,0.00868,0.86842,11.35213
6.50000,0.54169,237.97243,0.00881,0.88101,11.50776
6.60000,0.54994,241.46487,0.00894,0.89406,11.67665
6.70000,0.55825,245.53214,0.00906,0.90614,11.87333
6.80000,0.56674,248.62331,0.00919,0.91879,12.02281
6.90000,0.57506,251.63279,0.00931,0.93144,12.16834
7.00000,0.58331,255.84137,0.00944,0.94417,12.37186
7.10000,0.59180,258.45342,0.00957,0.95675,12.49817
7.20000,0.59993,261.83336,0.00969,0.96943,12.66162
7.30000,0.60824,265.67879,0.00982,0.98176,12.84757
7.40000,0.61673,268.49408,0.00995,0.99455,12.98371
7.50000,0.62492,272.50326,0.01007,1.00692,13.17759
7.60000,0.63329,275.63747,0.01019,1.01929,13.32915
7.70000,0.64166,278.50745,0.01032,1.03209,13.46793
7.80000,0.64991,281.86417,0.01044,1.04418,13.63026
7.90000,0.65834,285.38222,0.01057,1.05696,13.80038
8.00000,0.66671,288.94970,0.01070,1.07012,13.97290
8.10000,0.67496,292.92391,0.01082,1.08249,14.16508
8.20000,0.68327,295.25715,0.01095,1.09471,14.27791
8.30000,0.69164,298.62290,0.01107,1.10697,14.44067
