Time,Extension,Load,Strain 1,Tensile strain,Tensile stress
(sec),(mm),(N),(mm/mm),(%),(MPa)
0.00000,0.00006,15.29409,-0.00028,-0.02759,0.77320
0.10000,0.00425,17.19148,-0.00025,-0.02487,0.86913
0.20000,0.01381,20.59026,-0.00013,-0.01326,1.04095
0.30000,0.02350,25.38004,-0.00001,-0.00062,1.28310
0.40000,0.03259,29.48473,0.00011,0.01150,1.49062
0.50000,0.04143,32.79457,0.00023,0.02306,1.65795
0.60000,0.04986,36.78281,0.00034,0.03398,1.85958
0.70000,0.05823,40.22163,0.00045,0.04492,2.03343
0.80000,0.06667,44.89108,0.00057,0.05658,2.26950
0.90000,0.07498,47.63258,0.00067,0.06710,2.40809
1.00000,0.08329,51.53319,0.00079,0.07862,2.60529
1.10000,0.09172,55.12984,0.00091,0.09056,2.78712
1.20000,0.10003,59.75553,0.00102,0.10151,3.02098
1.30000,0.10834,62.77535,0.00113,0.11276,3.17365
1.40000,0.11671,66.85894,0.00125,0.12500,3.38009
1.50000,0.12508,70.69526,0.00137,0.13650,3.57404
1.60000,0.13339,73.96608,0.00148,0.14808,3.73940
1.70000,0.14164,77.56084,0.00159,0.15925,3.92114
1.80000,0.14995,81.42351,0.00171,0.17131,4.11642
1.90000,0.15832,84.97319,0.00183,0.18315,4.29587
2.00000,0.16663,88.29536,0.00195,0.19462,4.46383
2.10000,0.17494,91.76806,0.00207,0.20703,4.63939
2.20000,0.18331,96.11330,0.00219,0.21890,4.85907
2.30000,0.19157,99.46078,0.00231,0.23076,5.02830
2.40000,0.20000,102.79814,0.00242,0.24240,5.19702
2.50000,0.20837,106.39149,0.00255,0.25527,5.37869
2.60000,0.21668,109.97880,0.00267,0.26711,5.56004
2.70000,0.22499,113.39800,0.00279,0.27896,5.73290
2.80000,0.23330,116.91445,0.00291,0.29066,5.91068
2.90000,0.24161,121.06340,0.00303,0.30327,6.12043
3.00000,0.24998,124.32191,0.00315,0.31531,6.28517
3.10000,0.25841,127.71583,0.00328,0.32788,6.45675
3.20000,0.26672,130.91218,0.00340,0.33983,6.61834
3.30000,0.27503,134.43012,0.00352,0.35235,6.79620
3.40000,0.28340,138.51670,0.00365,0.36481,7.00280
3.50000,0.29165,141.74872,0.00377,0.37654,7.16619
3.60000,0.30002,145.10434,0.00389,0.38950,7.33584
3.70000,0.30839,149.10942,0.00402,0.40183,7.53832
3.80000,0.31670,151.85492,0.00414,0.41395,7.67712
3.90000,0.32508,155.93099,0.00427,0.42698,7.88319
4.00000,0.33333,159.08807,0.00440,0.44010,8.04279
4.10000,0.34164,162.24725,0.00453,0.45256,8.20251
4.20000,0.35001,165.94901,0.00465,0.46485,8.38965
4.30000,0.35826,169.42549,0.00477,0.47748,8.56541
4.40000,0.36663,173.04941,0.00490,0.49039,8.74862
4.50000,0.37500,176.58990,0.00503,0.50307,8.92761
4.60000,0.38331,180.37804,0.00516,0.51571,9.11912
4.70000,0.39162,183.84840,0.00529,0.52860,9.29457
4.80000,0.40005,187.17288,0.00541,0.54100,9.46264
4.90000,0.40836,190.74278,0.00554,0.55397,9.64312
5.00000,0.41661,194.12204,0.00566,0.56641,9.81396
5.10000,0.42510,197.14376,0.00580,0.58000,9.96672
5.20000,0.43329,201.12989,0.00592,0.59168,10.16824
5.30000,0.44161,204.50011,0.00605,0.60455,10.33863
5.40000,0.45010,207.98172,0.00618,0.61815,10.51464
5.50000,0.45829,211.52005,0.00631,0.63064,10.69352
5.60000,0.46666,214.86923,0.00644,0.64371,10.86284
5.70000,0.47509,218.80942,0.00657,0.65666,11.06204
5.80000,0.48328,222.09990,0.00669,0.66939,11.22839
5.90000,0.49165,225.04921,0.00682,0.68209,11.37750
6.00000,0.50002,228.79788,0.00695,0.69492,11.56702
6.10000,0.50833,232.21991,0.00708,0.70772,11.74002
6.20000,0.51670,235.56331,0.00721,0.72059,11.90905
6.30000,0.52501,239.68511,0.00734,0.73425,12.11743
6.40000,0.53332,242.73263,0.00747,0.74727,12.27149
6.50000,0.54169,246.00569,0.00761,0.76064,12.43697
6.60000,0.55000,249.33701,0.00774,0.77368,12.60538
6.70000,0.55825,252.71459,0.00787,0.78660,12.77614
6.80000,0.56680,256.69469,0.00800,0.79982,12.97736
6.90000,0.57506,259.91537,0.00813,0.81251,13.14018
7.00000,0.58331,263.45721,0.00825,0.82538,13.31924
7.10000,0.59180,266.93679,0.00839,0.83897,13.49515
7.20000,0.59993,270.02981,0.00852,0.85179,13.65152
7.30000,0.60824,273.95308,0.00865,0.86518,13.84986
7.40000,0.61673,278.25022,0.00879,0.87850,14.06711
7.50000,0.62492,280.42446,0.00891,0.89143,14.17703
7.60000,0.63329,284.31339,0.00905,0.90479,14.37364
7.70000,0.64166,287.34463,0.00918,0.91760,14.52688
7.80000,0.64991,290.93870,0.00931,0.93073,14.70858
7.90000,0.65834,294.27176,0.00944,0.94397,14.87709
8.00000,0.66671,297.37253,0.00957,0.95686,15.03385
8.10000,0.67496,300.81416,0.00970,0.97029,15.20784
8.20000,0.68327,303.37074,0.00983,0.98314,15.33709
8.30000,0.69164,307.60258,0.00997,0.99665,15.55103
8.40000,0.69996,311.14458,0.01010,1.00988,15.73010
8.50000,0.70833,314.65304,0.01023,1.02340,15.90747
8.60000,0.71664,317.72105,0.01037,1.03661,16.06258
8.70000,0.72501,321.00757,0.01050,1.04962,16.22873
8.80000,0.73344,324.03199,0.01064,1.06356,16.38163
8.90000,0.74169,327.61791,0.01077,1.07658,16.56292
9.00000,0.75000,331.01586,0.01090,1.08971,16.73471
9.10000,0.75843,334.54823,0.01103,1.10336,16.91329
9.20000,0.76662,337.98972,0.01116,1.11649,17.08727
9.30000,0.77493,340.63228,0.01130,1.12969,17.22087
9.40000,0.78336,344.17387,0.01143,1.14296,17.39992
9.50000,0.79167,347.85555,0.01156,1.15647,17.58605
9.60000,0.79992,350.95669,0.01170,1.17001,17.74283
9.70000,0.80835,353.68097,0.01183,1.18341,17.88056
9.80000,0.81666,357.03143,0.01197,1.19677,18.04994
9.90000,0.82498,359.42178,0.01208,1.20762,18.17079
10.00000,0.83341,362.85843,0.01221,1.22071,18.34453
10.10000,0.84172,365.88740,0.01234,1.23441,18.49766
10.20000,0.85003,368.93985,0.01248,1.24779,18.65198
10.30000,0.85840,372.70114,0.01261,1.26128,18.84213
10.40000,0.86665,375.36744,0.01275,1.27473,18.97693
10.50000,0.87502,378.76626,0.01288,1.28804,19.14876
10.60000,0.88333,382.02156,0.01302,1.30212,19.31333
10.70000,0.89158,385.26324,0.01316,1.31578,19.47722
10.80000,0.89995,388.17895,0.01329,1.32890,19.62462
10.90000,0.90832,391.15450,0.01342,1.34216,19.77505
11.00000,0.91663,394.94596,0.01356,1.35563,19.96673
11.10000,0.92506,398.02645,0.01369,1.36930,20.12247
11.20000,0.93331,401.44608,0.01383,1.38288,20.29535
11.30000,0.94168,404.43134,0.01397,1.39652,20.44627
11.40000,0.95006,406.93679,0.01410,1.40991,20.57294
11.50000,0.95825,410.86185,0.01424,1.42355,20.77137
11.60000,0.96656,414.07300,0.01437,1.43711,20.93371
11.70000,0.97505,417.20290,0.01451,1.45071,21.09195
11.80000,0.98324,420.20651,0.01464,1.46421,21.24380
11.90000,0.99161,423.45626,0.01478,1.47781,21.40809
12.00000,1.00010,425.93726,0.01492,1.49215,21.53352
12.10000,1.00829,429.74036,0.01505,1.50545,21.72578
12.20000,1.01666,432.14918,0.01519,1.51886,21.84756
12.30000,1.02509,435.80746,0.01532,1.53245,22.03251
12.40000,1.03328,439.42770,0.01547,1.54672,22.21553
12.50000,1.04165,442.71587,0.01560,1.56014,22.38177
12.60000,1.05002,445.08399,0.01574,1.57427,22.50149
12.70000,1.05827,448.18209,0.01588,1.58752,22.65812
12.80000,1.06670,451.65354,0.01601,1.60100,22.83362
12.90000,1.07502,454.64723,0.01615,1.61516,22.98497
13.00000,1.08327,458.05685,0.01629,1.62856,23.15734
13.10000,1.09170,460.86614,0.01642,1.64241,23.29937
13.20000,1.09995,464.57732,0.01656,1.65637,23.48699
13.30000,1.10826,467.01874,0.01670,1.66950,23.61041
13.40000,1.11675,470.54403,0.01683,1.68328,23.78864
13.50000,1.12506,473.06274,0.01697,1.69693,23.91597
13.60000,1.13325,475.92111,0.01710,1.70959,24.06048
13.70000,1.14174,479.10069,0.01723,1.72293,24.22123
13.80000,1.14993,481.72246,0.01737,1.73658,24.35377
13.90000,1.15824,485.18539,0.01750,1.75027,24.52884
14.00000,1.16679,488.27450,0.01764,1.76425,24.68501
14.10000,1.17492,491.01575,0.01778,1.77809,24.82360
14.20000,1.18329,494.21657,0.01792,1.79217,24.98542
14.30000,1.19172,497.17342,0.01806,1.80586,25.13490
14.40000,1.19998,500.30015,0.01820,1.81955,25.29298
14.50000,1.20841,502.91708,0.01832,1.83153,25.42528
14.60000,1.21678,505.86788,0.01845,1.84544,25.57446
14.70000,1.22497,508.37724,0.01859,1.85883,25.70132
14.80000,1.23334,511.40334,0.01873,1.87319,25.85431
14.90000,1.24171,514.31134,0.01887,1.88710,26.00132
15.00000,1.24996,517.56073,0.01901,1.90094,26.16560
15.10000,1.25833,520.62501,0.01915,1.91503,26.32051
15.20000,1.26670,523.01548,0.01929,1.92901,26.44136
15.30000,1.27495,526.51293,0.01943,1.94256,26.61818
15.40000,1.28338,529.02065,0.01956,1.95643,26.74496
15.50000,1.29169,531.64586,0.01971,1.97067,26.87768
15.60000,1.29994,534.47299,0.01985,1.98463,27.02061
15.70000,1.30831,537.64442,0.01999,1.99878,27.18094
15.80000,1.31656,540.83425,0.02013,2.01251,27.34220
15.90000,1.32494,543.34234,0.02027,2.02665,27.46900
16.00000,1.33337,546.79471,0.02041,2.04076,27.64354
16.10000,1.34156,549.41191,0.02055,2.05469,27.77585
16.20000,1.34993,551.86148,0.02068,2.06843,27.89969
16.30000,1.35842,554.22261,0.02083,2.08283,28.01906
16.40000,1.36667,557.47237,0.02097,2.09707,28.18335
16.50000,1.37504,560.90751,0.02111,2.11079,28.35702
16.60000,1.38341,563.42990,0.02125,2.12527,28.48454
16.70000,1.39166,566.06601,0.02139,2.13909,28.61781
16.80000,1.40003,569.07027,0.02153,2.15329,28.76969
16.90000,1.40840,571.67383,0.02167,2.16735,28.90132
17.00000,1.41677,574.51674,0.02182,2.18170,29.04504
17.10000,1.42502,577.53641,0.02196,2.19620,29.19770
17.20000,1.43333,579.96064,0.02211,2.21058,29.32026
17.30000,1.44164,582.96709,0.02224,2.22438,29.47225
17.40000,1.45001,585.27440,0.02238,2.23844,29.58890
17.50000,1.45839,588.07465,0.02253,2.25270,29.73047
17.60000,1.46670,590.92804,0.02267,2.26688,29.87473
17.70000,1.47507,593.71730,0.02281,2.28139,30.01574
17.80000,1.48338,596.26610,0.02296,2.29557,30.14459
17.90000,1.49163,598.97504,0.02310,2.30968,30.28155
18.00000,1.50000,601.66507,0.02324,2.32401,30.41754
18.10000,1.50825,604.26714,0.02339,2.33855,30.54909
18.20000,1.51656,607.08993,0.02353,2.35251,30.69180
18.30000,1.52505,608.76808,0.02365,2.36501,30.77664
18.40000,1.53324,611.86450,0.02378,2.37816,30.93318
18.50000,1.54167,613.75601,0.02392,2.39226,31.02881
18.60000,1.55004,616.72120,0.02407,2.40684,31.17871
18.70000,1.55829,619.46786,0.02421,2.42124,31.31757
18.80000,1.56666,621.50713,0.02435,2.43536,31.42067
18.90000,1.57497,624.83684,0.02450,2.44982,31.58900
19.00000,1.58323,627.54340,0.02464,2.46420,31.72584
19.10000,1.59160,630.23111,0.02479,2.47918,31.86172
19.20000,1.60003,632.70265,0.02494,2.49357,31.98667
19.30000,1.60834,634.90421,0.02508,2.50805,32.09797
19.40000,1.61665,637.50329,0.02523,2.52267,32.22937
19.50000,1.62502,640.02723,0.02537,2.53746,32.35696
19.60000,1.63333,642.73481,0.02552,2.55220,32.49385
19.70000,1.64176,645.40859,0.02566,2.56639,32.62902
19.80000,1.65007,648.09863,0.02581,2.58095,32.76502
19.90000,1.65838,651.28068,0.02596,2.59578,32.92589
20.00000,1.66675,652.77629,0.02610,2.61046,33.00150
20.10000,1.67500,655.94120,0.02625,2.62503,33.16151
20.20000,1.68331,657.86117,0.02639,2.63950,33.25857
20.30000,1.69174,660.29136,0.02655,2.65473,33.38143
20.40000,1.69999,662.73427,0.02670,2.66952,33.50493
20.50000,1.70831,665.53014,0.02684,2.68377,33.64628
20.60000,1.71674,668.04546,0.02699,2.69871,33.77344
20.70000,1.72499,670.52078,0.02714,2.71351,33.89858
20.80000,1.73330,672.59595,0.02728,2.72836,34.00349
20.90000,1.74173,675.16756,0.02743,2.74322,34.13351
21.00000,1.74998,677.55878,0.02757,2.75739,34.25439
21.10000,1.75829,680.42111,0.02773,2.77258,34.39910
21.20000,1.76672,683.01223,0.02787,2.78712,34.53010
21.30000,1.77497,685.41854,0.02802,2.80228,34.65175
21.40000,1.78334,687.62735,0.02817,2.81667,34.76342
21.50000,1.79165,690.72265,0.02832,2.83225,34.91990
21.60000,1.79996,692.31428,0.02847,2.84704,35.00037
21.70000,1.80833,694.94681,0.02862,2.86207,35.13346
21.80000,1.81670,697.46505,0.02877,2.87682,35.26077
21.90000,1.82507,699.86046,0.02892,2.89190,35.38187
22.00000,1.83339,702.31296,0.02906,2.90648,35.50586
22.10000,1.84164,704.66371,0.02920,2.92048,35.62470
22.20000,1.85001,705.08192,0.02933,2.93344,35.64584
22.30000,1.85838,707.74285,0.02948,2.94829,35.78037
22.40000,1.86669,710.40052,0.02963,2.96315,35.91473
22.50000,1.87500,712.57246,0.02978,2.97805,36.02453
22.60000,1.88337,714.95147,0.02994,2.99385,36.14481
22.70000,1.89168,716.97840,0.03008,3.00820,36.24728
22.80000,1.89993,719.18224,0.03024,3.02383,36.35869
22.90000,1.90830,721.60587,0.03039,3.03904,36.48122
23.00000,1.91661,723.51573,0.03054,3.05370,36.57778
23.10000,1.92492,725.62783,0.03069,3.06928,36.68456
23.20000,1.93329,728.43013,0.03084,3.08450,36.82623
23.30000,1.94160,730.46568,0.03100,3.11774,36.92913
23.40000,1.94991,732.42513,0.03115,3.15098,37.02820
23.45800,1.95476,733.70943,0.03124,3.17036,37.09312
23.55800,1.96307,735.90628,0.03139,3.20360,37.20419
23.65800,1.97138,737.81176,0.03155,3.23684,37.30052
23.75800,1.97981,739.77918,0.03170,3.27056,37.39999
23.85800,1.98818,742.43192,0.03185,3.30405,37.53410
23.95800,1.99649,743.94182,0.03201,3.33729,37.61043
24.05800,2.00486,746.25849,0.03216,3.37077,37.72755
24.15800,2.01323,747.52602,0.03232,3.40425,37.79163
24.25800,2.02154,749.93637,0.03247,3.43750,37.91349
24.35800,2.02985,752.09811,0.03263,3.47074,38.02278
24.45800,2.03816,754.81050,0.03278,3.50398,38.15990
24.55800,2.04653,756.32008,0.03294,3.53746,38.23622
24.65800,2.05485,758.48885,0.03309,3.57071,38.34586
24.75800,2.06322,760.76370,0.03325,3.60419,38.46087
24.85800,2.07153,761.69823,0.03341,3.63743,38.50812
24.95800,2.07984,763.87315,0.03357,3.67067,38.61807
25.05800,2.08827,766.51182,0.03372,3.70440,38.75147
25.15800,2.09658,767.72817,0.03388,3.73764,38.81296
25.25800,2.10483,770.00698,0.03404,3.77064,38.92817
25.35800,2.11320,772.55261,0.03420,3.80413,39.05687
25.45800,2.12151,773.78247,0.03436,3.83737,39.11904
25.55800,2.12982,775.73014,0.03452,3.87061,39.21751
25.65800,2.13813,777.80220,0.03470,3.90385,39.32226
25.75800,2.14650,779.30312,0.03536,3.93734,39.39814
25.85800,2.15475,781.00050,0.03530,3.97034,39.48396
25.95800,2.16312,784.43838,0.02851,4.00382,39.65776
26.05800,2.17149,784.29235,0.00323,4.03730,39.65038
26.15800,2.17987,786.46531,0.00704,4.07079,39.76023
26.25800,2.18818,788.31194,0.00710,4.10403,39.85359
26.35800,2.19649,790.20392,0.00521,4.13727,39.94924
26.45800,2.20480,791.93702,0.00257,4.17051,40.03686
26.55800,2.21317,792.70564,0.00286,4.20400,40.07571
26.65800,2.22148,794.40353,0.00311,4.23724,40.16155
26.75800,2.22985,796.44099,0.00404,4.27072,40.26456
26.85800,2.23816,798.03783,0.00597,4.30396,40.34529
26.95800,2.24647,799.85205,0.00569,4.33721,40.43700
27.05800,2.25484,801.34450,0.00493,4.37069,40.51245
27.15800,2.26321,803.03354,0.00376,4.40417,40.59785
27.25800,2.27152,804.41907,0.00407,4.43742,40.66789
27.35800,2.27983,806.72288,-0.01328,4.47066,40.78436
27.45800,2.28820,808.48159,-0.02265,4.50414,40.87328
27.55800,2.29651,809.88528,-0.02666,4.53738,40.94424
27.65800,2.30483,811.72409,-0.02686,4.57063,41.03720
27.75800,2.31326,813.17099,-0.02842,4.60435,41.11035
27.85800,2.32145,814.42567,-0.03059,4.63711,41.17378
27.95800,2.32982,816.03164,-0.05224,4.67059,41.25497
28.05800,2.33825,817.74369,-0.07734,4.70432,41.34153
28.15800,2.34650,819.30682,-0.14161,4.73732,41.42055
