Time,Extension,Load,Strain 1,Tensile strain,Tensile stress
(sec),(mm),(N),(mm/mm),(%),(MPa)
0.00000,0.00000,-0.56939,0.00000,-0.00023,-0.02926
0.10000,0.00371,1.07588,0.00004,0.00350,0.05528
0.20000,0.01333,4.24438,0.00021,0.02142,0.21809
0.30000,0.02326,8.75883,0.00042,0.04200,0.45006
0.40000,0.03247,11.89442,0.00061,0.06065,0.61117
0.50000,0.04137,15.32700,0.00078,0.07808,0.78755
0.60000,0.04986,18.86410,0.00094,0.09440,0.96930
0.70000,0.05823,21.97452,0.00111,0.11056,1.12912
0.80000,0.06673,25.12785,0.00127,0.12731,1.29115
0.90000,0.07510,28.86149,0.00144,0.14373,1.48300
1.00000,0.08323,31.59180,0.00159,0.15932,1.62329
1.10000,0.09166,34.99411,0.00176,0.17569,1.79811
1.20000,0.09997,38.67020,0.00191,0.19149,1.98700
1.30000,0.10828,41.61333,0.00207,0.20702,2.13823
1.40000,0.11671,44.68873,0.00223,0.22330,2.29625
1.50000,0.12508,47.57608,0.00239,0.23901,2.44461
1.60000,0.13339,50.94985,0.00255,0.25485,2.61797
1.70000,0.14164,54.40658,0.00270,0.27033,2.79559
1.80000,0.15001,56.96642,0.00285,0.28547,2.92712
1.90000,0.15832,60.29385,0.00301,0.30126,3.09809
2.00000,0.16663,62.97372,0.00316,0.31615,3.23579
2.10000,0.17494,66.97067,0.00332,0.33204,3.44117
2.20000,0.18325,70.65482,0.00348,0.34751,3.63047
2.30000,0.19157,72.99273,0.00364,0.36360,3.75060
2.40000,0.20000,76.78699,0.00379,0.37903,3.94556
2.50000,0.20837,79.61572,0.00394,0.39420,4.09091
2.60000,0.21668,82.97835,0.00410,0.40975,4.26370
2.70000,0.22499,85.96163,0.00424,0.42444,4.41699
2.80000,0.23330,89.50812,0.00440,0.44005,4.59922
2.90000,0.24161,92.41030,0.00455,0.45490,4.74834
3.00000,0.24998,95.47953,0.00470,0.47025,4.90605
3.10000,0.25841,98.72832,0.00486,0.48561,5.07298
3.20000,0.26672,102.05375,0.00501,0.50113,5.24385
3.30000,0.27503,104.76477,0.00516,0.51605,5.38315
3.40000,0.28340,108.83454,0.00531,0.53140,5.59227
3.50000,0.29165,111.88706,0.00546,0.54630,5.74912
3.60000,0.30002,114.05811,0.00561,0.56119,5.86067
3.70000,0.30839,117.64521,0.00577,0.57672,6.04499
3.80000,0.31670,120.22991,0.00592,0.59228,6.17780
3.90000,0.32508,123.82810,0.00608,0.60768,6.36269
4.00000,0.33339,126.48682,0.00623,0.62254,6.49930
4.10000,0.34164,130.35251,0.00638,0.63760,6.69793
4.20000,0.35001,132.71107,0.00652,0.65204,6.81912
4.30000,0.35832,136.41047,0.00667,0.66734,7.00921
4.40000,0.36663,139.27851,0.00683,0.68261,7.15658
4.50000,0.37500,142.79974,0.00697,0.69684,7.33751
4.60000,0.38331,145.28593,0.00712,0.71206,7.46526
4.70000,0.39162,148.25924,0.00727,0.72669,7.61804
4.80000,0.40005,151.65106,0.00742,0.74193,7.79232
4.90000,0.40836,154.51884,0.00757,0.75699,7.93968
5.00000,0.41667,158.36183,0.00772,0.77193,8.13714
5.10000,0.42510,161.02173,0.00787,0.78726,8.27382
5.20000,0.43329,163.93011,0.00802,0.80172,8.42326
5.30000,0.44155,167.06359,0.00816,0.81644,8.58427
5.40000,0.45010,170.74785,0.00831,0.83112,8.77358
5.50000,0.45829,173.29592,0.00846,0.84596,8.90450
5.60000,0.46666,176.63902,0.00861,0.86053,9.07628
5.70000,0.47509,179.64987,0.00876,0.87593,9.23099
5.80000,0.48328,182.63635,0.00891,0.89071,9.38445
5.90000,0.49159,185.86176,0.00906,0.90606,9.55018
6.00000,0.50008,189.08686,0.00921,0.92083,9.71589
6.10000,0.50827,191.99427,0.00935,0.93517,9.86529
6.20000,0.51664,195.35401,0.00950,0.94991,10.03792
6.30000,0.52507,197.58667,0.00965,0.96508,10.15264
6.40000,0.53332,200.74062,0.00979,0.97930,10.31470
6.50000,0.54169,203.62369,0.00994,0.99444,10.46284
6.60000,0.55000,206.57410,0.01010,1.00962,10.61445
6.70000,0.55825,209.87310,0.01024,1.02370,10.78396
6.80000,0.56674,212.74285,0.01039,1.03907,10.93142
6.90000,0.57506,216.64922,0.01054,1.05380,11.13214
7.00000,0.58331,218.39163,0.01068,1.06805,11.22167
7.10000,0.59174,221.54716,0.01083,1.08289,11.38381
7.20000,0.59993,225.50335,0.01097,1.09738,11.58709
7.30000,0.60824,228.11107,0.01112,1.11170,11.72109
7.40000,0.61673,231.01631,0.01127,1.12696,11.87037
7.50000,0.62498,234.81431,0.01142,1.14158,12.06552
7.60000,0.63329,237.33657,0.01156,1.15631,12.19512
7.70000,0.64166,240.04995,0.01171,1.17078,12.33454
7.80000,0.64997,243.44227,0.01186,1.18602,12.50885
7.90000,0.65828,246.39361,0.01201,1.20065,12.66050
8.00000,0.66671,249.04138,0.01215,1.21520,12.79655
8.10000,0.67496,251.96529,0.01230,1.22975,12.94679
8.20000,0.68327,254.85565,0.01244,1.24407,13.09531
8.30000,0.69170,257.67554,0.01259,1.25878,13.24020
8.40000,0.70002,260.86103,0.01273,1.27338,13.40388
8.50000,0.70839,263.37081,0.01288,1.28825,13.53284
8.60000,0.71670,266.63039,0.01303,1.30322,13.70033
