Time,Extension,Load,Strain 1,Tensile strain,Tensile stress
(sec),(mm),(N),(mm/mm),(%),(MPa)
0.00000,0.00006,14.56594,0.00041,0.04118,0.72224
0.10000,0.00407,16.27401,0.00045,0.04468,0.80693
0.20000,0.01369,19.24179,0.00061,0.06075,0.95409
0.30000,0.02344,23.20954,0.00077,0.07743,1.15083
0.40000,0.03259,25.99061,0.00093,0.09346,1.28872
0.50000,0.04143,29.98064,0.00109,0.10913,1.48657
0.60000,0.04986,32.48046,0.00124,0.12423,1.61052
0.70000,0.05823,35.89906,0.00139,0.13885,1.78003
0.80000,0.06667,38.79013,0.00154,0.15395,1.92338
0.90000,0.07498,41.61945,0.00168,0.16844,2.06367
1.00000,0.08323,45.13038,0.00183,0.18258,2.23776
1.10000,0.09178,48.39307,0.00198,0.19764,2.39953
1.20000,0.10003,50.97922,0.00212,0.21167,2.52777
1.30000,0.10834,54.51269,0.00226,0.22602,2.70297
1.40000,0.11677,57.56060,0.00241,0.24100,2.85410
1.50000,0.12508,59.64002,0.00256,0.25556,2.95721
1.60000,0.13339,63.43774,0.00270,0.26973,3.14551
1.70000,0.14170,66.42835,0.00284,0.28438,3.29380
1.80000,0.14995,69.16038,0.00299,0.29873,3.42926
1.90000,0.15832,72.46309,0.00313,0.31257,3.59303
2.00000,0.16663,75.12962,0.00327,0.32666,3.72524
2.10000,0.17494,79.00147,0.00341,0.34150,3.91723
2.20000,0.18325,81.01855,0.00356,0.35564,4.01724
2.30000,0.19163,84.86385,0.00370,0.36984,4.20791
2.40000,0.20000,86.96218,0.00384,0.38406,4.31195
2.50000,0.20837,90.88683,0.00398,0.39825,4.50655
2.60000,0.21668,93.87265,0.00413,0.41308,4.65460
2.70000,0.22499,96.94465,0.00427,0.42682,4.80693
2.80000,0.23330,99.86403,0.00441,0.44094,4.95168
2.90000,0.24161,101.94230,0.00455,0.45540,5.05473
3.00000,0.24998,105.62912,0.00470,0.46993,5.23754
3.10000,0.25841,108.22429,0.00484,0.48413,5.36622
3.20000,0.26672,110.98663,0.00497,0.49750,5.50319
3.30000,0.27503,113.51043,0.00512,0.51190,5.62833
3.40000,0.28340,117.36929,0.00527,0.52670,5.81967
3.50000,0.29165,119.63391,0.00540,0.54049,5.93196
3.60000,0.30002,122.07947,0.00555,0.55495,6.05322
3.70000,0.30839,126.02231,0.00569,0.56890,6.24872
3.80000,0.31670,128.08038,0.00583,0.58290,6.35077
3.90000,0.32508,131.17742,0.00597,0.59666,6.50433
4.00000,0.33339,134.82084,0.00611,0.61077,6.68499
4.10000,0.34164,137.47942,0.00625,0.62486,6.81681
4.20000,0.35001,139.87470,0.00639,0.63901,6.93558
4.30000,0.35832,142.94737,0.00654,0.65390,7.08794
4.40000,0.36663,146.71844,0.00668,0.66782,7.27492
4.50000,0.37500,149.49124,0.00683,0.68256,7.41241
4.60000,0.38331,151.60956,0.00696,0.69643,7.51744
4.70000,0.39162,155.15764,0.00710,0.71006,7.69337
4.80000,0.40005,158.49721,0.00724,0.72442,7.85896
4.90000,0.40836,160.55318,0.00738,0.73824,7.96091
5.00000,0.41667,163.66446,0.00752,0.75228,8.11518
5.10000,0.42510,166.34066,0.00767,0.76703,8.24787
5.20000,0.43329,168.87286,0.00781,0.78095,8.37343
5.30000,0.44155,172.53330,0.00795,0.79501,8.55493
5.40000,0.45004,175.05300,0.00809,0.80936,8.67987
5.50000,0.45829,177.72330,0.00823,0.82276,8.81227
5.60000,0.46660,180.37139,0.00837,0.83675,8.94358
5.70000,0.47509,183.18837,0.00851,0.85132,9.08326
5.80000,0.48328,186.36566,0.00865,0.86523,9.24080
5.90000,0.49159,188.84565,0.00879,0.87922,9.36377
6.00000,0.50008,192.01072,0.00894,0.89371,9.52070
6.10000,0.50827,195.01557,0.00908,0.90754,9.66970
6.20000,0.51664,197.68260,0.00922,0.92164,9.80194
6.30000,0.52507,200.81019,0.00936,0.93638,9.95702
6.40000,0.53332,203.42520,0.00950,0.94984,10.08668
6.50000,0.54169,205.88313,0.00964,0.96418,10.20856
6.60000,0.55000,209.61154,0.00979,0.97885,10.39343
6.70000,0.55825,211.70645,0.00992,0.99246,10.49730
6.80000,0.56674,214.50606,0.01007,1.00668,10.63612
6.90000,0.57506,217.06759,0.01021,1.02064,10.76313
7.00000,0.58331,220.19949,0.01034,1.03432,10.91842
7.10000,0.59174,223.23884,0.01049,1.04880,11.06913
7.20000,0.59993,225.10157,0.01063,1.06324,11.16149
7.30000,0.60824,228.35073,0.01077,1.07733,11.32260
7.40000,0.61673,231.48067,0.01091,1.09121,11.47779
7.50000,0.62498,233.45149,0.01105,1.10544,11.57551
7.60000,0.63323,236.83691,0.01119,1.11916,11.74338
7.70000,0.64166,239.39293,0.01133,1.13262,11.87012
7.80000,0.64997,242.05383,0.01147,1.14707,12.00205
7.90000,0.65828,245.20201,0.01161,1.16088,12.15815
8.00000,0.66671,247.72568,0.01175,1.17549,12.28329
8.10000,0.67496,250.75113,0.01190,1.18993,12.43330
8.20000,0.68327,253.29739,0.01204,1.20394,12.55956
8.30000,0.69170,256.41837,0.01218,1.21806,12.71431
8.40000,0.70002,259.03096,0.01232,1.23173,12.84385
8.50000,0.70839,261.89853,0.01246,1.24568,12.98604
8.60000,0.71670,264.64392,0.01260,1.26002,13.12217
8.70000,0.72501,267.18804,0.01274,1.27408,13.24831
8.80000,0.73338,269.35367,0.01288,1.28819,13.35570
8.90000,0.74169,272.79339,0.01303,1.30268,13.52625
9.00000,0.75000,275.18854,0.01316,1.31644,13.64501
9.10000,0.75837,277.82263,0.01331,1.33113,13.77562
9.20000,0.76662,281.21423,0.01345,1.34469,13.94379
9.30000,0.77499,283.59497,0.01359,1.35874,14.06184
9.40000,0.78336,286.15098,0.01373,1.37287,14.18858
9.50000,0.79167,289.39433,0.01387,1.38685,14.34940
9.60000,0.79992,291.46227,0.01401,1.40124,14.45193
9.70000,0.80835,293.44284,0.01415,1.41502,14.55014
9.80000,0.81666,296.90680,0.01429,1.42885,14.72190
9.90000,0.82498,299.46791,0.01443,1.44272,14.84889
10.00000,0.83341,301.47927,0.01457,1.45692,14.94862
10.10000,0.84172,305.00828,0.01472,1.47179,15.12360
10.20000,0.85003,306.73733,0.01485,1.48529,15.20934
10.30000,0.85846,309.58799,0.01500,1.49977,15.35068
10.40000,0.86665,312.02442,0.01514,1.51390,15.47149
10.50000,0.87502,314.86561,0.01528,1.52779,15.61237
10.60000,0.88333,317.16784,0.01542,1.54207,15.72653
10.70000,0.89158,319.67035,0.01556,1.55584,15.85061
10.80000,0.89995,322.61345,0.01570,1.57022,15.99654
10.90000,0.90832,325.03163,0.01584,1.58422,16.11645
11.00000,0.91669,327.48326,0.01599,1.59893,16.23801
11.10000,0.92506,330.05620,0.01613,1.61328,16.36559
11.20000,0.93337,332.79851,0.01627,1.62712,16.50156
11.30000,0.94168,335.34279,0.01641,1.64139,16.62772
11.40000,0.95006,337.89540,0.01656,1.65554,16.75429
11.50000,0.95825,340.02771,0.01669,1.66914,16.86001
11.60000,0.96650,342.94305,0.01684,1.68390,17.00457
11.70000,0.97499,345.09553,0.01698,1.69829,17.11130
11.80000,0.98330,347.98787,0.01712,1.71246,17.25471
11.90000,0.99161,350.67818,0.01727,1.72666,17.38811
12.00000,1.00010,352.99351,0.01741,1.74132,17.50291
12.10000,1.00829,355.43335,0.01756,1.75571,17.62389
12.20000,1.01666,357.70072,0.01770,1.76953,17.73632
12.30000,1.02515,361.24766,0.01784,1.78387,17.91219
12.40000,1.03328,362.71464,0.01798,1.79784,17.98493
12.50000,1.04159,365.39626,0.01812,1.81234,18.11790
12.60000,1.05008,368.03244,0.01827,1.82730,18.24861
12.70000,1.05827,369.90666,0.01841,1.84145,18.34154
12.80000,1.06664,372.75874,0.01856,1.85558,18.48296
12.90000,1.07507,375.12016,0.01870,1.87026,18.60005
