Time,Extension,Load,Strain 1,Tensile strain,Tensile stress
(sec),(mm),(N),(mm/mm),(%),(MPa)
0.00000,0.00006,11.82462,0.00110,0.10982,0.55671
0.10000,0.02415,18.69842,0.00130,0.12969,0.88034
0.20000,0.07157,39.66932,0.00199,0.19875,1.86767
0.30000,0.11922,61.64986,0.00271,0.27102,2.90254
0.40000,0.16418,80.55241,0.00337,0.33735,3.79249
0.50000,0.20741,99.06481,0.00402,0.40250,4.66407
0.60000,0.24962,116.52147,0.00466,0.46632,5.48594
0.70000,0.29165,132.40471,0.00528,0.52799,6.23374
0.80000,0.33345,148.78800,0.00591,0.59134,7.00508
0.90000,0.37506,164.03291,0.00654,0.65389,7.72283
1.00000,0.41673,179.96046,0.00718,0.71787,8.47271
1.10000,0.45835,194.50423,0.00782,0.78190,9.15745
1.20000,0.50002,208.65607,0.00847,0.84731,9.82373
1.30000,0.54169,222.40910,0.00913,0.91283,10.47124
1.40000,0.58343,235.73320,0.00979,0.97919,11.09855
1.50000,0.62492,248.55328,0.01047,1.04671,11.70213
1.60000,0.66659,261.46930,0.01115,1.11478,12.31023
1.70000,0.70833,272.45714,0.01184,1.18360,12.82755
1.80000,0.75006,283.73746,0.01254,1.25357,13.35864
1.90000,0.79167,293.77525,0.01325,1.32467,13.83123
2.00000,0.83341,303.20778,0.01396,1.39643,14.27532
2.10000,0.87502,313.36239,0.01469,1.46882,14.75341
2.20000,0.91669,321.77905,0.01542,1.54209,15.14967
2.30000,0.95831,331.18615,0.01617,1.61660,15.59257
2.40000,0.99998,339.23271,0.01692,1.69167,15.97141
2.50000,1.04159,345.90205,0.01767,1.76734,16.28541
2.60000,1.08339,353.52467,0.01844,1.84450,16.64429
2.70000,1.12500,360.74750,0.01921,1.92103,16.98434
2.80000,1.16673,367.25239,0.01999,1.99891,17.29060
2.90000,1.20847,374.24604,0.02077,2.07721,17.61987
3.00000,1.25002,380.04066,0.02156,2.15550,17.89269
3.10000,1.29163,386.54797,0.02234,2.23429,18.19906
3.20000,1.33331,392.19148,0.02313,2.31343,18.46476
3.30000,1.37492,397.61304,0.02393,2.39286,18.72001
