Time,Extension,Load,Strain 1,Tensile strain,Tensile stress
(sec),(mm),(N),(mm/mm),(%),(MPa)
0.00000,0.00000,12.66817,0.00043,0.04347,0.58036
0.10000,0.00341,13.61961,0.00046,0.04567,0.62395
0.20000,0.01291,18.79149,0.00059,0.05948,0.86089
0.30000,0.02302,24.31272,0.00076,0.07646,1.11383
0.40000,0.03247,29.84486,0.00092,0.09211,1.36727
0.50000,0.04137,34.69799,0.00107,0.10712,1.58961
0.60000,0.04980,39.83408,0.00121,0.12123,1.82491
0.70000,0.05829,43.26287,0.00135,0.13509,1.98199
0.80000,0.06673,48.04604,0.00149,0.14894,2.20112
0.90000,0.07498,51.98659,0.00163,0.16292,2.38165
1.00000,0.08341,56.62122,0.00177,0.17685,2.59397
1.10000,0.09178,61.33697,0.00191,0.19082,2.81001
1.20000,0.10009,65.13013,0.00205,0.20474,2.98379
1.30000,0.10840,69.90510,0.00218,0.21840,3.20254
1.40000,0.11677,74.18405,0.00232,0.23221,3.39857
1.50000,0.12502,77.91120,0.00246,0.24557,3.56932
1.60000,0.13339,82.18118,0.00260,0.25994,3.76494
1.70000,0.14176,86.75227,0.00274,0.27388,3.97436
1.80000,0.14995,90.33931,0.00287,0.28722,4.13869
1.90000,0.15832,94.79563,0.00301,0.30052,4.34285
2.00000,0.16651,98.97551,0.00314,0.31445,4.53434
2.10000,0.17482,102.95492,0.00328,0.32844,4.71664
2.20000,0.18325,107.17444,0.00342,0.34246,4.90995
2.30000,0.19163,111.81536,0.00357,0.35657,5.12257
2.40000,0.19994,115.25297,0.00370,0.36996,5.28005
2.50000,0.20837,118.83981,0.00384,0.38406,5.44437
2.60000,0.21668,123.60415,0.00398,0.39775,5.66264
2.70000,0.22499,127.11445,0.00411,0.41129,5.82346
2.80000,0.23336,130.99705,0.00425,0.42522,6.00133
2.90000,0.24167,134.71955,0.00440,0.43952,6.17187
3.00000,0.24998,138.81177,0.00453,0.45300,6.35934
3.10000,0.25835,142.79675,0.00467,0.46725,6.54191
3.20000,0.26672,147.28684,0.00481,0.48108,6.74761
3.30000,0.27497,151.33439,0.00495,0.49481,6.93304
3.40000,0.28340,155.05094,0.00509,0.50886,7.10330
3.50000,0.29177,158.47676,0.00523,0.52266,7.26025
3.60000,0.30008,162.12030,0.00537,0.53661,7.42717
3.70000,0.30833,166.50778,0.00551,0.55070,7.62817
3.80000,0.31665,169.55744,0.00564,0.56422,7.76789
3.90000,0.32496,174.08262,0.00578,0.57810,7.97520
4.00000,0.33327,177.76976,0.00592,0.59197,8.14412
4.10000,0.34164,181.91314,0.00606,0.60624,8.33394
4.20000,0.34995,185.13950,0.00620,0.61951,8.48174
4.30000,0.35826,188.94473,0.00634,0.63402,8.65607
4.40000,0.36663,192.61927,0.00646,0.64643,8.82441
4.50000,0.37500,196.29616,0.00660,0.66031,8.99286
4.60000,0.38331,199.91677,0.00675,0.67451,9.15873
4.70000,0.39168,203.79007,0.00688,0.68758,9.33618
4.80000,0.39999,207.11129,0.00702,0.70159,9.48833
4.90000,0.40824,211.16319,0.00715,0.71517,9.67396
5.00000,0.41661,214.53716,0.00729,0.72934,9.82853
5.10000,0.42504,219.00649,0.00743,0.74340,10.03328
5.20000,0.43335,222.51362,0.00757,0.75711,10.19395
5.30000,0.44166,226.17537,0.00771,0.77101,10.36171
5.40000,0.45004,229.99148,0.00785,0.78520,10.53654
5.50000,0.45829,233.15712,0.00799,0.79862,10.68156
5.60000,0.46666,237.32297,0.00813,0.81289,10.87241
5.70000,0.47503,240.62658,0.00826,0.82647,11.02376
5.80000,0.48334,244.48277,0.00840,0.84036,11.20042
5.90000,0.49171,248.37556,0.00855,0.85461,11.37876
6.00000,0.50002,252.07105,0.00869,0.86913,11.54806
6.10000,0.50833,255.60975,0.00883,0.88267,11.71018
6.20000,0.51664,259.14356,0.00897,0.89670,11.87207
6.30000,0.52495,262.55411,0.00911,0.91090,12.02832
6.40000,0.53326,266.13772,0.00925,0.92464,12.19249
6.50000,0.54169,270.05430,0.00939,0.93867,12.37192
6.60000,0.55000,273.52273,0.00953,0.95264,12.53082
6.70000,0.55831,276.76087,0.00967,0.96656,12.67917
6.80000,0.56674,280.08898,0.00981,0.98092,12.83164
6.90000,0.57500,284.66389,0.00995,0.99531,13.04123
7.00000,0.58331,288.11239,0.01009,1.00915,13.19921
7.10000,0.59174,291.46185,0.01024,1.02357,13.35266
7.20000,0.59993,294.40913,0.01037,1.03742,13.48768
7.30000,0.60818,297.87128,0.01051,1.05078,13.64629
7.40000,0.61673,300.88366,0.01066,1.06552,13.78430
7.50000,0.62498,304.82779,0.01080,1.07992,13.96499
7.60000,0.63329,307.80463,0.01094,1.09444,14.10137
7.70000,0.64172,311.21604,0.01109,1.10888,14.25765
7.80000,0.64991,314.11240,0.01122,1.12248,14.39034
7.90000,0.65828,318.12766,0.01136,1.13643,14.57429
8.00000,0.66671,321.78450,0.01151,1.15068,14.74182
8.10000,0.67496,325.01596,0.01165,1.16530,14.88986
8.20000,0.68333,327.37572,0.01177,1.17703,14.99797
8.30000,0.69170,330.90555,0.01191,1.19078,15.15968
8.40000,0.69996,333.98916,0.01205,1.20459,15.30095
8.50000,0.70839,337.29374,0.01219,1.21870,15.45234
8.60000,0.71664,340.36359,0.01233,1.23258,15.59298
8.70000,0.72489,343.67021,0.01247,1.24669,15.74447
8.80000,0.73344,346.56732,0.01261,1.26117,15.87719
8.90000,0.74169,350.69850,0.01276,1.27557,16.06645
9.00000,0.75000,353.05577,0.01290,1.28965,16.17444
9.10000,0.75843,356.58057,0.01304,1.30425,16.33593
9.20000,0.76662,360.55525,0.01319,1.31856,16.51801
9.30000,0.77493,362.85575,0.01333,1.33257,16.62341
9.40000,0.78336,366.38835,0.01347,1.34701,16.78525
9.50000,0.79155,369.18817,0.01362,1.36163,16.91351
9.60000,0.79992,372.32069,0.01376,1.37623,17.05702
9.70000,0.80835,375.60656,0.01391,1.39104,17.20756
9.80000,0.81660,378.64202,0.01406,1.40580,17.34662
9.90000,0.82498,381.93802,0.01420,1.42031,17.49762
10.00000,0.83341,384.88994,0.01435,1.43478,17.63285
10.10000,0.84166,387.33368,0.01449,1.44886,17.74481
10.20000,0.84997,391.25015,0.01463,1.46331,17.92423
10.30000,0.85834,393.75750,0.01478,1.47811,18.03910
10.40000,0.86671,397.01085,0.01493,1.49281,18.18815
10.50000,0.87502,399.35303,0.01507,1.50740,18.29545
10.60000,0.88333,402.30541,0.01522,1.52195,18.43070
10.70000,0.89164,405.20015,0.01536,1.53615,18.56332
10.80000,0.90007,408.23990,0.01551,1.55122,18.70258
10.90000,0.90832,410.67684,0.01565,1.56533,18.81422
11.00000,0.91663,414.02546,0.01580,1.58014,18.96763
11.10000,0.92506,416.78329,0.01595,1.59488,19.09398
11.20000,0.93331,420.20543,0.01610,1.60966,19.25075
