Time,Extension,Load,Strain 1,Tensile strain,Tensile stress
(sec),(mm),(N),(mm/mm),(%),(MPa)
0.00000,0.00006,21.68446,0.00085,0.08502,1.02535
0.10000,0.00425,23.87953,0.00089,0.08855,1.12914
0.20000,0.01381,28.71486,0.00104,0.10395,1.35778
0.30000,0.02362,33.18682,0.00120,0.12043,1.56924
0.40000,0.03270,38.63574,0.00136,0.13608,1.82689
0.50000,0.04143,42.86277,0.00151,0.15059,2.02676
0.60000,0.04986,47.43241,0.00166,0.16564,2.24284
0.70000,0.05823,50.90628,0.00179,0.17943,2.40710
0.80000,0.06673,55.93292,0.00194,0.19406,2.64478
0.90000,0.07498,59.86626,0.00208,0.20834,2.83077
1.00000,0.08335,63.59147,0.00222,0.22232,3.00692
1.10000,0.09178,68.36011,0.00237,0.23677,3.23240
1.20000,0.10003,72.23811,0.00251,0.25051,3.41577
1.30000,0.10840,76.02014,0.00265,0.26480,3.59460
1.40000,0.11683,80.48069,0.00280,0.27978,3.80552
1.50000,0.12496,83.85964,0.00293,0.29310,3.96529
1.60000,0.13333,88.19248,0.00308,0.30756,4.17017
1.70000,0.14170,92.33499,0.00322,0.32153,4.36605
1.80000,0.14995,96.36543,0.00336,0.33559,4.55663
1.90000,0.15832,100.22272,0.00349,0.34946,4.73902
2.00000,0.16663,103.98543,0.00364,0.36405,4.91694
2.10000,0.17488,107.86722,0.00379,0.37879,5.10049
2.20000,0.18331,111.82734,0.00393,0.39315,5.28774
2.30000,0.19163,115.18181,0.00407,0.40705,5.44636
2.40000,0.19994,119.12631,0.00421,0.42074,5.63288
2.50000,0.20837,123.08067,0.00435,0.43485,5.81986
2.60000,0.21668,127.20287,0.00449,0.44910,6.01477
2.70000,0.22499,130.96923,0.00463,0.46301,6.19287
2.80000,0.23336,134.55222,0.00478,0.47783,6.36229
2.90000,0.24167,138.40640,0.00492,0.49230,6.54453
3.00000,0.24998,142.01906,0.00506,0.50589,6.71536
3.10000,0.25841,145.61034,0.00521,0.52055,6.88517
3.20000,0.26672,149.29716,0.00534,0.53417,7.05950
3.30000,0.27497,153.15588,0.00548,0.54828,7.24196
3.40000,0.28340,157.03868,0.00562,0.56240,7.42556
3.50000,0.29171,160.70906,0.00577,0.57679,7.59911
3.60000,0.30002,164.18290,0.00591,0.59147,7.76337
3.70000,0.30833,167.77760,0.00605,0.60534,7.93335
3.80000,0.31665,171.29177,0.00619,0.61936,8.09951
3.90000,0.32502,174.62756,0.00633,0.63346,8.25725
4.00000,0.33327,178.21785,0.00648,0.64759,8.42701
4.10000,0.34164,182.72642,0.00662,0.66198,8.64020
4.20000,0.34995,185.52082,0.00676,0.67593,8.77233
