Time,Extension,Load,Strain 1,Tensile strain,Tensile stress
(sec),(mm),(N),(mm/mm),(%),(MPa)
0.00000,0.00006,32.49376,0.00130,0.12970,1.65436
0.10000,0.00419,34.09435,0.00133,0.13289,1.73585
0.20000,0.01375,39.50103,0.00148,0.14842,2.01112
0.30000,0.02356,44.66894,0.00166,0.16560,2.27424
0.40000,0.03270,49.67125,0.00181,0.18118,2.52892
0.50000,0.04143,54.60701,0.00196,0.19609,2.78021
0.60000,0.04986,59.32033,0.00211,0.21052,3.02018
0.70000,0.05823,63.71974,0.00225,0.22452,3.24417
0.80000,0.06673,68.18010,0.00239,0.23888,3.47126
0.90000,0.07498,72.15051,0.00253,0.25293,3.67341
1.00000,0.08329,76.53069,0.00267,0.26702,3.89642
1.10000,0.09178,81.88849,0.00282,0.28200,4.16920
1.20000,0.10003,85.76047,0.00295,0.29506,4.36633
1.30000,0.10840,90.05837,0.00309,0.30939,4.58515
1.40000,0.11683,94.69570,0.00324,0.32381,4.82125
1.50000,0.12496,98.16582,0.00337,0.33734,4.99793
1.60000,0.13333,102.42511,0.00352,0.35167,5.21478
1.70000,0.14170,106.90847,0.00366,0.36593,5.44304
1.80000,0.14989,111.58567,0.00380,0.38002,5.68118
1.90000,0.15832,115.65223,0.00394,0.39384,5.88822
2.00000,0.16663,119.36525,0.00408,0.40765,6.07726
2.10000,0.17494,124.32033,0.00422,0.42241,6.32954
2.20000,0.18331,128.24030,0.00436,0.43619,6.52911
2.30000,0.19163,132.25891,0.00450,0.45000,6.73371
2.40000,0.19994,135.90412,0.00464,0.46423,6.91930
2.50000,0.20837,140.16199,0.00478,0.47849,7.13609
2.60000,0.21668,144.07028,0.00493,0.49254,7.33507
2.70000,0.22493,148.03992,0.00507,0.50656,7.53718
2.80000,0.23336,152.10978,0.00521,0.52055,7.74438
2.90000,0.24167,156.44291,0.00535,0.53455,7.96500
3.00000,0.24992,160.51393,0.00549,0.54888,8.17227
3.10000,0.25841,164.57115,0.00563,0.56311,8.37883
3.20000,0.26666,167.89123,0.00577,0.57697,8.54787
3.30000,0.27497,171.97985,0.00591,0.59135,8.75603
3.40000,0.28346,176.68998,0.00605,0.60520,8.99584
3.50000,0.29171,179.80372,0.00619,0.61900,9.15437
3.60000,0.30002,183.83921,0.00633,0.63269,9.35983
3.70000,0.30839,188.26739,0.00647,0.64696,9.58528
3.80000,0.31665,191.75078,0.00660,0.66044,9.76263
3.90000,0.32502,195.42908,0.00675,0.67524,9.94991
4.00000,0.33333,199.00564,0.00690,0.68971,10.13200
4.10000,0.34164,203.19137,0.00704,0.70368,10.34511
4.20000,0.34995,207.12118,0.00718,0.71773,10.54519
4.30000,0.35826,211.31507,0.00731,0.73139,10.75871
4.40000,0.36657,214.70566,0.00745,0.74507,10.93134
4.50000,0.37500,218.04408,0.00759,0.75914,11.10131
