Time,Extension,Load,Strain 1,Tensile strain,Tensile stress
(sec),(mm),(N),(mm/mm),(%),(MPa)
0.00000,0.00006,33.86109,0.00148,0.14845,1.83086
0.10000,0.00419,35.67933,0.00152,0.15185,1.92918
0.20000,0.01381,40.30316,0.00167,0.16684,2.17919
0.30000,0.02362,45.62965,0.00182,0.18239,2.46719
0.40000,0.03270,49.86086,0.00198,0.19762,2.69597
0.50000,0.04143,54.31589,0.00212,0.21163,2.93685
0.60000,0.04986,59.24680,0.00226,0.22579,3.20346
0.70000,0.05823,63.32137,0.00239,0.23927,3.42378
0.80000,0.06673,66.84747,0.00254,0.25378,3.61443
0.90000,0.07498,70.75229,0.00267,0.26741,3.82556
1.00000,0.08329,75.00057,0.00281,0.28084,4.05527
1.10000,0.09178,79.79637,0.00295,0.29498,4.31458
1.20000,0.10003,83.60155,0.00308,0.30830,4.52032
1.30000,0.10840,87.45150,0.00322,0.32177,4.72849
1.40000,0.11683,91.59868,0.00336,0.33584,4.95273
1.50000,0.12496,95.84749,0.00349,0.34885,5.18246
1.60000,0.13333,99.34856,0.00363,0.36290,5.37176
1.70000,0.14170,103.36261,0.00377,0.37689,5.58880
1.80000,0.14989,107.37599,0.00390,0.39037,5.80580
1.90000,0.15832,110.55338,0.00404,0.40406,5.97760
2.00000,0.16663,114.75114,0.00417,0.41734,6.20458
2.10000,0.17494,118.31895,0.00431,0.43128,6.39749
2.20000,0.18331,122.38610,0.00445,0.44525,6.61740
2.30000,0.19163,126.31315,0.00459,0.45909,6.82973
2.40000,0.19994,129.53910,0.00472,0.47235,7.00416
2.50000,0.20837,133.79895,0.00486,0.48629,7.23449
2.60000,0.21668,136.79524,0.00500,0.49992,7.39650
2.70000,0.22499,141.50244,0.00513,0.51320,7.65101
2.80000,0.23336,144.70296,0.00527,0.52705,7.82407
2.90000,0.24167,148.37754,0.00541,0.54084,8.02275
3.00000,0.24992,152.06749,0.00554,0.55445,8.22226
3.10000,0.25841,156.01739,0.00569,0.56861,8.43583
3.20000,0.26666,159.28677,0.00582,0.58195,8.61261
3.30000,0.27497,162.88655,0.00596,0.59598,8.80725
3.40000,0.28340,167.15560,0.00610,0.60957,9.03808
3.50000,0.29171,170.65624,0.00623,0.62349,9.22736
3.60000,0.30002,174.14584,0.00638,0.63755,9.41604
3.70000,0.30839,178.49483,0.00651,0.65146,9.65119
3.80000,0.31665,181.76492,0.00665,0.66499,9.82800
3.90000,0.32502,185.13221,0.00678,0.67840,10.01007
4.00000,0.33333,188.62905,0.00692,0.69238,10.19914
4.10000,0.34164,192.28483,0.00706,0.70632,10.39681
4.20000,0.34995,195.99833,0.00719,0.71933,10.59760
4.30000,0.35826,198.92282,0.00733,0.73319,10.75572
4.40000,0.36657,202.87153,0.00747,0.74679,10.96923
4.50000,0.37500,206.15561,0.00761,0.76066,11.14680
4.60000,0.38331,210.00833,0.00776,0.77560,11.35512
4.70000,0.39162,213.68249,0.00789,0.78905,11.55378
4.80000,0.39999,217.18871,0.00803,0.80284,11.74336
4.90000,0.40824,219.96815,0.00817,0.81651,11.89364
5.00000,0.41661,223.74967,0.00830,0.82992,12.09811
5.10000,0.42504,227.32774,0.00844,0.84409,12.29157
5.20000,0.43335,230.76988,0.00858,0.85762,12.47769
5.30000,0.44166,233.80979,0.00871,0.87093,12.64206
5.40000,0.45010,236.78546,0.00883,0.88333,12.80295
5.50000,0.45829,240.03929,0.00897,0.89733,12.97889
5.60000,0.46666,243.48071,0.00911,0.91074,13.16496
5.70000,0.47503,246.77280,0.00925,0.92452,13.34297
5.80000,0.48334,250.27441,0.00939,0.93867,13.53230
5.90000,0.49171,254.07132,0.00952,0.95222,13.73759
6.00000,0.50002,256.97893,0.00966,0.96604,13.89481
6.10000,0.50827,260.66164,0.00980,0.98013,14.09393
6.20000,0.51664,263.88366,0.00994,0.99378,14.26815
6.30000,0.52495,266.70306,0.01007,1.00737,14.42059
6.40000,0.53326,270.90658,0.01021,1.02129,14.64787
6.50000,0.54169,274.35585,0.01035,1.03545,14.83438
6.60000,0.55000,277.39955,0.01050,1.05020,14.99895
6.70000,0.55831,281.06584,0.01064,1.06353,15.19718
6.80000,0.56674,283.71890,0.01078,1.07810,15.34063
6.90000,0.57500,287.52859,0.01092,1.09198,15.54662
7.00000,0.58331,290.71162,0.01106,1.10554,15.71873
7.10000,0.59174,294.14219,0.01120,1.12016,15.90422
7.20000,0.59993,297.44583,0.01133,1.13334,16.08285
7.30000,0.60818,300.43237,0.01147,1.14727,16.24433
7.40000,0.61673,303.65733,0.01162,1.16185,16.41870
7.50000,0.62498,306.60210,0.01176,1.17637,16.57792
7.60000,0.63329,310.13377,0.01191,1.19056,16.76888
7.70000,0.64178,313.15200,0.01205,1.20537,16.93208
7.80000,0.64997,315.61658,0.01219,1.21875,17.06534
7.90000,0.65828,319.06578,0.01233,1.23279,17.25183
8.00000,0.66677,322.22301,0.01247,1.24713,17.42255
8.10000,0.67490,325.97466,0.01261,1.26148,17.62540
8.20000,0.68333,328.15228,0.01275,1.27521,17.74314
8.30000,0.69176,332.04060,0.01290,1.29017,17.95338
8.40000,0.70002,335.18453,0.01304,1.30423,18.12337
8.50000,0.70839,337.45989,0.01319,1.31881,18.24640
8.60000,0.71664,340.58790,0.01333,1.33316,18.41553
8.70000,0.72489,343.87910,0.01347,1.34664,18.59349
8.80000,0.73344,347.09205,0.01361,1.36141,18.76721
8.90000,0.74169,350.03852,0.01376,1.37603,18.92653
9.00000,0.75000,352.93840,0.01390,1.38986,19.08332
9.10000,0.75843,355.69253,0.01405,1.40486,19.23224
9.20000,0.76662,358.37379,0.01419,1.41929,19.37721
9.30000,0.77493,361.94241,0.01433,1.43333,19.57017
9.40000,0.78336,364.42277,0.01447,1.44748,19.70428
9.50000,0.79161,366.52514,0.01462,1.46218,19.81796
9.60000,0.79992,369.85623,0.01477,1.47669,19.99807
9.70000,0.80835,372.78617,0.01491,1.49120,20.15649
9.80000,0.81666,375.42554,0.01506,1.50565,20.29920
9.90000,0.82498,377.89652,0.01520,1.52025,20.43280
10.00000,0.83341,381.09154,0.01535,1.53453,20.60556
10.10000,0.84166,383.89699,0.01549,1.54898,20.75725
10.20000,0.84991,386.80262,0.01564,1.56353,20.91435
10.30000,0.85840,389.32499,0.01579,1.57854,21.05074
10.40000,0.86665,391.28899,0.01593,1.59300,21.15693
10.50000,0.87502,394.77334,0.01608,1.60817,21.34533
10.60000,0.88333,397.04777,0.01622,1.62248,21.46831
10.70000,0.89164,399.85119,0.01637,1.63732,21.61989
10.80000,0.90007,401.94909,0.01651,1.65144,21.73332
10.90000,0.90832,405.22330,0.01666,1.66622,21.91036
11.00000,0.91669,407.79174,0.01681,1.68091,22.04923
11.10000,0.92506,410.21421,0.01696,1.69580,22.18022
11.20000,0.93331,412.68067,0.01711,1.71091,22.31358
11.30000,0.94162,415.17597,0.01725,1.72533,22.44850
11.40000,0.95000,417.77031,0.01740,1.74040,22.58877
11.50000,0.95825,420.12213,0.01754,1.75403,22.71593
11.60000,0.96656,422.14012,0.01767,1.76678,22.82505
11.70000,0.97505,424.74177,0.01781,1.78141,22.96572
11.80000,0.98336,426.67110,0.01796,1.79615,23.07004
11.90000,0.99161,429.63894,0.01812,1.81168,23.23051
12.00000,1.00010,432.33582,0.01827,1.82667,23.37633
12.10000,1.00835,434.43413,0.01842,1.84176,23.48978
12.20000,1.01666,436.52188,0.01857,1.85653,23.60267
12.30000,1.02509,438.79100,0.01871,1.87139,23.72536
12.40000,1.03328,441.72024,0.01887,1.88667,23.88374
12.50000,1.04165,444.40334,0.01902,1.90163,24.02882
12.60000,1.04996,446.41397,0.01917,1.91659,24.13753
12.70000,1.05827,449.38857,0.01932,1.93207,24.29837
12.80000,1.06664,451.54141,0.01947,1.94690,24.41477
12.90000,1.07502,453.46548,0.01962,1.96181,24.51880
13.00000,1.08333,456.23761,0.01977,1.97672,24.66869
13.10000,1.09170,457.53941,0.01992,1.99235,24.73908
13.20000,1.10001,460.38730,0.02008,2.00755,24.89307
13.30000,1.10832,462.73563,0.02023,2.02285,25.02004
13.40000,1.11675,464.42184,0.02037,2.03699,25.11121
13.50000,1.12500,466.28858,0.02050,2.05021,25.21215
13.60000,1.13325,468.49246,0.02066,2.06558,25.33131
13.70000,1.14168,470.67096,0.02081,2.08057,25.44910
13.80000,1.14999,472.21985,0.02096,2.09635,25.53285
13.90000,1.15824,475.33880,0.02112,2.11221,25.70149
14.00000,1.16673,477.48224,0.02128,2.12809,25.81739
14.10000,1.17498,479.29664,0.02143,2.14345,25.91549
14.20000,1.18329,481.73401,0.02159,2.15855,26.04728
14.30000,1.19178,483.08517,0.02174,2.17436,26.12034
