Time,Extension,Load,Strain 1,Tensile strain,Tensile stress
(sec),(mm),(N),(mm/mm),(%),(MPa)
0.00000,0.00000,31.90932,0.00114,0.11422,1.54218
0.10000,0.00233,33.63523,0.00116,0.11569,1.62560
0.20000,0.01190,38.05973,0.00130,0.12960,1.83943
0.30000,0.02248,44.22400,0.00148,0.14831,2.13735
0.40000,0.03211,49.81944,0.00165,0.16546,2.40778
0.50000,0.04108,55.26501,0.00181,0.18053,2.67097
0.60000,0.04974,60.16943,0.00196,0.19606,2.90800
0.70000,0.05823,64.84322,0.00211,0.21058,3.13389
0.80000,0.06655,70.17031,0.00225,0.22499,3.39134
0.90000,0.07498,73.83756,0.00239,0.23921,3.56858
1.00000,0.08335,79.29461,0.00254,0.25445,3.83232
1.10000,0.09172,84.32877,0.00269,0.26910,4.07563
1.20000,0.09997,88.29314,0.00283,0.28251,4.26722
1.30000,0.10834,93.09391,0.00297,0.29683,4.49925
1.40000,0.11665,98.02548,0.00312,0.31160,4.73759
1.50000,0.12496,101.74152,0.00325,0.32538,4.91719
1.60000,0.13327,106.94845,0.00340,0.34010,5.16884
1.70000,0.14158,110.73713,0.00354,0.35430,5.35195
1.80000,0.14989,115.20192,0.00369,0.36878,5.56773
1.90000,0.15826,119.72674,0.00382,0.38236,5.78642
2.00000,0.16663,123.84414,0.00397,0.39692,5.98541
2.10000,0.17494,127.94889,0.00411,0.41143,6.18379
2.20000,0.18325,132.67371,0.00425,0.42528,6.41215
2.30000,0.19163,137.47625,0.00440,0.43965,6.64425
2.40000,0.19988,141.52516,0.00454,0.45400,6.83994
2.50000,0.20825,145.93995,0.00469,0.46875,7.05331
2.60000,0.21662,150.63731,0.00483,0.48299,7.28033
2.70000,0.22499,153.93236,0.00497,0.49661,7.43958
2.80000,0.23330,158.41915,0.00511,0.51084,7.65643
2.90000,0.24161,163.65283,0.00525,0.52546,7.90937
3.00000,0.24998,166.80644,0.00539,0.53938,8.06179
3.10000,0.25829,171.08946,0.00554,0.55405,8.26879
3.20000,0.26666,175.55911,0.00568,0.56803,8.48481
3.30000,0.27503,179.93058,0.00582,0.58202,8.69608
3.40000,0.28334,184.17783,0.00596,0.59650,8.90135
3.50000,0.29159,188.64913,0.00610,0.61020,9.11745
3.60000,0.29990,192.37415,0.00625,0.62494,9.29748
3.70000,0.30833,197.05286,0.00639,0.63917,9.52360
3.80000,0.31659,201.56887,0.00653,0.65349,9.74186
3.90000,0.32490,205.06345,0.00668,0.66794,9.91076
4.00000,0.33333,209.40558,0.00682,0.68222,10.12061
4.10000,0.34158,213.80514,0.00696,0.69579,10.33324
4.20000,0.34995,217.14219,0.00710,0.70961,10.49452
4.30000,0.35832,222.70631,0.00724,0.72433,10.76344
4.40000,0.36663,226.43928,0.00738,0.73820,10.94385
4.50000,0.37494,230.36464,0.00752,0.75249,11.13357
4.60000,0.38331,234.07703,0.00767,0.76651,11.31299
4.70000,0.39156,238.33939,0.00781,0.78053,11.51899
4.80000,0.39987,242.31332,0.00794,0.79444,11.71105
4.90000,0.40830,246.04665,0.00809,0.80867,11.89148
5.00000,0.41661,249.58667,0.00823,0.82254,12.06257
5.10000,0.42498,254.13847,0.00837,0.83742,12.28256
5.20000,0.43335,258.68048,0.00852,0.85200,12.50208
5.30000,0.44161,262.53662,0.00866,0.86603,12.68845
5.40000,0.44998,265.83157,0.00880,0.88024,12.84769
5.50000,0.45829,270.01121,0.00895,0.89500,13.04969
5.60000,0.46660,274.48682,0.00909,0.90909,13.26600
5.70000,0.47503,278.03078,0.00923,0.92293,13.43728
5.80000,0.48328,282.73680,0.00938,0.93768,13.66472
5.90000,0.49159,286.38637,0.00952,0.95192,13.84111
6.00000,0.50002,289.79473,0.00966,0.96595,14.00583
6.10000,0.50821,293.91630,0.00981,0.98069,14.20503
6.20000,0.51658,298.11282,0.00994,0.99402,14.40785
6.30000,0.52501,302.34605,0.01009,1.00906,14.61244
6.40000,0.53332,305.83756,0.01023,1.02282,14.78119
6.50000,0.54169,309.67272,0.01037,1.03703,14.96654
6.60000,0.55006,313.65838,0.01052,1.05167,15.15917
6.70000,0.55831,316.84460,0.01066,1.06602,15.31316
6.80000,0.56662,320.78282,0.01080,1.08023,15.50350
6.90000,0.57500,324.91111,0.01095,1.09478,15.70302
7.00000,0.58319,328.64164,0.01108,1.10840,15.88331
7.10000,0.59162,330.15129,0.01117,1.11653,15.95627
7.20000,0.59993,333.90024,0.01131,1.13062,16.13746
7.30000,0.60818,338.14844,0.01146,1.14553,16.34278
7.40000,0.61661,341.82894,0.01160,1.16024,16.52066
7.50000,0.62498,345.21625,0.01175,1.17481,16.68437
7.60000,0.63323,348.92142,0.01189,1.18937,16.86344
7.70000,0.64160,352.37805,0.01203,1.20303,17.03050
7.80000,0.64985,356.60756,0.01217,1.21725,17.23491
7.90000,0.65822,360.37534,0.01231,1.23118,17.41701
8.00000,0.66665,364.05986,0.01246,1.24608,17.59508
8.10000,0.67490,367.71928,0.01261,1.26054,17.77194
