Time,Extension,Load,Strain 1,Tensile strain,Tensile stress
(sec),(mm),(N),(mm/mm),(%),(MPa)
0.00000,0.00000,14.60663,0.00041,0.04101,0.70855
0.10000,0.00407,15.47316,0.00044,0.04395,0.75059
0.20000,0.01375,18.83574,0.00057,0.05682,0.91370
0.30000,0.02344,22.93877,0.00070,0.06979,1.11274
0.40000,0.03265,26.94678,0.00082,0.08222,1.30716
0.50000,0.04137,30.20796,0.00095,0.09491,1.46536
0.60000,0.04992,34.01419,0.00107,0.10681,1.64999
0.70000,0.05829,37.17930,0.00118,0.11827,1.80353
0.80000,0.06667,40.76874,0.00130,0.13026,1.97765
0.90000,0.07498,43.88906,0.00142,0.14218,2.12901
1.00000,0.08335,46.82319,0.00154,0.15406,2.27134
1.10000,0.09172,50.33871,0.00166,0.16603,2.44188
1.20000,0.09997,54.39443,0.00178,0.17800,2.63862
1.30000,0.10840,57.35350,0.00190,0.19001,2.78216
1.40000,0.11665,60.89960,0.00202,0.20196,2.95417
1.50000,0.12496,63.68322,0.00214,0.21389,3.08920
1.60000,0.13339,67.33381,0.00227,0.22689,3.26629
1.70000,0.14164,70.64376,0.00239,0.23881,3.42685
1.80000,0.14995,73.78902,0.00250,0.25049,3.57943
1.90000,0.15838,77.55734,0.00264,0.26364,3.76222
2.00000,0.16663,80.58712,0.00275,0.27539,3.90919
2.10000,0.17500,83.68372,0.00288,0.28792,4.05941
2.20000,0.18337,87.34640,0.00301,0.30059,4.23708
2.30000,0.19169,90.13313,0.00313,0.31269,4.37226
2.40000,0.20000,93.90766,0.00325,0.32550,4.55536
2.50000,0.20837,96.62520,0.00338,0.33780,4.68719
2.60000,0.21674,100.64454,0.00351,0.35088,4.88216
2.70000,0.22499,103.00634,0.00363,0.36300,4.99673
2.80000,0.23336,106.57604,0.00376,0.37599,5.16989
2.90000,0.24173,109.44841,0.00389,0.38871,5.30923
3.00000,0.25004,112.76248,0.00401,0.40086,5.46999
3.10000,0.25835,116.13999,0.00414,0.41396,5.63383
3.20000,0.26672,119.26854,0.00427,0.42652,5.78559
3.30000,0.27503,122.94308,0.00439,0.43934,5.96384
3.40000,0.28334,126.04053,0.00452,0.45213,6.11409
3.50000,0.29165,128.89554,0.00465,0.46470,6.25258
3.60000,0.29996,132.24601,0.00478,0.47811,6.41511
3.70000,0.30821,135.34048,0.00490,0.49050,6.56522
3.80000,0.31659,138.59821,0.00504,0.50356,6.72325
3.90000,0.32502,141.36586,0.00516,0.51620,6.85751
4.00000,0.33333,145.49930,0.00529,0.52930,7.05802
4.10000,0.34164,148.50385,0.00543,0.54257,7.20376
4.20000,0.35001,151.08524,0.00555,0.55520,7.32898
4.30000,0.35820,154.31048,0.00568,0.56800,7.48544
4.40000,0.36657,158.48632,0.00581,0.58112,7.68800
4.50000,0.37500,161.16941,0.00594,0.59436,7.81816
4.60000,0.38337,164.11697,0.00607,0.60739,7.96114
4.70000,0.39168,167.92513,0.00620,0.62048,8.14587
4.80000,0.40005,171.19233,0.00634,0.63375,8.30436
4.90000,0.40836,174.09074,0.00647,0.64680,8.44496
5.00000,0.41667,176.47203,0.00660,0.65979,8.56047
5.10000,0.42510,180.32014,0.00673,0.67313,8.74714
5.20000,0.43341,183.22098,0.00686,0.68574,8.88785
5.30000,0.44172,186.91634,0.00700,0.69968,9.06711
5.40000,0.45004,190.50288,0.00713,0.71254,9.24109
5.50000,0.45829,193.02298,0.00726,0.72600,9.36334
5.60000,0.46672,196.35162,0.00740,0.73951,9.52481
5.70000,0.47491,199.56178,0.00752,0.75218,9.68053
5.80000,0.48328,202.95165,0.00766,0.76580,9.84497
5.90000,0.49171,206.08881,0.00779,0.77927,9.99715
6.00000,0.49996,208.47195,0.00792,0.79244,10.11275
6.10000,0.50827,211.72555,0.00806,0.80617,10.27058
6.20000,0.51670,215.17291,0.00820,0.81976,10.43781
6.30000,0.52501,218.99228,0.00833,0.83346,10.62308
6.40000,0.53332,221.64378,0.00847,0.84694,10.75170
6.50000,0.54169,224.38511,0.00860,0.86021,10.88468
6.60000,0.54994,227.55330,0.00873,0.87339,11.03837
6.70000,0.55825,230.79375,0.00887,0.88665,11.19556
6.80000,0.56674,234.19322,0.00900,0.90041,11.36046
6.90000,0.57500,236.95247,0.00914,0.91403,11.49431
7.00000,0.58337,240.45517,0.00927,0.92734,11.66422
7.10000,0.59174,243.40297,0.00941,0.94073,11.80722
7.20000,0.59993,246.87825,0.00954,0.95444,11.97580
7.30000,0.60830,249.56295,0.00967,0.96745,12.10603
7.40000,0.61667,252.66423,0.00982,0.98177,12.25647
7.50000,0.62492,255.77329,0.00995,0.99450,12.40729
7.60000,0.63335,258.64381,0.01008,1.00826,12.54653
7.70000,0.64166,262.03664,0.01022,1.02186,12.71112
7.80000,0.64991,265.30528,0.01035,1.03530,12.86968
7.90000,0.65840,268.12225,0.01049,1.04897,13.00632
8.00000,0.66665,271.56877,0.01062,1.06232,13.17351
8.10000,0.67490,274.17373,0.01076,1.07613,13.29987
8.20000,0.68345,277.67243,0.01090,1.08982,13.46959
8.30000,0.69170,280.39508,0.01104,1.10368,13.60167
8.40000,0.70002,283.15161,0.01117,1.11723,13.73538
8.50000,0.70845,287.47451,0.01132,1.13204,13.94508
8.60000,0.71664,289.40488,0.01145,1.14533,14.03872
8.70000,0.72495,292.45166,0.01159,1.15896,14.18652
8.80000,0.73338,295.48132,0.01173,1.17276,14.33348
8.90000,0.74157,298.54442,0.01186,1.18613,14.48207
9.00000,0.75000,301.97734,0.01200,1.20007,14.64860
9.10000,0.75837,303.99519,0.01214,1.21395,14.74648
9.20000,0.76662,307.45592,0.01226,1.22642,14.91436
9.30000,0.77499,309.84320,0.01240,1.24007,15.03016
9.40000,0.78336,313.14958,0.01254,1.25377,15.19055
9.50000,0.79161,315.56387,0.01268,1.26768,15.30767
9.60000,0.79998,319.80227,0.01281,1.28134,15.51327
9.70000,0.80829,321.95707,0.01295,1.29521,15.61779
9.80000,0.81660,324.32610,0.01308,1.30843,15.73271
9.90000,0.82504,328.29060,0.01323,1.32258,15.92503
10.00000,0.83329,330.36827,0.01336,1.33630,16.02581
