Time,Extension,Load,Strain 1,Tensile strain,Tensile stress
(sec),(mm),(N),(mm/mm),(%),(MPa)
0.00000,0.00149,20.15616,-0.00353,-0.35305,1.01085
0.10000,0.00532,21.88359,-0.00350,-0.35013,1.09748
0.20000,0.01489,25.77280,-0.00337,-0.33694,1.29253
0.30000,0.02469,30.22978,-0.00323,-0.32287,1.51605
0.40000,0.03396,34.68017,-0.00309,-0.30924,1.73924
0.50000,0.04287,38.22336,-0.00296,-0.29626,1.91694
0.60000,0.05124,42.95132,-0.00283,-0.28322,2.15405
0.70000,0.05973,46.26350,-0.00271,-0.27075,2.32016
0.80000,0.06810,49.85906,-0.00259,-0.25873,2.50048
0.90000,0.07635,53.65502,-0.00246,-0.24581,2.69085
1.00000,0.08472,57.70572,-0.00234,-0.23371,2.89400
1.10000,0.09315,61.48635,-0.00221,-0.22067,3.08360
1.20000,0.10140,64.58457,-0.00209,-0.20869,3.23898
1.30000,0.10977,68.54725,-0.00196,-0.19573,3.43771
1.40000,0.11820,72.53689,-0.00183,-0.18285,3.63779
1.50000,0.12645,76.35487,-0.00171,-0.17074,3.82927
1.60000,0.13477,80.09019,-0.00157,-0.15694,4.01660
1.70000,0.14320,83.95519,-0.00145,-0.14455,4.21043
1.80000,0.15139,86.82536,-0.00133,-0.13259,4.35437
1.90000,0.15976,90.50567,-0.00120,-0.11978,4.53895
2.00000,0.16813,94.16710,-0.00107,-0.10681,4.72257
2.10000,0.17638,97.91763,-0.00094,-0.09391,4.91066
2.20000,0.18481,102.08882,-0.00081,-0.08079,5.11985
2.30000,0.19312,105.46270,-0.00069,-0.06852,5.28905
2.40000,0.20137,108.39031,-0.00055,-0.05499,5.43588
2.50000,0.20974,112.56112,-0.00043,-0.04279,5.64505
2.60000,0.21799,116.53446,-0.00030,-0.02979,5.84431
2.70000,0.22636,119.61700,-0.00017,-0.01707,5.99891
2.80000,0.23479,123.30504,-0.00004,-0.00419,6.18387
2.90000,0.24310,126.66958,0.00009,0.00871,6.35260
3.00000,0.25141,130.44038,0.00021,0.02142,6.54171
3.10000,0.25979,134.45761,0.00035,0.03484,6.74318
3.20000,0.26810,136.90256,0.00047,0.04738,6.86579
3.30000,0.27641,140.53462,0.00060,0.06002,7.04795
3.40000,0.28478,144.12911,0.00073,0.07278,7.22821
3.50000,0.29309,148.18246,0.00086,0.08620,7.43149
3.60000,0.30140,151.36274,0.00099,0.09935,7.59099
3.70000,0.30977,154.42468,0.00112,0.11237,7.74454
3.80000,0.31820,157.85286,0.00125,0.12486,7.91647
3.90000,0.32651,161.64939,0.00139,0.13859,8.10687
4.00000,0.33476,164.62880,0.00151,0.15117,8.25629
4.10000,0.34307,168.15718,0.00164,0.16439,8.43324
4.20000,0.35144,171.60850,0.00177,0.17733,8.60633
4.30000,0.35969,175.58713,0.00190,0.19018,8.80586
4.40000,0.36806,179.22034,0.00203,0.20312,8.98807
