Time,Extension,Load,Strain 1,Tensile strain,Tensile stress
(sec),(mm),(N),(mm/mm),(%),(MPa)
0.00000,0.00006,20.89292,0.00054,0.05395,1.05665
0.10000,0.00425,22.07117,0.00056,0.05648,1.11624
0.20000,0.01387,25.72712,0.00068,0.06833,1.30114
0.30000,0.02356,30.21923,0.00081,0.08090,1.52832
0.40000,0.03265,34.52484,0.00093,0.09297,1.74608
0.50000,0.04143,37.96110,0.00105,0.10468,1.91986
0.60000,0.04986,41.95318,0.00116,0.11629,2.12176
0.70000,0.05829,45.75733,0.00128,0.12756,2.31416
0.80000,0.06667,49.34678,0.00139,0.13895,2.49569
0.90000,0.07498,52.18647,0.00150,0.15001,2.63931
1.00000,0.08329,55.96551,0.00161,0.16137,2.83043
1.10000,0.09172,60.53677,0.00173,0.17295,3.06162
1.20000,0.10003,63.50321,0.00184,0.18389,3.21164
1.30000,0.10834,66.94098,0.00196,0.19590,3.38551
1.40000,0.11671,71.27156,0.00208,0.20754,3.60453
1.50000,0.12508,74.70733,0.00219,0.21909,3.77829
1.60000,0.13339,77.79509,0.00230,0.23048,3.93445
1.70000,0.14164,81.25929,0.00242,0.24223,4.10965
1.80000,0.14995,84.47117,0.00253,0.25337,4.27209
1.90000,0.15832,87.53659,0.00264,0.26425,4.42712
2.00000,0.16657,91.78755,0.00276,0.27602,4.64211
2.10000,0.17494,94.85615,0.00288,0.28807,4.79730
2.20000,0.18331,98.00835,0.00297,0.29712,4.95673
2.30000,0.19157,101.62910,0.00309,0.30913,5.13984
2.40000,0.19994,105.21103,0.00321,0.32073,5.32100
2.50000,0.20837,107.99671,0.00333,0.33294,5.46188
2.60000,0.21662,112.06847,0.00345,0.34503,5.66781
2.70000,0.22499,115.90412,0.00357,0.35678,5.86180
2.80000,0.23330,119.10367,0.00369,0.36885,6.02361
2.90000,0.24155,122.54388,0.00381,0.38082,6.19760
3.00000,0.24998,125.18190,0.00393,0.39253,6.33102
3.10000,0.25841,129.41612,0.00405,0.40503,6.54516
3.20000,0.26672,133.43018,0.00417,0.41653,6.74817
3.30000,0.27503,135.88525,0.00429,0.42904,6.87233
3.40000,0.28340,139.48366,0.00441,0.44129,7.05432
3.50000,0.29165,142.50511,0.00453,0.45331,7.20713
3.60000,0.30002,145.84388,0.00466,0.46551,7.37599
3.70000,0.30839,149.63780,0.00477,0.47749,7.56786
3.80000,0.31670,153.05913,0.00490,0.48954,7.74089
3.90000,0.32508,155.95240,0.00502,0.50184,7.88722
4.00000,0.33333,160.23826,0.00514,0.51447,8.10397
4.10000,0.34164,163.35988,0.00527,0.52674,8.26185
4.20000,0.35001,166.60324,0.00539,0.53866,8.42588
4.30000,0.35832,169.91559,0.00551,0.55109,8.59340
4.40000,0.36663,173.08397,0.00563,0.56336,8.75364
4.50000,0.37500,175.60265,0.00572,0.57188,8.88102
4.60000,0.38331,178.79962,0.00584,0.58383,9.04271
4.70000,0.39162,181.81374,0.00596,0.59609,9.19514
4.80000,0.40005,185.76981,0.00609,0.60890,9.39522
4.90000,0.40836,188.77146,0.00621,0.62118,9.54703
5.00000,0.41661,192.28167,0.00634,0.63364,9.72456
