Time,Extension,Load,Strain 1,Tensile strain,Tensile stress
(sec),(mm),(N),(mm/mm),(%),(MPa)
0.00000,0.00006,20.41878,0.00077,0.07663,1.00633
0.10000,0.00419,22.17119,0.00080,0.08015,1.09270
0.20000,0.01381,25.41445,0.00095,0.09525,1.25254
0.30000,0.02350,30.60263,0.00110,0.11001,1.50824
0.40000,0.03259,33.89925,0.00125,0.12488,1.67071
0.50000,0.04143,37.31262,0.00139,0.13900,1.83894
0.60000,0.04986,41.85064,0.00153,0.15287,2.06259
0.70000,0.05829,46.01385,0.00166,0.16642,2.26778
0.80000,0.06667,49.29527,0.00180,0.17983,2.42950
0.90000,0.07498,53.45560,0.00193,0.19322,2.63454
1.00000,0.08329,56.72887,0.00206,0.20641,2.79586
1.10000,0.09172,60.41725,0.00220,0.22030,2.97764
1.20000,0.10003,63.62859,0.00234,0.23350,3.13591
1.30000,0.10834,67.74953,0.00247,0.24688,3.33901
1.40000,0.11671,71.72375,0.00261,0.26093,3.53488
1.50000,0.12508,75.37859,0.00274,0.27431,3.71501
1.60000,0.13339,78.58879,0.00288,0.28752,3.87322
1.70000,0.14164,82.40936,0.00301,0.30078,4.06152
1.80000,0.15001,86.30714,0.00314,0.31447,4.25362
1.90000,0.15832,89.44547,0.00328,0.32750,4.40829
2.00000,0.16663,93.64457,0.00342,0.34169,4.61524
2.10000,0.17500,97.27937,0.00355,0.35487,4.79438
2.20000,0.18331,101.25029,0.00368,0.36835,4.99008
2.30000,0.19157,104.63711,0.00382,0.38175,5.15700
2.40000,0.20000,108.14493,0.00395,0.39514,5.32988
2.50000,0.20837,112.12142,0.00408,0.40849,5.52586
2.60000,0.21668,114.90447,0.00422,0.42234,5.66302
2.70000,0.22499,119.37808,0.00436,0.43553,5.88350
2.80000,0.23330,122.68182,0.00449,0.44911,6.04633
2.90000,0.24155,126.28241,0.00463,0.46267,6.22378
3.00000,0.24998,129.68292,0.00476,0.47628,6.39138
3.10000,0.25841,133.64590,0.00490,0.48999,6.58669
3.20000,0.26672,136.68238,0.00503,0.50323,6.73634
3.30000,0.27503,140.49867,0.00516,0.51648,6.92443
3.40000,0.28340,144.71342,0.00530,0.53020,7.13215
3.50000,0.29165,147.30789,0.00543,0.54348,7.26002
3.60000,0.30002,151.21769,0.00557,0.55729,7.45271
3.70000,0.30833,154.79748,0.00571,0.57087,7.62914
3.80000,0.31670,158.33426,0.00584,0.58385,7.80345
3.90000,0.32508,162.04836,0.00598,0.59777,7.98649
4.00000,0.33339,165.52737,0.00611,0.61129,8.15796
