Time,Extension,Load,Strain 1,Tensile strain,Tensile stress
(sec),(mm),(N),(mm/mm),(%),(MPa)
0.00000,0.00000,4.85060,0.00001,0.00092,0.23328
0.10000,0.00401,6.34521,0.00004,0.00386,0.30516
0.20000,0.01369,9.02236,0.00017,0.01671,0.43392
0.30000,0.02344,14.03120,0.00031,0.03146,0.67481
0.40000,0.03259,16.79228,0.00045,0.04489,0.80760
0.50000,0.04137,20.03945,0.00059,0.05862,0.96376
0.60000,0.04986,23.73040,0.00072,0.07165,1.14127
0.70000,0.05829,26.93342,0.00084,0.08422,1.29532
0.80000,0.06667,29.87964,0.00097,0.09673,1.43701
0.90000,0.07504,33.02276,0.00109,0.10943,1.58817
1.00000,0.08329,36.09652,0.00121,0.12100,1.73600
1.10000,0.09172,39.16346,0.00134,0.13427,1.88350
1.20000,0.10009,42.20107,0.00147,0.14675,2.02959
1.30000,0.10834,45.20137,0.00159,0.15915,2.17389
1.40000,0.11677,48.65640,0.00173,0.17259,2.34005
1.50000,0.12508,52.37055,0.00185,0.18545,2.51867
1.60000,0.13339,55.34367,0.00198,0.19788,2.66166
1.70000,0.14164,58.33901,0.00211,0.21077,2.80572
1.80000,0.15001,60.88707,0.00223,0.22332,2.92826
1.90000,0.15832,64.19908,0.00236,0.23607,3.08755
2.00000,0.16663,67.54372,0.00249,0.24919,3.24840
2.10000,0.17500,70.19143,0.00262,0.26249,3.37574
2.20000,0.18325,73.79864,0.00275,0.27541,3.54922
2.30000,0.19157,76.76493,0.00288,0.28838,3.69188
2.40000,0.20000,79.78895,0.00301,0.30101,3.83732
2.50000,0.20837,83.64098,0.00314,0.31434,4.02257
2.60000,0.21668,85.95175,0.00327,0.32731,4.13371
2.70000,0.22499,89.10709,0.00340,0.34022,4.28546
2.80000,0.23330,92.60823,0.00354,0.35355,4.45384
2.90000,0.24161,95.67308,0.00367,0.36656,4.60124
3.00000,0.24998,98.32638,0.00380,0.37959,4.72884
3.10000,0.25841,101.53570,0.00393,0.39284,4.88319
3.20000,0.26672,104.24843,0.00405,0.40549,5.01366
3.30000,0.27503,107.58569,0.00419,0.41859,5.17415
3.40000,0.28340,111.05598,0.00432,0.43227,5.34105
3.50000,0.29165,113.91330,0.00446,0.44550,5.47847
3.60000,0.30002,116.83580,0.00459,0.45870,5.61902
3.70000,0.30839,119.16854,0.00472,0.47209,5.73121
3.80000,0.31670,123.03579,0.00485,0.48548,5.91720
3.90000,0.32508,125.64397,0.00499,0.49898,6.04264
4.00000,0.33339,129.07141,0.00512,0.51196,6.20748
4.10000,0.34164,132.17956,0.00526,0.52558,6.35696
4.20000,0.34995,134.70880,0.00538,0.53831,6.47860
4.30000,0.35832,137.58313,0.00551,0.55141,6.61683
4.40000,0.36663,141.71338,0.00565,0.56492,6.81547
4.50000,0.37500,143.77248,0.00579,0.57901,6.91450
4.60000,0.38331,146.75688,0.00592,0.59248,7.05803
4.70000,0.39162,150.11234,0.00606,0.60563,7.21940
4.80000,0.40005,152.91867,0.00619,0.61935,7.35437
4.90000,0.40836,155.95310,0.00633,0.63269,7.50031
5.00000,0.41667,158.67461,0.00646,0.64550,7.63119
5.10000,0.42510,161.58839,0.00659,0.65928,7.77133
5.20000,0.43329,165.29448,0.00673,0.67292,7.94956
5.30000,0.44161,167.77741,0.00687,0.68664,8.06898
5.40000,0.45010,170.52072,0.00701,0.70074,8.20091
5.50000,0.45829,173.63977,0.00714,0.71442,8.35092
5.60000,0.46666,176.92985,0.00728,0.72803,8.50915
5.70000,0.47509,179.67124,0.00742,0.74198,8.64099
5.80000,0.48328,182.52875,0.00755,0.75464,8.77842
5.90000,0.49159,186.28669,0.00768,0.76827,8.95915
6.00000,0.50002,188.99260,0.00782,0.78212,9.08929
6.10000,0.50827,190.80184,0.00796,0.79591,9.17630
6.20000,0.51664,194.15753,0.00809,0.80906,9.33768
6.30000,0.52507,197.52041,0.00823,0.82279,9.49942
6.40000,0.53332,200.14094,0.00836,0.83628,9.62545
6.50000,0.54169,202.71274,0.00850,0.84975,9.74913
6.60000,0.55000,205.95125,0.00864,0.86385,9.90488
6.70000,0.55825,209.00555,0.00877,0.87731,10.05177
6.80000,0.56674,211.41875,0.00891,0.89138,10.16783
6.90000,0.57506,215.40711,0.00905,0.90547,10.35965
7.00000,0.58331,218.01142,0.00918,0.91839,10.48490
7.10000,0.59174,220.74771,0.00932,0.93250,10.61649
7.20000,0.59993,223.93451,0.00946,0.94600,10.76976
7.30000,0.60824,226.93658,0.00959,0.95944,10.91414
7.40000,0.61667,229.59451,0.00973,0.97318,11.04197
7.50000,0.62492,232.76056,0.00987,0.98718,11.19423
7.60000,0.63329,235.40482,0.01002,1.00161,11.32140
7.70000,0.64166,238.22472,0.01015,1.01530,11.45702
7.80000,0.64997,241.42871,0.01029,1.02884,11.61111
