Time,Extension,Load,Strain 1,Tensile strain,Tensile stress
(sec),(mm),(N),(mm/mm),(%),(MPa)
0.00000,0.00006,12.25873,0.00091,0.09055,0.59212
0.10000,0.00251,12.32956,0.00091,0.09150,0.59554
0.20000,0.01214,16.18808,0.00107,0.10692,0.78192
0.30000,0.02266,20.30995,0.00126,0.12620,0.98102
0.40000,0.03217,23.87610,0.00143,0.14337,1.15327
0.50000,0.04119,28.26193,0.00160,0.16021,1.36511
0.60000,0.04980,32.10843,0.00176,0.17573,1.55091
0.70000,0.05823,34.69291,0.00191,0.19111,1.67574
0.80000,0.06667,38.90239,0.00207,0.20657,1.87907
0.90000,0.07498,41.45591,0.00221,0.22147,2.00241
1.00000,0.08329,44.44931,0.00236,0.23605,2.14700
1.10000,0.09178,48.23315,0.00251,0.25129,2.32977
1.20000,0.10003,52.09986,0.00266,0.26626,2.51654
1.30000,0.10834,55.03183,0.00281,0.28127,2.65816
1.40000,0.11677,58.54428,0.00297,0.29662,2.82782
1.50000,0.12508,61.68237,0.00312,0.31171,2.97939
1.60000,0.13339,65.06225,0.00327,0.32653,3.14265
1.70000,0.14170,68.40074,0.00341,0.34132,3.30390
1.80000,0.14995,72.03738,0.00356,0.35568,3.47956
1.90000,0.15832,75.55156,0.00370,0.37046,3.64931
2.00000,0.16663,78.66153,0.00385,0.38539,3.79952
2.10000,0.17494,81.86577,0.00400,0.40042,3.95429
2.20000,0.18325,85.22754,0.00415,0.41547,4.11668
2.30000,0.19163,88.58882,0.00431,0.43076,4.27903
2.40000,0.20000,92.20048,0.00445,0.44510,4.45348
2.50000,0.20837,95.28946,0.00460,0.45994,4.60269
2.60000,0.21668,98.23376,0.00475,0.47517,4.74490
2.70000,0.22499,101.58655,0.00490,0.48980,4.90685
2.80000,0.23330,104.75834,0.00505,0.50478,5.06006
2.90000,0.24161,108.39569,0.00520,0.51988,5.23575
3.00000,0.24998,110.71411,0.00535,0.53484,5.34773
3.10000,0.25841,114.37031,0.00549,0.54949,5.52434
3.20000,0.26672,117.18421,0.00564,0.56396,5.66025
3.30000,0.27503,120.94484,0.00579,0.57936,5.84190
3.40000,0.28340,124.30527,0.00594,0.59430,6.00422
3.50000,0.29165,127.20528,0.00609,0.60921,6.14429
3.60000,0.30002,130.77183,0.00624,0.62401,6.31656
3.70000,0.30839,133.51005,0.00639,0.63864,6.44883
3.80000,0.31670,137.24404,0.00653,0.65326,6.62919
3.90000,0.32502,140.14763,0.00668,0.66798,6.76944
4.00000,0.33339,143.47817,0.00683,0.68298,6.93031
4.10000,0.34164,147.06809,0.00698,0.69818,7.10371
4.20000,0.34995,149.57770,0.00713,0.71267,7.22493
4.30000,0.35832,153.07509,0.00727,0.72743,7.39386
4.40000,0.36663,155.96724,0.00742,0.74214,7.53356
4.50000,0.37500,159.47485,0.00757,0.75706,7.70298
4.60000,0.38331,162.30431,0.00772,0.77204,7.83965
4.70000,0.39162,165.63786,0.00787,0.78653,8.00067
4.80000,0.40005,168.75408,0.00802,0.80167,8.15119
4.90000,0.40836,172.10077,0.00817,0.81712,8.31284
5.00000,0.41667,175.07226,0.00832,0.83190,8.45637
5.10000,0.42510,178.53194,0.00847,0.84698,8.62348
5.20000,0.43329,181.35849,0.00861,0.86148,8.76001
5.30000,0.44155,184.50278,0.00876,0.87591,8.91189
5.40000,0.45010,187.67876,0.00891,0.89116,9.06529
5.50000,0.45829,191.01066,0.00906,0.90553,9.22623
