Time,Extension,Load,Strain 1,Tensile strain,Tensile stress
(sec),(mm),(N),(mm/mm),(%),(MPa)
0.00000,0.00006,24.47748,0.00114,0.11379,1.24518
0.10000,0.00419,26.84185,0.00117,0.11721,1.36546
0.20000,0.01375,30.74643,0.00132,0.13165,1.56408
0.30000,0.02356,35.57875,0.00147,0.14733,1.80990
0.40000,0.03270,40.42713,0.00162,0.16240,2.05654
0.50000,0.04143,44.88653,0.00177,0.17687,2.28340
0.60000,0.04986,48.57802,0.00191,0.19137,2.47118
0.70000,0.05823,52.98651,0.00204,0.20439,2.69544
0.80000,0.06673,57.01421,0.00218,0.21810,2.90034
0.90000,0.07498,60.81444,0.00231,0.23140,3.09365
1.00000,0.08335,64.70304,0.00245,0.24484,3.29147
1.10000,0.09178,69.00222,0.00258,0.25847,3.51017
1.20000,0.10003,72.41933,0.00272,0.27233,3.68400
1.30000,0.10840,76.40358,0.00286,0.28608,3.88668
1.40000,0.11683,81.30184,0.00300,0.30044,4.13586
1.50000,0.12496,84.19512,0.00313,0.31326,4.28304
1.60000,0.13339,89.08721,0.00327,0.32725,4.53190
1.70000,0.14170,92.85132,0.00341,0.34095,4.72338
1.80000,0.14995,96.70878,0.00354,0.35404,4.91961
1.90000,0.15832,99.93955,0.00368,0.36815,5.08396
2.00000,0.16663,103.41497,0.00382,0.38186,5.26076
2.10000,0.17488,107.56893,0.00396,0.39626,5.47207
2.20000,0.18331,111.92441,0.00409,0.40917,5.69364
2.30000,0.19163,114.53904,0.00423,0.42342,5.82665
2.40000,0.19994,117.98705,0.00437,0.43686,6.00205
2.50000,0.20837,122.12885,0.00451,0.45086,6.21274
2.60000,0.21668,125.88635,0.00465,0.46454,6.40389
2.70000,0.22499,129.41072,0.00478,0.47831,6.58317
2.80000,0.23336,133.13683,0.00493,0.49263,6.77272
2.90000,0.24167,136.90619,0.00506,0.50645,6.96447
3.00000,0.24998,140.58052,0.00520,0.52012,7.15139
3.10000,0.25841,144.17914,0.00534,0.53438,7.33445
3.20000,0.26672,147.88380,0.00548,0.54786,7.52291
3.30000,0.27497,151.63540,0.00561,0.56143,7.71375
3.40000,0.28340,155.77307,0.00576,0.57614,7.92424
3.50000,0.29177,159.01077,0.00590,0.59027,8.08894
3.60000,0.30008,162.37309,0.00604,0.60398,8.25998
3.70000,0.30833,165.79906,0.00618,0.61763,8.43426
3.80000,0.31665,169.49633,0.00631,0.63128,8.62234
3.90000,0.32502,173.31898,0.00645,0.64495,8.81680
4.00000,0.33327,175.91128,0.00659,0.65888,8.94868
4.10000,0.34164,179.90626,0.00673,0.67330,9.15190
4.20000,0.34995,183.67070,0.00687,0.68707,9.34340
4.30000,0.35826,186.55839,0.00701,0.70141,9.49030
4.40000,0.36663,190.49158,0.00715,0.71539,9.69038
4.50000,0.37500,193.94552,0.00729,0.72913,9.86608
4.60000,0.38331,197.37331,0.00743,0.74318,10.04046
4.70000,0.39168,200.47291,0.00757,0.75673,10.19814
4.80000,0.39999,203.65538,0.00770,0.77048,10.36003
4.90000,0.40824,207.50982,0.00785,0.78458,10.55611
5.00000,0.41667,211.49574,0.00799,0.79867,10.75887
5.10000,0.42504,214.40971,0.00813,0.81325,10.90711
5.20000,0.43335,218.03703,0.00827,0.82727,11.09163
5.30000,0.44166,220.75321,0.00841,0.84144,11.22980
5.40000,0.45010,224.30457,0.00855,0.85525,11.41046
5.50000,0.45829,227.12748,0.00869,0.86896,11.55406
5.60000,0.46666,230.89903,0.00883,0.88327,11.74592
5.70000,0.47503,234.53061,0.00897,0.89737,11.93066
5.80000,0.48334,237.80297,0.00911,0.91150,12.09713
5.90000,0.49171,241.04726,0.00926,0.92578,12.26217
6.00000,0.50002,244.25185,0.00940,0.93984,12.42519
6.10000,0.50827,248.24082,0.00954,0.95392,12.62811
6.20000,0.51664,251.80820,0.00968,0.96810,12.80958
6.30000,0.52495,254.26657,0.00982,0.98246,12.93464
6.40000,0.53332,258.22879,0.00996,0.99619,13.13620
6.50000,0.54169,260.53216,0.01011,1.01083,13.25337
6.60000,0.54994,264.09705,0.01025,1.02535,13.43472
6.70000,0.55831,267.39615,0.01039,1.03903,13.60255
6.80000,0.56674,270.69533,0.01053,1.05314,13.77038
