Time,Extension,Load,Strain 1,Tensile strain,Tensile stress
(sec),(mm),(N),(mm/mm),(%),(MPa)
0.00000,0.00006,22.61309,0.00090,0.09030,1.09403
0.10000,0.00419,24.11791,0.00093,0.09339,1.16684
0.20000,0.01381,28.33957,0.00109,0.10928,1.37108
0.30000,0.02356,33.78781,0.00126,0.12590,1.63467
0.40000,0.03270,38.94212,0.00142,0.14185,1.88404
0.50000,0.04143,43.78604,0.00156,0.15639,2.11839
0.60000,0.04986,48.30032,0.00171,0.17090,2.33679
0.70000,0.05823,52.24819,0.00185,0.18490,2.52779
0.80000,0.06673,56.47167,0.00199,0.19913,2.73213
0.90000,0.07498,60.61710,0.00213,0.21281,2.93268
1.00000,0.08329,64.94563,0.00227,0.22652,3.14210
1.10000,0.09178,69.65405,0.00241,0.24123,3.36990
1.20000,0.10003,73.07961,0.00256,0.25555,3.53563
1.30000,0.10840,77.10292,0.00270,0.26958,3.73027
1.40000,0.11683,81.87760,0.00284,0.28396,3.96128
1.50000,0.12496,85.59141,0.00298,0.29759,4.14095
1.60000,0.13339,89.73710,0.00312,0.31157,4.34152
1.70000,0.14170,93.77889,0.00326,0.32584,4.53707
1.80000,0.14995,97.49004,0.00340,0.33987,4.71661
1.90000,0.15832,101.25091,0.00354,0.35399,4.89857
2.00000,0.16663,105.40870,0.00368,0.36788,5.09972
2.10000,0.17488,109.16532,0.00382,0.38200,5.28147
2.20000,0.18331,112.94590,0.00396,0.39605,5.46438
2.30000,0.19163,117.54137,0.00410,0.41042,5.68671
2.40000,0.19994,121.05886,0.00425,0.42456,5.85688
2.50000,0.20837,124.91603,0.00439,0.43898,6.04350
2.60000,0.21668,128.40341,0.00453,0.45303,6.21222
2.70000,0.22499,132.14400,0.00467,0.46688,6.39319
2.80000,0.23336,135.71624,0.00481,0.48114,6.56601
2.90000,0.24167,139.83995,0.00495,0.49550,6.76552
3.00000,0.24992,143.40669,0.00509,0.50938,6.93808
3.10000,0.25841,147.25059,0.00524,0.52380,7.12405
3.20000,0.26672,151.14858,0.00537,0.53739,7.31264
3.30000,0.27497,154.68093,0.00552,0.55195,7.48354
3.40000,0.28340,158.64078,0.00566,0.56629,7.67511
3.50000,0.29171,162.34029,0.00580,0.58014,7.85410
3.60000,0.30002,166.34433,0.00594,0.59398,8.04782
3.70000,0.30833,170.05448,0.00608,0.60811,8.22731
3.80000,0.31665,173.29472,0.00622,0.62216,8.38408
3.90000,0.32502,177.71850,0.00637,0.63651,8.59810
4.00000,0.33327,180.82253,0.00651,0.65101,8.74828
4.10000,0.34164,184.67291,0.00665,0.66511,8.93456
4.20000,0.34995,187.98474,0.00679,0.67921,9.09479
4.30000,0.35826,191.99306,0.00693,0.69294,9.28871
4.40000,0.36663,195.33732,0.00707,0.70716,9.45051
4.50000,0.37500,198.39189,0.00721,0.72113,9.59829
