Time,Extension,Load,Strain 1,Tensile strain,Tensile stress
(sec),(mm),(N),(mm/mm),(%),(MPa)
0.00000,0.00006,23.22766,0.00081,0.08054,1.06193
0.10000,0.00245,23.24851,0.00082,0.08170,1.06289
0.20000,0.01202,28.43304,0.00095,0.09474,1.29992
0.30000,0.02260,34.79823,0.00111,0.11139,1.59092
0.40000,0.03223,39.87247,0.00127,0.12659,1.82291
0.50000,0.04125,45.05201,0.00141,0.14064,2.05971
0.60000,0.04980,49.02035,0.00155,0.15464,2.24114
0.70000,0.05818,53.30994,0.00168,0.16832,2.43725
0.80000,0.06667,57.98008,0.00182,0.18193,2.65076
0.90000,0.07498,62.54236,0.00196,0.19578,2.85934
1.00000,0.08335,66.70239,0.00209,0.20874,3.04953
1.10000,0.09178,70.19565,0.00220,0.21969,3.20924
1.20000,0.10003,72.57652,0.00229,0.22901,3.31809
1.30000,0.10840,77.35898,0.00242,0.24246,3.53673
1.40000,0.11683,82.55697,0.00256,0.25630,3.77438
1.50000,0.12496,85.51154,0.00269,0.26856,3.90946
1.60000,0.13333,89.98700,0.00282,0.28232,4.11407
1.70000,0.14170,94.45519,0.00296,0.29591,4.31835
1.80000,0.14995,98.37534,0.00308,0.30821,4.49757
1.90000,0.15832,102.75278,0.00322,0.32161,4.69770
2.00000,0.16663,106.64178,0.00335,0.33480,4.87550
2.10000,0.17494,110.45374,0.00348,0.34817,5.04978
2.20000,0.18331,114.42284,0.00361,0.36119,5.23124
2.30000,0.19163,118.51757,0.00374,0.37417,5.41844
2.40000,0.19994,122.50470,0.00387,0.38715,5.60073
2.50000,0.20837,126.83528,0.00400,0.40044,5.79871
2.60000,0.21668,129.14251,0.00411,0.41061,5.90420
2.70000,0.22499,132.23037,0.00422,0.42164,6.04537
2.80000,0.23336,136.82278,0.00435,0.43474,6.25533
2.90000,0.24167,140.35519,0.00447,0.44733,6.41682
3.00000,0.24998,144.82561,0.00461,0.46056,6.62120
3.10000,0.25841,149.14186,0.00474,0.47359,6.81854
3.20000,0.26672,152.71561,0.00486,0.48644,6.98192
3.30000,0.27497,156.33174,0.00499,0.49892,7.14725
3.40000,0.28346,161.19380,0.00512,0.51231,7.36953
3.50000,0.29177,163.00728,0.00524,0.52425,7.45244
3.60000,0.30002,167.56604,0.00537,0.53693,7.66086
3.70000,0.30839,169.45687,0.00545,0.54487,7.74731
3.80000,0.31665,173.28055,0.00557,0.55726,7.92212
3.90000,0.32502,176.44012,0.00570,0.56976,8.06657
4.00000,0.33333,180.20096,0.00582,0.58221,8.23851
4.10000,0.34164,184.00245,0.00595,0.59525,8.41231
4.20000,0.34995,187.49684,0.00607,0.60695,8.57207
4.30000,0.35826,191.09278,0.00620,0.61969,8.73647
4.40000,0.36663,194.24484,0.00632,0.63159,8.88058
4.50000,0.37500,197.63818,0.00643,0.64329,9.03571
4.60000,0.38331,199.40501,0.00651,0.65064,9.11649
4.70000,0.39168,203.50821,0.00662,0.66242,9.30408
4.80000,0.39999,206.28793,0.00675,0.67499,9.43117
4.90000,0.40824,210.21527,0.00686,0.68643,9.61072
5.00000,0.41667,213.42842,0.00699,0.69898,9.75762
5.10000,0.42504,216.70607,0.00711,0.71091,9.90747
5.20000,0.43335,219.85155,0.00722,0.72228,10.05128
5.30000,0.44166,222.01901,0.00729,0.72948,10.15037
5.40000,0.45010,225.74980,0.00741,0.74150,10.32093
5.50000,0.45835,228.44418,0.00753,0.75271,10.44412
5.60000,0.46666,232.13532,0.00764,0.76439,10.61287
5.70000,0.47503,234.91909,0.00775,0.77531,10.74014
5.80000,0.48334,237.79317,0.00787,0.78672,10.87154
5.90000,0.49165,239.49069,0.00794,0.79448,10.94915
6.00000,0.50002,242.65882,0.00805,0.80502,11.09399
6.10000,0.50827,246.52414,0.00816,0.81646,11.27071
6.20000,0.51664,249.01726,0.00827,0.82704,11.38469
6.30000,0.52495,251.27560,0.00838,0.83783,11.48794
6.40000,0.53326,254.74171,0.00848,0.84808,11.64640
6.50000,0.54169,256.63425,0.00854,0.85425,11.73292
6.60000,0.55000,259.10770,0.00865,0.86509,11.84601
6.70000,0.55831,261.58006,0.00875,0.87524,11.95904
6.80000,0.56668,264.23519,0.00885,0.88535,12.08043
6.90000,0.57500,266.48792,0.00891,0.89143,12.18342
7.00000,0.58331,268.47762,0.00901,0.90133,12.27438
7.10000,0.59174,271.45138,0.00912,0.91158,12.41034
7.20000,0.59993,274.22153,0.00921,0.92096,12.53699
7.30000,0.60818,275.04344,0.00926,0.92565,12.57456
7.40000,0.61667,277.66000,0.00936,0.93556,12.69419
7.50000,0.62492,280.31266,0.00945,0.94483,12.81546
7.60000,0.63329,281.95670,0.00951,0.95052,12.89063
7.70000,0.64172,283.68498,0.00959,0.95883,12.96964
7.80000,0.64997,286.21554,0.00967,0.96712,13.08534
7.90000,0.65828,287.77835,0.00974,0.97436,13.15679
8.00000,0.66677,289.41727,0.00981,0.98079,13.23171
8.10000,0.67496,292.02127,0.00989,0.98868,13.35076
8.20000,0.68333,293.18281,0.00995,0.99543,13.40387
8.30000,0.69176,295.38402,0.01001,1.00138,13.50450
8.40000,0.70002,296.62636,0.01009,1.00875,13.56130
8.50000,0.70839,297.80441,0.01014,1.01415,13.61516
8.60000,0.71670,300.10981,0.01021,1.02109,13.72056
8.70000,0.72495,301.92493,0.01028,1.02829,13.80354
8.80000,0.73338,302.49062,0.01033,1.03344,13.82941
8.90000,0.74169,305.13762,0.01041,1.04141,13.95042
9.00000,0.75000,306.02464,0.01047,1.04652,13.99098
9.10000,0.75843,307.98237,0.01054,1.05432,14.08048
9.20000,0.76662,309.75586,0.01060,1.06007,14.16156
9.30000,0.77493,311.93371,0.01067,1.06716,14.26113
9.40000,0.78336,313.48914,0.01074,1.07353,14.33224
9.50000,0.79161,313.94030,0.01080,1.08050,14.35287
9.60000,0.79992,316.97005,0.01088,1.08754,14.49138
9.70000,0.80835,317.54011,0.01094,1.09409,14.51745
9.80000,0.81666,319.69182,0.01101,1.10103,14.61582
9.90000,0.82498,321.21253,0.01107,1.10747,14.68534
10.00000,0.83341,323.33555,0.01115,1.11457,14.78240
10.10000,0.84166,324.73921,0.01122,1.12157,14.84658
10.20000,0.84991,325.88593,0.01128,1.12796,14.89900
10.30000,0.85840,328.45163,0.01135,1.13519,15.01630
10.40000,0.86671,329.15215,0.01142,1.14158,15.04833
10.50000,0.87508,330.99605,0.01149,1.14855,15.13263
10.60000,0.88333,332.93203,0.01156,1.15609,15.22114
10.70000,0.89170,334.09398,0.01163,1.16251,15.27426
10.80000,0.90007,335.83438,0.01170,1.17019,15.35383
10.90000,0.90832,338.10076,0.01177,1.17720,15.45745
11.00000,0.91669,339.91539,0.01185,1.18454,15.54041
11.10000,0.92506,342.18985,0.01192,1.19223,15.64439
11.20000,0.93331,343.05523,0.01199,1.19945,15.68396
11.30000,0.94162,345.19045,0.01207,1.20725,15.78158
11.40000,0.95000,346.72869,0.01215,1.21482,15.85190
11.50000,0.95825,348.88408,0.01222,1.22207,15.95044
11.60000,0.96650,350.96745,0.01230,1.23024,16.04569
11.70000,0.97499,352.29884,0.01238,1.23788,16.10656
11.80000,0.98330,353.97613,0.01245,1.24536,16.18324
11.90000,0.99161,355.80487,0.01253,1.25295,16.26685
12.00000,1.00010,358.10533,0.01261,1.26075,16.37203
12.10000,1.00835,359.19247,0.01269,1.26872,16.42173
12.20000,1.01666,360.81914,0.01276,1.27573,16.49610
12.30000,1.02509,363.08307,0.01284,1.28364,16.59960
12.40000,1.03328,365.14141,0.01292,1.29154,16.69370
12.50000,1.04165,366.95588,0.01301,1.30064,16.77666
12.60000,1.05002,369.78254,0.01310,1.31041,16.90589
12.70000,1.05827,371.18038,0.01319,1.31893,16.96980
12.80000,1.06664,373.36436,0.01328,1.32791,17.06964
12.90000,1.07496,375.57590,0.01337,1.33666,17.17075
13.00000,1.08339,377.21021,0.01345,1.34542,17.24547
13.10000,1.09170,379.08242,0.01354,1.35407,17.33107
13.20000,1.10001,380.64939,0.01362,1.36246,17.40271
13.30000,1.10838,382.48929,0.01371,1.37090,17.48682
13.40000,1.11675,384.85907,0.01380,1.37957,17.59517
13.50000,1.12500,386.39251,0.01387,1.38749,17.66527
13.60000,1.13325,387.75438,0.01396,1.39643,17.72754
13.70000,1.14168,389.68790,0.01405,1.40491,17.81593
13.80000,1.14993,391.59595,0.01413,1.41328,17.90317
13.90000,1.15824,393.84775,0.01421,1.42149,18.00611
14.00000,1.16673,395.55235,0.01430,1.42985,18.08405
14.10000,1.17498,397.16111,0.01438,1.43802,18.15760
14.20000,1.18329,398.66320,0.01446,1.44627,18.22627
14.30000,1.19178,400.22386,0.01454,1.45441,18.29762
14.40000,1.19998,401.70983,0.01462,1.46237,18.36556
14.50000,1.20829,403.61159,0.01470,1.46987,18.45250
14.60000,1.21672,404.97477,0.01478,1.47769,18.51483
14.70000,1.22491,406.14791,0.01485,1.48526,18.56846
14.80000,1.23334,407.95472,0.01494,1.49378,18.65106
14.90000,1.24171,410.02817,0.01502,1.50205,18.74586
15.00000,1.24996,411.51969,0.01511,1.51092,18.81405
15.10000,1.25833,413.75258,0.01520,1.51978,18.91613
15.20000,1.26670,415.17746,0.01529,1.52879,18.98128
15.30000,1.27495,416.70427,0.01537,1.53745,19.05108
15.40000,1.28344,418.71411,0.01546,1.54644,19.14297
15.50000,1.29175,420.80884,0.01556,1.55576,19.23874
15.60000,1.29994,422.61011,0.01564,1.56446,19.32108
15.70000,1.30837,424.06367,0.01574,1.57364,19.38754
15.80000,1.31656,425.70210,0.01582,1.58249,19.46245
15.90000,1.32488,427.84396,0.01592,1.59189,19.56037
16.00000,1.33343,429.21221,0.01601,1.60114,19.62292
16.10000,1.34162,431.58247,0.01611,1.61090,19.73129
16.20000,1.34993,433.64367,0.01621,1.62050,19.82552
16.30000,1.35842,435.05044,0.01630,1.63047,19.88984
16.40000,1.36667,437.11369,0.01640,1.63992,19.98417
16.50000,1.37504,439.15217,0.01650,1.64973,20.07736
16.60000,1.38341,440.67707,0.01660,1.65956,20.14708
16.70000,1.39166,442.82400,0.01669,1.66878,20.24523
16.80000,1.39997,444.87496,0.01679,1.67870,20.33900
16.90000,1.40834,446.31753,0.01688,1.68821,20.40495
17.00000,1.41659,447.64946,0.01697,1.69656,20.46585
17.10000,1.42496,450.19607,0.01707,1.70672,20.58227
17.20000,1.43333,451.27901,0.01717,1.71693,20.63178
17.30000,1.44164,453.17132,0.01727,1.72677,20.71830
17.40000,1.45001,455.30605,0.01737,1.73697,20.81589
17.50000,1.45839,457.15333,0.01747,1.74746,20.90035
17.60000,1.46664,459.00303,0.01757,1.75735,20.98491
17.70000,1.47501,460.66977,0.01768,1.76770,21.06112
17.80000,1.48320,462.86872,0.01778,1.77781,21.16165
17.90000,1.49163,464.89439,0.01788,1.78827,21.25426
18.00000,1.50000,466.25319,0.01798,1.79836,21.31638
18.10000,1.50819,468.12119,0.01809,1.80867,21.40178
18.20000,1.51656,470.00139,0.01819,1.81871,21.48774
18.30000,1.52505,471.91065,0.01829,1.82923,21.57503
18.40000,1.53336,473.69907,0.01840,1.84015,21.65679
18.50000,1.54167,475.67491,0.01851,1.85062,21.74713
18.60000,1.55004,477.81877,0.01861,1.86124,21.84514
18.70000,1.55829,479.60728,0.01872,1.87162,21.92691
18.80000,1.56666,481.31342,0.01882,1.88229,22.00491
18.90000,1.57503,482.65574,0.01893,1.89308,22.06628
19.00000,1.58335,484.59792,0.01904,1.90366,22.15507
19.10000,1.59166,486.70438,0.01915,1.91459,22.25138
19.20000,1.60003,488.18532,0.01926,1.92586,22.31908
19.30000,1.60834,490.88593,0.01937,1.93657,22.44255
19.40000,1.61665,491.87085,0.01948,1.94773,22.48758
19.50000,1.62502,493.39538,0.01959,1.95895,22.55728
19.60000,1.63339,495.94021,0.01970,1.96982,22.67363
19.70000,1.64176,497.33361,0.01981,1.98099,22.73733
19.80000,1.65007,498.85977,0.01992,1.99178,22.80710
19.90000,1.65832,501.01005,0.02003,2.00273,22.90541
20.00000,1.66663,502.85487,0.02014,2.01414,22.98975
20.10000,1.67488,504.09730,0.02026,2.02574,23.04655
20.20000,1.68325,506.57634,0.02037,2.03750,23.15989
20.30000,1.69168,508.00596,0.02049,2.04877,23.22525
20.40000,1.69993,509.34181,0.02060,2.06018,23.28633
20.50000,1.70831,511.07905,0.02072,2.07159,23.36575
20.60000,1.71674,512.41429,0.02083,2.08314,23.42679
20.70000,1.72499,513.80885,0.02094,2.09418,23.49055
20.80000,1.73330,516.82508,0.02106,2.10580,23.62845
20.90000,1.74173,518.34686,0.02117,2.11735,23.69802
21.00000,1.74992,519.18528,0.02129,2.12887,23.73635
21.10000,1.75829,520.97351,0.02141,2.14102,23.81811
21.20000,1.76672,522.72365,0.02153,2.15294,23.89812
