Time,Extension,Load,Strain 1,Tensile strain,Tensile stress
(sec),(mm),(N),(mm/mm),(%),(MPa)
0.00000,0.00006,31.23066,0.00159,0.15904,1.60468
0.10000,0.00419,32.94411,0.00162,0.16214,1.69272
0.20000,0.01375,37.69410,0.00177,0.17708,1.93678
0.30000,0.02356,43.42849,0.00193,0.19304,2.23143
0.40000,0.03270,48.44496,0.00208,0.20816,2.48918
0.50000,0.04143,53.12874,0.00223,0.22302,2.72984
0.60000,0.04986,56.83029,0.00237,0.23696,2.92003
0.70000,0.05823,61.74054,0.00251,0.25060,3.17233
0.80000,0.06673,66.06308,0.00265,0.26455,3.39443
0.90000,0.07498,70.70603,0.00278,0.27804,3.63299
1.00000,0.08329,75.00455,0.00292,0.29155,3.85386
1.10000,0.09178,79.24418,0.00306,0.30595,4.07170
1.20000,0.10003,82.83838,0.00320,0.31982,4.25637
1.30000,0.10840,87.18061,0.00333,0.33348,4.47948
1.40000,0.11683,92.40056,0.00348,0.34756,4.74769
1.50000,0.12496,95.85270,0.00360,0.36041,4.92507
1.60000,0.13333,100.71201,0.00374,0.37439,5.17475
1.70000,0.14170,104.65302,0.00389,0.38880,5.37724
1.80000,0.14989,109.56567,0.00402,0.40195,5.62966
1.90000,0.15832,112.68170,0.00417,0.41654,5.78977
2.00000,0.16663,116.70195,0.00430,0.42994,5.99634
2.10000,0.17494,121.04271,0.00444,0.44419,6.21937
2.20000,0.18331,124.56684,0.00457,0.45719,6.40045
2.30000,0.19163,128.15279,0.00471,0.47142,6.58470
2.40000,0.19994,132.54799,0.00485,0.48500,6.81053
2.50000,0.20837,136.48251,0.00499,0.49883,7.01270
2.60000,0.21668,140.23453,0.00513,0.51345,7.20548
2.70000,0.22493,143.70118,0.00527,0.52693,7.38360
2.80000,0.23336,148.16364,0.00540,0.54047,7.61289
2.90000,0.24167,151.65734,0.00554,0.55449,7.79240
3.00000,0.24992,156.17061,0.00568,0.56832,8.02430
3.10000,0.25841,160.13660,0.00582,0.58198,8.22808
3.20000,0.26666,164.00770,0.00595,0.59520,8.42699
3.30000,0.27497,165.36253,0.00602,0.60229,8.49660
3.40000,0.28340,169.55287,0.00616,0.61628,8.71191
3.50000,0.29171,173.00269,0.00630,0.63028,8.88916
3.60000,0.30002,176.26019,0.00645,0.64515,9.05654
3.70000,0.30833,180.53362,0.00659,0.65873,9.27612
3.80000,0.31665,183.68288,0.00672,0.67223,9.43793
3.90000,0.32502,187.67572,0.00686,0.68595,9.64309
4.00000,0.33333,191.33691,0.00700,0.69975,9.83121
4.10000,0.34164,195.46496,0.00714,0.71402,10.04331
4.20000,0.34995,198.90054,0.00728,0.72773,10.21984
4.30000,0.35826,203.19517,0.00742,0.74205,10.44050
4.40000,0.36657,206.56788,0.00756,0.75555,10.61380
4.50000,0.37500,210.08290,0.00769,0.76949,10.79441
4.60000,0.38331,213.12756,0.00784,0.78359,10.95085
4.70000,0.39162,217.25073,0.00797,0.79748,11.16270
4.80000,0.39999,220.90108,0.00811,0.81109,11.35026
4.90000,0.40824,224.32285,0.00825,0.82534,11.52608
5.00000,0.41661,228.74316,0.00840,0.83957,11.75320
5.10000,0.42504,232.31709,0.00853,0.85333,11.93684
5.20000,0.43335,235.16058,0.00867,0.86706,12.08294
5.30000,0.44166,239.24026,0.00882,0.88150,12.29256
5.40000,0.45010,242.94450,0.00895,0.89502,12.48289
5.50000,0.45829,246.64202,0.00909,0.90915,12.67287
5.60000,0.46666,249.93264,0.00923,0.92317,12.84195
5.70000,0.47503,253.28454,0.00937,0.93698,13.01418
5.80000,0.48334,257.47002,0.00951,0.95058,13.22923
5.90000,0.49165,260.83563,0.00965,0.96474,13.40217
6.00000,0.50002,264.41743,0.00979,0.97883,13.58620
6.10000,0.50827,267.58304,0.00992,0.99247,13.74886
6.20000,0.51664,270.64029,0.01006,1.00593,13.90595
6.30000,0.52495,274.94442,0.01021,1.02065,14.12710
6.40000,0.53326,277.45964,0.01034,1.03435,14.25634
6.50000,0.54169,281.53548,0.01049,1.04896,14.46576
6.60000,0.55000,285.19433,0.01064,1.06359,14.65376
6.70000,0.55831,288.63284,0.01077,1.07739,14.83043
6.80000,0.56674,292.30881,0.01091,1.09130,15.01931
6.90000,0.57500,295.49056,0.01105,1.10532,15.18279
7.00000,0.58331,298.76349,0.01119,1.11890,15.35096
7.10000,0.59174,302.08561,0.01134,1.13363,15.52166
7.20000,0.59993,305.29117,0.01147,1.14731,15.68637
7.30000,0.60818,308.79935,0.01162,1.16155,15.86662
7.40000,0.61673,312.52133,0.01176,1.17616,16.05786
7.50000,0.62498,315.42613,0.01190,1.18980,16.20712
7.60000,0.63329,318.86098,0.01204,1.20420,16.38360
7.70000,0.64178,322.08594,0.01219,1.21852,16.54931
7.80000,0.64997,324.33381,0.01232,1.23216,16.66481
7.90000,0.65828,327.85572,0.01246,1.24621,16.84577
8.00000,0.66677,331.55321,0.01261,1.26091,17.03575
8.10000,0.67496,331.51880,0.01266,1.26582,17.03398
8.20000,0.68333,335.37638,0.01280,1.27980,17.23219
8.30000,0.69176,339.15231,0.01295,1.29498,17.42621
8.40000,0.70002,341.86852,0.01309,1.30866,17.56577
8.50000,0.70839,344.57017,0.01323,1.32265,17.70458
8.60000,0.71670,347.84894,0.01337,1.33730,17.87305
8.70000,0.72489,351.24116,0.01351,1.35109,18.04735
8.80000,0.73344,353.93473,0.01366,1.36571,18.18575
8.90000,0.74169,357.15988,0.01380,1.38004,18.35147
9.00000,0.75000,360.16256,0.01394,1.39368,18.50575
9.10000,0.75843,363.92980,0.01408,1.40787,18.69931
9.20000,0.76662,366.87241,0.01423,1.42256,18.85051
9.30000,0.77493,369.66000,0.01437,1.43670,18.99374
9.40000,0.78336,373.04154,0.01452,1.45184,19.16749
9.50000,0.79161,375.00765,0.01467,1.46657,19.26851
9.60000,0.79992,378.65024,0.01481,1.48079,19.45568
9.70000,0.80835,381.51299,0.01495,1.49508,19.60277
9.80000,0.81666,384.03720,0.01509,1.50882,19.73247
9.90000,0.82498,387.07699,0.01523,1.52289,19.88865
10.00000,0.83341,389.72693,0.01537,1.53739,20.02481
10.10000,0.84166,392.74655,0.01552,1.55185,20.17997
10.20000,0.84991,395.78993,0.01566,1.56638,20.33634
10.30000,0.85840,398.93580,0.01581,1.58101,20.49798
10.40000,0.86665,401.76944,0.01596,1.59600,20.64358
10.50000,0.87502,404.20718,0.01610,1.60984,20.76883
10.60000,0.88333,407.09819,0.01625,1.62454,20.91738
10.70000,0.89164,410.21919,0.01639,1.63881,21.07774
10.80000,0.90007,412.58950,0.01654,1.65388,21.19953
10.90000,0.90832,415.06439,0.01668,1.66819,21.32669
11.00000,0.91669,417.67373,0.01683,1.68305,21.46077
11.10000,0.92506,421.07776,0.01698,1.69811,21.63567
11.20000,0.93331,423.91680,0.01712,1.71241,21.78155
11.30000,0.94162,425.96809,0.01727,1.72695,21.88694
11.40000,0.95000,428.68853,0.01742,1.74168,22.02673
11.50000,0.95825,431.83267,0.01756,1.75650,22.18828
11.60000,0.96656,434.30594,0.01771,1.77087,22.31536
11.70000,0.97505,437.02163,0.01786,1.78595,22.45489
11.80000,0.98336,439.39338,0.01801,1.80068,22.57676
11.90000,0.99161,442.49245,0.01815,1.81544,22.73599
12.00000,1.00004,444.99272,0.01831,1.83061,22.86446
12.10000,1.00835,447.76080,0.01845,1.84526,23.00669
12.20000,1.01666,450.54476,0.01860,1.86018,23.14973
12.30000,1.02509,452.59935,0.01876,1.87565,23.25530
12.40000,1.03328,455.22717,0.01890,1.89030,23.39032
12.50000,1.04165,457.98230,0.01905,1.90516,23.53189
12.60000,1.05002,460.65436,0.01920,1.92007,23.66918
12.70000,1.05827,463.10667,0.01935,1.93513,23.79519
12.80000,1.06664,465.75083,0.01950,1.94994,23.93105
12.90000,1.07502,467.80766,0.01965,1.96518,24.03673
13.00000,1.08333,470.09671,0.01980,1.98034,24.15435
13.10000,1.09176,472.19871,0.01996,1.99605,24.26235
13.20000,1.10001,474.64021,0.02011,2.01099,24.38780
13.30000,1.10838,477.53453,0.02025,2.02548,24.53651
13.40000,1.11675,477.11437,0.02033,2.03260,24.51493
13.50000,1.12500,479.65907,0.02048,2.04755,24.64568
13.60000,1.13325,482.51613,0.02063,2.06306,24.79248
13.70000,1.14168,484.54348,0.02078,2.07830,24.89664
13.80000,1.14993,486.63318,0.02094,2.09375,25.00402
13.90000,1.15824,489.66384,0.02109,2.10918,25.15974
14.00000,1.16673,491.25203,0.02125,2.12474,25.24134
14.10000,1.17498,493.77237,0.02140,2.14013,25.37084
14.20000,1.18329,495.44196,0.02155,2.15495,25.45663
14.30000,1.19178,497.92277,0.02171,2.17092,25.58410
14.40000,1.19998,501.10170,0.02186,2.18643,25.74743
14.50000,1.20829,503.04434,0.02202,2.20225,25.84725
14.60000,1.21672,505.34117,0.02218,2.21810,25.96527
14.70000,1.22491,506.69331,0.02234,2.23362,26.03474
14.80000,1.23334,508.08107,0.02246,2.24553,26.10604
14.90000,1.24171,510.70983,0.02262,2.26162,26.24112
15.00000,1.24996,512.88595,0.02277,2.27668,26.35293
15.10000,1.25833,514.87540,0.02293,2.29295,26.45515
15.20000,1.26670,516.56808,0.02308,2.30845,26.54212
15.30000,1.27495,519.12554,0.02324,2.32388,26.67353
15.40000,1.28344,521.66451,0.02340,2.33975,26.80398
15.50000,1.29175,522.62386,0.02355,2.35518,26.85328
15.60000,1.29994,524.93163,0.02371,2.37143,26.97186
15.70000,1.30837,526.76382,0.02387,2.38723,27.06600
15.80000,1.31662,528.53962,0.02403,2.40312,27.15724
15.90000,1.32488,530.21717,0.02419,2.41887,27.24343
16.00000,1.33343,533.10944,0.02435,2.43487,27.39204
16.10000,1.34162,534.38037,0.02451,2.45096,27.45735
16.20000,1.34993,536.72730,0.02467,2.46723,27.57794
16.30000,1.35848,538.27255,0.02483,2.48341,27.65733
16.40000,1.36667,540.74656,0.02500,2.49994,27.78445
16.50000,1.37504,541.82331,0.02516,2.51627,27.83978
16.60000,1.38341,544.15287,0.02532,2.53226,27.95947
16.70000,1.39160,545.37444,0.02548,2.54802,28.02224
16.80000,1.39997,547.50238,0.02564,2.56409,28.13158
16.90000,1.40840,549.32428,0.02580,2.58040,28.22519
17.00000,1.41659,551.38636,0.02597,2.59661,28.33114
17.10000,1.42496,553.21916,0.02613,2.61324,28.42531
17.20000,1.43333,554.61009,0.02630,2.62990,28.49678
17.30000,1.44164,556.93942,0.02646,2.64604,28.61647
17.40000,1.45001,558.10050,0.02662,2.66242,28.67613
17.50000,1.45839,559.11094,0.02679,2.67882,28.72804
17.60000,1.46664,561.47398,0.02695,2.69488,28.84946
17.70000,1.47501,563.01998,0.02711,2.71107,28.92890
17.80000,1.48320,565.14926,0.02728,2.72783,29.03830
17.90000,1.49157,566.81363,0.02744,2.74407,29.12382
18.00000,1.50000,568.50500,0.02761,2.76100,29.21073
