Time,Extension,Load,Strain 1,Tensile strain,Tensile stress
(sec),(mm),(N),(mm/mm),(%),(MPa)
0.00000,0.00006,32.37290,0.00113,0.11296,1.74153
0.10000,0.00419,33.62777,0.00116,0.11645,1.80903
0.20000,0.01381,38.12428,0.00132,0.13160,2.05093
0.30000,0.02362,42.96277,0.00148,0.14767,2.31122
0.40000,0.03270,47.56484,0.00163,0.16325,2.55879
0.50000,0.04143,52.60702,0.00178,0.17772,2.83004
0.60000,0.04986,57.09100,0.00193,0.19296,3.07126
0.70000,0.05818,60.80178,0.00207,0.20690,3.27088
0.80000,0.06673,65.33412,0.00221,0.22118,3.51470
0.90000,0.07498,69.99185,0.00235,0.23513,3.76527
1.00000,0.08329,73.00097,0.00249,0.24947,3.92715
1.10000,0.09178,78.22939,0.00263,0.26347,4.20842
1.20000,0.10003,82.16491,0.00278,0.27758,4.42013
1.30000,0.10840,86.14091,0.00291,0.29144,4.63402
1.40000,0.11683,90.53239,0.00306,0.30597,4.87027
1.50000,0.12496,94.28375,0.00320,0.31957,5.07207
1.60000,0.13333,98.42312,0.00334,0.33430,5.29475
1.70000,0.14170,102.31698,0.00348,0.34836,5.50423
1.80000,0.14989,105.96823,0.00362,0.36208,5.70065
1.90000,0.15832,110.19398,0.00376,0.37616,5.92798
2.00000,0.16663,114.21867,0.00390,0.39043,6.14449
2.10000,0.17494,118.11191,0.00405,0.40456,6.35393
2.20000,0.18331,121.26801,0.00418,0.41844,6.52371
2.30000,0.19163,125.32824,0.00433,0.43306,6.74214
2.40000,0.19994,129.40924,0.00446,0.44636,6.96168
2.50000,0.20837,131.17840,0.00456,0.45624,7.05685
2.60000,0.21668,135.83469,0.00471,0.47058,7.30734
2.70000,0.22493,139.04574,0.00484,0.48411,7.48008
2.80000,0.23336,142.37448,0.00498,0.49808,7.65915
2.90000,0.24167,146.36429,0.00512,0.51233,7.87379
3.00000,0.24992,150.25589,0.00526,0.52610,8.08314
3.10000,0.25841,153.99010,0.00541,0.54118,8.28403
3.20000,0.26666,157.43051,0.00556,0.55557,8.46911
3.30000,0.27497,161.64520,0.00570,0.56965,8.69584
3.40000,0.28340,165.69016,0.00584,0.58381,8.91344
3.50000,0.29171,168.64581,0.00598,0.59778,9.07244
3.60000,0.30002,172.42851,0.00612,0.61240,9.27594
3.70000,0.30839,176.60599,0.00627,0.62675,9.50067
3.80000,0.31665,179.80841,0.00641,0.64063,9.67294
3.90000,0.32502,183.63923,0.00655,0.65521,9.87903
4.00000,0.33333,187.42525,0.00669,0.66935,10.08270
4.10000,0.34164,191.41258,0.00684,0.68361,10.29720
4.20000,0.34995,194.94109,0.00697,0.69728,10.48702
4.30000,0.35826,197.75932,0.00712,0.71156,10.63863
4.40000,0.36657,202.04755,0.00726,0.72580,10.86932
4.50000,0.37500,205.02058,0.00740,0.73980,11.02925
4.60000,0.38331,209.34122,0.00755,0.75478,11.26169
4.70000,0.39162,212.43617,0.00768,0.76844,11.42818
4.80000,0.39999,216.77017,0.00783,0.78298,11.66133
4.90000,0.40824,219.95602,0.00797,0.79660,11.83272
5.00000,0.41667,223.07017,0.00811,0.81068,12.00025
5.10000,0.42504,226.98848,0.00825,0.82544,12.21103
5.20000,0.43335,230.55202,0.00839,0.83937,12.40274
5.30000,0.44166,233.41491,0.00854,0.85379,12.55675
5.40000,0.45010,237.62833,0.00869,0.86934,12.78341
5.50000,0.45829,241.11068,0.00883,0.88314,12.97075
5.60000,0.46666,244.11348,0.00897,0.89728,13.13229
5.70000,0.47503,248.16764,0.00911,0.91098,13.35039
5.80000,0.48334,251.62047,0.00925,0.92524,13.53613
5.90000,0.49171,255.21335,0.00939,0.93931,13.72941
6.00000,0.50002,258.72560,0.00954,0.95441,13.91836
6.10000,0.50827,260.54487,0.00965,0.96508,14.01623
6.20000,0.51664,263.56189,0.00979,0.97924,14.17853
6.30000,0.52501,267.50786,0.00994,0.99398,14.39081
6.40000,0.53326,270.49980,0.01008,1.00814,14.55176
6.50000,0.54169,274.33191,0.01023,1.02257,14.75791
6.60000,0.55000,277.60298,0.01037,1.03711,14.93388
6.70000,0.55831,280.81755,0.01051,1.05113,15.10681
6.80000,0.56674,283.99017,0.01066,1.06566,15.27749
6.90000,0.57500,287.61437,0.01080,1.08048,15.47246
7.00000,0.58331,291.07097,0.01095,1.09456,15.65841
7.10000,0.59174,294.69235,0.01109,1.10918,15.85322
7.20000,0.59993,297.02038,0.01123,1.12346,15.97846
7.30000,0.60818,300.74199,0.01138,1.13796,16.17867
7.40000,0.61673,304.04888,0.01153,1.15277,16.35656
7.50000,0.62492,307.10301,0.01167,1.16710,16.52086
7.60000,0.63329,310.75731,0.01182,1.18174,16.71745
7.70000,0.64178,313.11307,0.01196,1.19615,16.84418
7.80000,0.64997,316.63519,0.01211,1.21074,17.03366
7.90000,0.65828,319.74341,0.01225,1.22478,17.20086
8.00000,0.66677,323.68230,0.01240,1.23981,17.41276
8.10000,0.67496,326.04649,0.01255,1.25477,17.53994
8.20000,0.68333,329.04539,0.01269,1.26949,17.70127
8.30000,0.69176,332.80412,0.01285,1.28452,17.90347
8.40000,0.70002,335.56384,0.01299,1.29895,18.05194
8.50000,0.70839,339.01818,0.01313,1.31340,18.23777
8.60000,0.71664,341.94421,0.01328,1.32820,18.39517
8.70000,0.72489,344.26912,0.01343,1.34270,18.52024
