Time,Extension,Load,Strain 1,Tensile strain,Tensile stress
(sec),(mm),(N),(mm/mm),(%),(MPa)
0.00000,0.00006,27.88230,0.00088,0.08829,1.31207
0.10000,0.00419,29.75583,0.00092,0.09155,1.40023
0.20000,0.01369,34.99235,0.00107,0.10686,1.64665
0.30000,0.02350,40.82905,0.00123,0.12332,1.92131
0.40000,0.03265,46.66051,0.00139,0.13916,2.19573
0.50000,0.04131,51.47043,0.00154,0.15382,2.42207
0.60000,0.04986,55.97319,0.00168,0.16803,2.63396
0.70000,0.05829,60.89749,0.00182,0.18161,2.86568
0.80000,0.06667,66.04053,0.00195,0.19533,3.10770
0.90000,0.07498,70.04199,0.00209,0.20948,3.29600
1.00000,0.08341,75.84114,0.00224,0.22374,3.56889
1.10000,0.09178,80.03270,0.00238,0.23804,3.76614
1.20000,0.10003,84.39873,0.00252,0.25186,3.97159
1.30000,0.10840,88.68178,0.00266,0.26552,4.17314
1.40000,0.11671,93.35983,0.00279,0.27941,4.39328
1.50000,0.12502,97.82105,0.00293,0.29318,4.60321
1.60000,0.13333,102.79554,0.00307,0.30708,4.83730
1.70000,0.14164,107.35088,0.00321,0.32084,5.05166
1.80000,0.14995,111.67992,0.00335,0.33486,5.25538
1.90000,0.15832,116.48539,0.00349,0.34884,5.48151
2.00000,0.16663,120.57978,0.00362,0.36244,5.67418
2.10000,0.17500,124.92037,0.00377,0.37684,5.87844
2.20000,0.18331,129.46129,0.00390,0.39029,6.09212
2.30000,0.19163,133.48822,0.00404,0.40392,6.28162
2.40000,0.19994,138.65795,0.00418,0.41788,6.52490
2.50000,0.20831,142.28076,0.00432,0.43173,6.69538
2.60000,0.21668,146.64570,0.00446,0.44592,6.90078
2.70000,0.22505,150.56485,0.00459,0.45948,7.08520
2.80000,0.23330,155.08762,0.00473,0.47324,7.29803
2.90000,0.24167,159.63707,0.00488,0.48762,7.51212
3.00000,0.25004,163.54976,0.00500,0.50043,7.69624
3.10000,0.25835,166.59788,0.00512,0.51248,7.83968
3.20000,0.26672,171.05666,0.00525,0.52477,8.04950
3.30000,0.27509,175.26434,0.00539,0.53895,8.24750
3.40000,0.28334,179.50634,0.00553,0.55300,8.44712
3.50000,0.29165,183.75623,0.00566,0.56626,8.64711
3.60000,0.29996,187.33239,0.00580,0.58049,8.81539
3.70000,0.30833,191.93834,0.00594,0.59435,9.03214
3.80000,0.31659,196.80792,0.00608,0.60787,9.26129
3.90000,0.32496,200.23377,0.00622,0.62201,9.42250
4.00000,0.33339,204.95432,0.00636,0.63586,9.64464
4.10000,0.34164,209.09796,0.00651,0.65058,9.83963
4.20000,0.35001,212.80244,0.00664,0.66415,10.01395
4.30000,0.35838,216.80312,0.00678,0.67800,10.20221
4.40000,0.36669,221.73275,0.00692,0.69185,10.43419
4.50000,0.37500,225.98838,0.00706,0.70560,10.63445
4.60000,0.38337,230.25558,0.00720,0.71967,10.83525
4.70000,0.39162,234.43580,0.00733,0.73309,11.03196
4.80000,0.39993,238.46591,0.00747,0.74742,11.22161
4.90000,0.40836,242.47749,0.00761,0.76131,11.41038
5.00000,0.41667,246.37743,0.00776,0.77572,11.59390
5.10000,0.42504,250.50202,0.00790,0.78995,11.78800
5.20000,0.43341,254.95645,0.00804,0.80375,11.99761
5.30000,0.44166,258.98244,0.00817,0.81747,12.18707
5.40000,0.44998,262.83276,0.00831,0.83139,12.36825
5.50000,0.45835,266.59779,0.00846,0.84574,12.54542
