,Extensao_max,Carga_max,Tensao_max,Estresse_max,Direcao,Direcao_id
0,4.65898,785.32947,14.42756,38.01877,45,0
1,5.88502,784.43391,19.2723,37.92669,45,0
2,4.36302,788.95045,14.93217,38.37291,45,0
3,4.42592,783.99032,13.46811,37.81741,45,0
4,6.14492,778.48942,20.31382,37.76369,45,0
5,5.21974,793.1035,16.48597,38.4726,45,0
7,5.68885,909.53223,17.43094,45.61391,XY,1
8,6.19915,901.88533,20.42117,44.96118,XY,1
9,5.698,895.05808,18.42178,44.28262,XY,1
10,1.83261,586.07627,3.46602,29.4416,XY,1
11,10.66423,929.98715,37.96218,44.98211,XZ,3
12,28.56174,909.66439,109.31325,44.07032,XZ,3
13,9.14719,918.34925,32.29866,44.68679,XZ,3
14,11.97111,916.23627,43.75874,44.32793,XZ,3
15,14.21393,919.94945,51.93574,44.48649,XZ,3
16,7.19883,902.62955,24.14666,45.63298,YX,2
17,7.88773,889.71108,26.73628,44.99672,YX,2
18,7.66501,888.00061,27.10672,44.81796,YX,2
19,8.66469,894.00718,30.29348,45.40966,YX,2
20,9.48698,893.88499,33.13557,45.07286,YX,2
21,33.71846,915.80041,130.6164,45.18811,YZ,5
22,55.19688,909.96251,216.60047,44.84717,YZ,5
23,42.05467,901.4775,164.12128,45.11967,YZ,5
24,43.76489,908.15499,171.89955,44.36842,YZ,5
25,54.09377,895.83602,212.28528,44.16205,YZ,5
26,2.31314,649.19908,5.78776,31.79543,ZX,6
27,2.50267,641.92587,5.84854,30.87236,ZX,6
28,2.52939,653.20758,6.13433,31.33116,ZX,6
29,3.41039,714.88377,9.85933,36.73304,ZX,6
30,2.58841,623.56759,5.69358,29.54191,ZX,6
31,3.55526,712.04449,10.73585,34.3933,ZY,4
32,2.32175,626.52379,5.60222,30.89002,ZY,4
33,2.29711,595.33869,5.18582,29.51941,ZY,4
34,2.76102,638.18302,7.07543,33.2387,ZY,4
35,2.48557,605.02323,5.44959,29.00357,ZY,4
36,11.00479,863.95964,40.27176,39.58034,XY,1
37,11.47779,864.08816,42.11714,38.82356,XY,1
38,9.93032,836.47501,35.54224,39.41658,XY,1
39,10.59476,855.46048,38.71623,39.71423,XY,1
40,10.43643,838.03404,38.29415,39.20627,XY,1
41,11.78415,807.86692,42.31901,40.77829,XZ,3
42,12.08005,784.92863,44.8051,39.92963,XZ,3
43,14.13053,829.57763,52.85636,39.81081,XZ,3
44,11.73464,834.45171,43.31603,40.41887,XZ,3
45,15.11562,811.19072,56.51062,40.06592,XZ,3
46,10.69604,826.5608,38.70463,40.25034,YX,2
47,12.34408,821.77231,45.82244,38.85742,YX,2
48,10.31022,865.89903,37.28554,39.59808,YX,2
49,10.5214,824.61648,38.50045,39.89533,YX,2
50,10.15973,794.74887,37.01288,39.76966,YX,2
51,14.8199,889.201,52.94769,40.6529,YZ,5
52,13.26747,876.10213,48.48365,40.05038,YZ,5
53,12.52225,884.05628,46.084,40.4177,YZ,5
54,13.66776,885.00464,46.65252,39.18516,YZ,5
55,12.6633,870.03186,45.86498,40.27328,YZ,5
56,6.3384,819.7736,21.54746,42.18027,ZX,6
57,7.41695,825.25611,26.02407,42.26144,ZX,6
58,7.60492,833.26055,26.86572,42.8143,ZX,6
59,5.89441,812.13014,20.12143,41.60098,ZX,6
60,7.5269,842.6032,26.651,42.89956,ZX,6
61,6.06188,787.68283,20.66249,42.5177,ZY,4
62,6.48226,793.89056,22.38016,42.92553,ZY,4
63,6.72739,804.10568,23.45729,43.25753,ZY,4
64,5.36294,754.59825,17.92283,41.32747,ZY,4
65,5.7475,786.26992,19.53307,42.30669,ZY,4
66,10.24367,884.72124,37.43294,42.75875,45,0
67,12.03222,854.20022,44.53442,43.40448,45,0
68,11.21615,849.7512,41.21476,42.51647,45,0
69,11.7756,856.61104,43.53981,42.8597,45,0
70,10.95511,895.45138,40.22597,42.1377,45,0
