Time,Extension,Load,Strain 1,Tensile strain,Tensile stress
(sec),(mm),(N),(mm/mm),(%),(MPa)
0.00000,0.00006,0.56646,0.00000,0.00002,0.02748
0.10000,0.00407,1.14265,0.00002,0.00230,0.05543
0.20000,0.01375,4.61919,0.00015,0.01489,0.22407
0.30000,0.02344,9.19096,0.00028,0.02818,0.44584
0.40000,0.03265,13.21148,0.00040,0.04045,0.64087
0.50000,0.04137,16.25869,0.00052,0.05160,0.78869
0.60000,0.04986,20.08323,0.00063,0.06310,0.97422
0.70000,0.05829,23.27954,0.00074,0.07389,1.12927
0.80000,0.06667,27.12095,0.00085,0.08516,1.31561
0.90000,0.07498,30.51603,0.00097,0.09687,1.48030
1.00000,0.08335,33.70011,0.00108,0.10809,1.63476
1.10000,0.09172,37.53226,0.00120,0.11988,1.82065
1.20000,0.09997,40.20270,0.00131,0.13071,1.95019
1.30000,0.10840,43.62677,0.00143,0.14314,2.11629
1.40000,0.11665,46.93408,0.00154,0.15430,2.27672
1.50000,0.12496,51.14091,0.00166,0.16640,2.48079
1.60000,0.13339,53.56180,0.00179,0.17881,2.59823
1.70000,0.14164,57.38171,0.00190,0.19010,2.78353
1.80000,0.14995,60.68175,0.00202,0.20174,2.94361
1.90000,0.15838,64.11226,0.00214,0.21365,3.11002
2.00000,0.16663,67.40615,0.00226,0.22599,3.26980
2.10000,0.17500,71.14550,0.00238,0.23839,3.45119
2.20000,0.18337,74.22821,0.00250,0.25010,3.60073
2.30000,0.19169,78.06272,0.00263,0.26264,3.78674
2.40000,0.20000,80.90060,0.00275,0.27467,3.92440
2.50000,0.20837,84.19697,0.00287,0.28723,4.08431
2.60000,0.21674,87.50974,0.00299,0.29950,4.24500
2.70000,0.22499,91.31431,0.00312,0.31156,4.42956
2.80000,0.23336,94.57630,0.00324,0.32409,4.58779
2.90000,0.24173,98.03578,0.00336,0.33639,4.75561
3.00000,0.25004,101.30649,0.00349,0.34858,4.91427
3.10000,0.25835,104.47003,0.00361,0.36132,5.06773
3.20000,0.26666,107.67330,0.00374,0.37374,5.22312
3.30000,0.27503,110.53875,0.00386,0.38616,5.36212
3.40000,0.28334,113.82326,0.00399,0.39869,5.52144
3.50000,0.29159,117.02006,0.00411,0.41136,5.67652
3.60000,0.29996,120.75816,0.00424,0.42424,5.85785
3.70000,0.30821,123.77196,0.00437,0.43678,6.00405
3.80000,0.31659,127.92523,0.00449,0.44922,6.20552
3.90000,0.32502,130.23556,0.00462,0.46225,6.31759
4.00000,0.33333,133.71787,0.00475,0.47480,6.48651
4.10000,0.34164,136.86499,0.00487,0.48749,6.63917
4.20000,0.35001,139.44446,0.00500,0.50026,6.76430
4.30000,0.35820,143.45681,0.00513,0.51286,6.95894
4.40000,0.36657,146.46834,0.00526,0.52557,7.10502
4.50000,0.37500,150.37155,0.00538,0.53845,7.29436
4.60000,0.38337,153.31235,0.00552,0.55169,7.43702
4.70000,0.39168,156.35041,0.00564,0.56447,7.58439
4.80000,0.40005,159.76945,0.00577,0.57748,7.75025
4.90000,0.40836,163.13739,0.00590,0.59017,7.91362
5.00000,0.41667,166.41403,0.00604,0.60370,8.07257
5.10000,0.42510,170.01475,0.00617,0.61665,8.24723
5.20000,0.43335,173.54198,0.00630,0.63000,8.41834
5.30000,0.44172,176.39697,0.00643,0.64285,8.55683
5.40000,0.45004,179.70107,0.00656,0.65565,8.71711
5.50000,0.45829,182.94620,0.00669,0.66857,8.87452
5.60000,0.46666,185.82625,0.00682,0.68226,9.01423
5.70000,0.47491,188.92591,0.00695,0.69508,9.16459
5.80000,0.48328,192.20951,0.00708,0.70790,9.32388
5.90000,0.49171,195.43350,0.00721,0.72125,9.48027
6.00000,0.49996,198.48945,0.00735,0.73470,9.62851
6.10000,0.50833,202.33521,0.00748,0.74795,9.81506
6.20000,0.51670,205.15127,0.00761,0.76112,9.95167
6.30000,0.52501,208.16110,0.00775,0.77458,10.09767
6.40000,0.53332,211.84122,0.00788,0.78805,10.27619
6.50000,0.54169,214.88890,0.00802,0.80172,10.42403
6.60000,0.54994,217.70757,0.00815,0.81483,10.56076
6.70000,0.55825,221.14827,0.00828,0.82798,10.72767
6.80000,0.56674,224.67359,0.00842,0.84153,10.89867
6.90000,0.57500,227.48050,0.00855,0.85462,11.03484
7.00000,0.58337,231.04155,0.00868,0.86804,11.20758
7.10000,0.59174,234.67219,0.00882,0.88178,11.38370
7.20000,0.59993,237.77732,0.00895,0.89508,11.53432
7.30000,0.60830,241.10265,0.00908,0.90782,11.69563
7.40000,0.61667,243.79459,0.00922,0.92178,11.82621
7.50000,0.62492,247.23145,0.00935,0.93507,11.99293
7.60000,0.63335,250.65811,0.00949,0.94885,12.15916
7.70000,0.64166,254.28385,0.00962,0.96205,12.33504
7.80000,0.64997,256.70344,0.00975,0.97527,12.45241
7.90000,0.65840,259.92931,0.00989,0.98885,12.60889
8.00000,0.66665,263.05693,0.01002,1.00233,12.76061
8.10000,0.67490,266.31248,0.01016,1.01594,12.91853
8.20000,0.68345,269.88459,0.01030,1.03000,13.09181
8.30000,0.69170,272.88692,0.01043,1.04305,13.23745
8.40000,0.70002,274.76850,0.01056,1.05648,13.32873
8.50000,0.70845,278.80829,0.01071,1.07098,13.52469
8.60000,0.71664,281.27527,0.01085,1.08461,13.64436
8.70000,0.72495,284.67767,0.01098,1.09804,13.80941
8.80000,0.73338,287.81472,0.01112,1.11186,13.96158
8.90000,0.74157,291.67819,0.01126,1.12565,14.14900
9.00000,0.75000,294.69053,0.01139,1.13893,14.29512
9.10000,0.75837,297.13267,0.01153,1.15322,14.41359
9.20000,0.76662,300.63628,0.01166,1.16625,14.58354
9.30000,0.77499,303.36131,0.01180,1.17981,14.71573
