Time,Extension,Load,Strain 1,Tensile strain,Tensile stress
(sec),(mm),(N),(mm/mm),(%),(MPa)
0.00000,0.00006,19.70009,0.00086,0.08593,0.98210
0.10000,0.00419,21.60866,0.00089,0.08899,1.07724
0.20000,0.01375,24.64270,0.00103,0.10260,1.22850
0.30000,0.02356,29.94342,0.00116,0.11617,1.49275
0.40000,0.03270,33.48781,0.00130,0.12969,1.66945
0.50000,0.04143,37.91635,0.00143,0.14297,1.89022
0.60000,0.04992,41.97562,0.00156,0.15558,2.09259
0.70000,0.05835,45.61698,0.00168,0.16796,2.27412
0.80000,0.06673,48.64419,0.00180,0.18027,2.42503
0.90000,0.07498,52.94369,0.00193,0.19252,2.63937
1.00000,0.08323,56.59636,0.00205,0.20483,2.82147
1.10000,0.09172,60.36475,0.00218,0.21790,3.00933
1.20000,0.09997,64.09973,0.00230,0.22997,3.19553
1.30000,0.10834,68.02903,0.00242,0.24232,3.39141
1.40000,0.11677,72.05418,0.00255,0.25523,3.59208
1.50000,0.12502,75.11223,0.00268,0.26791,3.74453
1.60000,0.13339,78.95561,0.00281,0.28071,3.93613
1.70000,0.14182,82.88577,0.00293,0.29324,4.13206
1.80000,0.15001,85.74488,0.00305,0.30532,4.27459
1.90000,0.15832,89.56952,0.00318,0.31801,4.46526
2.00000,0.16669,93.61987,0.00331,0.33126,4.66718
2.10000,0.17494,96.29825,0.00343,0.34346,4.80070
2.20000,0.18337,100.77823,0.00356,0.35592,5.02404
2.30000,0.19163,103.75204,0.00369,0.36876,5.17229
2.40000,0.20000,107.81529,0.00382,0.38182,5.37486
2.50000,0.20831,111.17880,0.00394,0.39448,5.54253
2.60000,0.21656,115.27782,0.00407,0.40736,5.74688
2.70000,0.22493,118.93198,0.00420,0.41977,5.92905
2.80000,0.23336,121.52322,0.00433,0.43268,6.05823
2.90000,0.24167,125.46119,0.00446,0.44555,6.25455
3.00000,0.24992,128.83135,0.00458,0.45810,6.42256
3.10000,0.25835,132.26155,0.00471,0.47138,6.59356
3.20000,0.26666,135.84949,0.00485,0.48458,6.77243
3.30000,0.27497,138.91263,0.00497,0.49673,6.92513
3.40000,0.28340,142.99172,0.00510,0.50988,7.12849
3.50000,0.29165,146.33422,0.00523,0.52268,7.29512
3.60000,0.29996,150.10746,0.00536,0.53613,7.48322
