Time,Extension,Load,Strain 1,Tensile strain,Tensile stress
(sec),(mm),(N),(mm/mm),(%),(MPa)
0.00000,0.00000,24.76682,0.00099,0.09883,1.19987
0.10000,0.00430,25.55860,0.00102,0.10219,1.23823
0.20000,0.01393,29.36104,0.00116,0.11635,1.42245
0.30000,0.02356,33.45171,0.00131,0.13093,1.62063
0.40000,0.03265,37.91946,0.00145,0.14534,1.83708
0.50000,0.04143,41.76589,0.00159,0.15862,2.02342
0.60000,0.04986,45.72394,0.00172,0.17180,2.21518
0.70000,0.05829,48.42418,0.00184,0.18389,2.34600
0.80000,0.06667,52.41476,0.00197,0.19730,2.53933
0.90000,0.07498,55.51823,0.00210,0.20999,2.68968
1.00000,0.08329,59.46484,0.00223,0.22281,2.88088
1.10000,0.09172,63.07196,0.00236,0.23604,3.05563
1.20000,0.10009,67.25371,0.00249,0.24877,3.25823
1.30000,0.10834,69.69934,0.00261,0.26102,3.37671
1.40000,0.11671,74.32554,0.00274,0.27389,3.60083
1.50000,0.12514,77.56885,0.00287,0.28666,3.75796
1.60000,0.13339,81.33453,0.00299,0.29894,3.94040
1.70000,0.14164,84.18898,0.00312,0.31158,4.07869
1.80000,0.14995,87.93606,0.00324,0.32395,4.26022
1.90000,0.15832,91.35978,0.00337,0.33702,4.42609
2.00000,0.16663,95.06346,0.00349,0.34944,4.60552
2.10000,0.17494,98.95903,0.00363,0.36263,4.79425
2.20000,0.18325,101.94291,0.00375,0.37482,4.93881
2.30000,0.19157,105.25017,0.00387,0.38732,5.09903
2.40000,0.20000,108.36148,0.00400,0.39981,5.24977
2.50000,0.20831,111.62374,0.00413,0.41254,5.40781
2.60000,0.21668,115.26549,0.00425,0.42540,5.58424
2.70000,0.22499,118.35208,0.00438,0.43782,5.73378
2.80000,0.23330,121.83769,0.00450,0.45029,5.90265
2.90000,0.24155,125.33447,0.00463,0.46296,6.07205
3.00000,0.24998,128.45107,0.00475,0.47503,6.22304
3.10000,0.25835,131.91153,0.00488,0.48827,6.39069
3.20000,0.26672,135.55032,0.00500,0.50046,6.56698
3.30000,0.27503,138.75616,0.00513,0.51292,6.72229
3.40000,0.28334,142.86741,0.00526,0.52561,6.92147
3.50000,0.29165,145.84153,0.00538,0.53814,7.06555
3.60000,0.30002,148.86385,0.00551,0.55080,7.21198
3.70000,0.30839,152.48848,0.00563,0.56322,7.38758
3.80000,0.31670,156.12214,0.00576,0.57620,7.56362
3.90000,0.32508,158.66065,0.00586,0.58642,7.68660
4.00000,0.33333,162.29558,0.00599,0.59862,7.86270
4.10000,0.34170,164.89543,0.00611,0.61099,7.98866
4.20000,0.35001,168.53430,0.00624,0.62361,8.16495
4.30000,0.35832,171.74110,0.00636,0.63604,8.32031
4.40000,0.36663,174.37395,0.00649,0.64897,8.44786
4.50000,0.37500,177.99226,0.00661,0.66135,8.62315
4.60000,0.38331,181.27142,0.00674,0.67386,8.78202
4.70000,0.39162,184.52741,0.00686,0.68635,8.93976
4.80000,0.40005,187.73389,0.00699,0.69925,9.09511
4.90000,0.40830,190.71571,0.00712,0.71169,9.23956
5.00000,0.41661,194.08241,0.00724,0.72387,9.40267
5.10000,0.42510,197.60658,0.00737,0.73731,9.57341
5.20000,0.43329,200.86514,0.00750,0.74958,9.73127
5.30000,0.44161,204.99530,0.00762,0.76201,9.93137
