Time,Extension,Load,Strain 1,Tensile strain,Tensile stress
(sec),(mm),(N),(mm/mm),(%),(MPa)
0.00000,0.00006,31.68807,-0.00031,-0.03141,1.59783
0.10000,0.00430,33.35977,-0.00029,-0.02854,1.68212
0.20000,0.01387,36.54644,-0.00016,-0.01641,1.84280
0.30000,0.02356,41.67095,-0.00003,-0.00290,2.10120
0.40000,0.03259,45.64000,0.00009,0.00914,2.30133
0.50000,0.04143,49.06071,0.00022,0.02156,2.47382
0.60000,0.04986,53.51150,0.00033,0.03337,2.69824
0.70000,0.05829,56.81881,0.00045,0.04502,2.86501
0.80000,0.06667,60.20398,0.00057,0.05671,3.03570
0.90000,0.07498,63.62126,0.00068,0.06848,3.20801
1.00000,0.08329,67.90591,0.00080,0.07996,3.42406
1.10000,0.09172,71.16373,0.00092,0.09180,3.58833
1.20000,0.10003,74.43075,0.00104,0.10352,3.75306
1.30000,0.10834,78.39968,0.00115,0.11465,3.95319
1.40000,0.11671,82.05664,0.00127,0.12691,4.13759
1.50000,0.12508,85.31683,0.00139,0.13894,4.30198
1.60000,0.13339,88.18046,0.00149,0.14932,4.44637
1.70000,0.14164,90.30810,0.00159,0.15875,4.55366
1.80000,0.14995,94.39951,0.00170,0.17026,4.75996
1.90000,0.15832,97.58468,0.00182,0.18245,4.92057
2.00000,0.16657,101.41076,0.00195,0.19516,5.11349
2.10000,0.17494,105.47359,0.00207,0.20700,5.31835
2.20000,0.18331,108.56504,0.00219,0.21908,5.47424
2.30000,0.19157,111.91922,0.00231,0.23129,5.64337
2.40000,0.20000,115.54805,0.00243,0.24321,5.82634
2.50000,0.20837,118.68939,0.00255,0.25530,5.98474
2.60000,0.21668,122.47164,0.00268,0.26825,6.17546
2.70000,0.22499,125.56850,0.00280,0.28025,6.33161
2.80000,0.23330,129.01907,0.00292,0.29235,6.50560
2.90000,0.24161,132.45608,0.00305,0.30457,6.67891
3.00000,0.24998,135.49539,0.00317,0.31702,6.83216
3.10000,0.25841,139.90096,0.00330,0.32963,7.05430
3.20000,0.26672,142.47209,0.00342,0.34195,7.18395
3.30000,0.27503,146.10469,0.00355,0.35453,7.36712
3.40000,0.28340,149.84197,0.00367,0.36695,7.55557
3.50000,0.29165,152.69001,0.00379,0.37900,7.69917
3.60000,0.30002,155.80509,0.00392,0.39168,7.85625
3.70000,0.30839,159.58550,0.00404,0.40423,8.04687
3.80000,0.31670,162.68941,0.00417,0.41658,8.20338
3.90000,0.32508,165.64804,0.00429,0.42913,8.35256
4.00000,0.33333,170.03326,0.00442,0.44208,8.57368
4.10000,0.34164,172.79239,0.00455,0.45457,8.71281
4.20000,0.35001,176.67689,0.00467,0.46728,8.90868
4.30000,0.35832,179.35641,0.00480,0.47962,9.04379
4.40000,0.36663,183.02983,0.00492,0.49233,9.22902
4.50000,0.37500,186.59041,0.00505,0.50531,9.40855
4.60000,0.38331,189.85032,0.00518,0.51826,9.57293
4.70000,0.39162,192.63156,0.00530,0.53027,9.71317
4.80000,0.40005,196.26906,0.00543,0.54339,9.89658
4.90000,0.40836,198.35413,0.00552,0.55169,10.00172
5.00000,0.41661,202.21910,0.00565,0.56501,10.19661
5.10000,0.42510,205.25118,0.00578,0.57795,10.34949
5.20000,0.43329,209.02436,0.00591,0.59061,10.53975
5.30000,0.44161,212.67508,0.00603,0.60339,10.72383
5.40000,0.45010,215.49389,0.00616,0.61613,10.86597
5.50000,0.45829,219.26332,0.00629,0.62896,11.05604
5.60000,0.46666,222.29908,0.00641,0.64126,11.20911
5.70000,0.47509,225.28027,0.00654,0.65438,11.35943
5.80000,0.48328,227.97766,0.00667,0.66693,11.49545
5.90000,0.49165,232.42387,0.00680,0.67979,11.71964
6.00000,0.50002,235.89807,0.00693,0.69309,11.89482
6.10000,0.50827,238.86077,0.00706,0.70590,12.04421
6.20000,0.51670,242.21872,0.00719,0.71857,12.21353
6.30000,0.52501,244.70985,0.00732,0.73185,12.33914
6.40000,0.53332,248.76643,0.00744,0.74449,12.54369
6.50000,0.54169,251.62827,0.00757,0.75712,12.68799
6.60000,0.55000,254.84338,0.00770,0.77035,12.85011
6.70000,0.55825,258.47603,0.00783,0.78338,13.03328
6.80000,0.56680,261.67918,0.00797,0.79675,13.19479
6.90000,0.57506,264.73906,0.00810,0.80985,13.34908
7.00000,0.58331,268.97062,0.00823,0.82256,13.56246
7.10000,0.59180,271.59979,0.00836,0.83603,13.69503
7.20000,0.59993,275.02202,0.00849,0.84901,13.86759
7.30000,0.60824,278.69141,0.00862,0.86189,14.05261
7.40000,0.61673,282.12564,0.00875,0.87509,14.22578
7.50000,0.62492,284.72734,0.00888,0.88791,14.35697
7.60000,0.63329,288.41700,0.00901,0.90106,14.54301
7.70000,0.64166,291.24594,0.00914,0.91382,14.68566
7.80000,0.64997,293.72659,0.00923,0.92275,14.81074
7.90000,0.65834,296.75469,0.00936,0.93558,14.96343
8.00000,0.66671,300.06319,0.00948,0.94834,15.13025
8.10000,0.67496,303.09840,0.00962,0.96194,15.28330
8.20000,0.68327,306.42843,0.00975,0.97488,15.45121
8.30000,0.69164,309.97342,0.00988,0.98790,15.62996
8.40000,0.69996,313.35091,0.01001,1.00132,15.80027
8.50000,0.70833,316.08471,0.01014,1.01405,15.93812
8.60000,0.71664,319.28050,0.01027,1.02712,16.09926
8.70000,0.72495,322.78055,0.01040,1.04005,16.27574
8.80000,0.73338,325.78774,0.01053,1.05289,16.42738
8.90000,0.74169,328.70055,0.01066,1.06645,16.57425
9.00000,0.74994,331.90611,0.01079,1.07928,16.73589
9.10000,0.75843,334.76828,0.01093,1.09326,16.88021
9.20000,0.76662,338.54875,0.01106,1.10649,17.07083
9.30000,0.77493,341.47925,0.01120,1.11965,17.21860
9.40000,0.78336,344.80586,0.01133,1.13265,17.38634
9.50000,0.79167,346.88280,0.01144,1.14421,17.49107
9.60000,0.79992,350.68274,0.01157,1.15724,17.68267
9.70000,0.80835,353.46118,0.01171,1.17077,17.82277
9.80000,0.81666,356.83415,0.01184,1.18355,17.99285
9.90000,0.82498,359.57319,0.01197,1.19656,18.13096
10.00000,0.83341,363.09694,0.01210,1.21031,18.30864
10.10000,0.84172,365.64949,0.01224,1.22382,18.43735
10.20000,0.85003,368.80821,0.01237,1.23673,18.59662
10.30000,0.85840,371.67361,0.01250,1.24962,18.74111
10.40000,0.86665,373.23355,0.01259,1.25856,18.81976
10.50000,0.87496,376.31684,0.01272,1.27170,18.97523
10.60000,0.88333,379.77863,0.01285,1.28537,19.14979
10.70000,0.89158,382.91439,0.01298,1.29815,19.30791
10.80000,0.89995,385.17276,0.01311,1.31147,19.42178
10.90000,0.90832,388.95370,0.01325,1.32502,19.61243
11.00000,0.91663,391.70678,0.01338,1.33816,19.75125
11.10000,0.92506,395.04506,0.01351,1.35149,19.91958
11.20000,0.93331,397.76447,0.01365,1.36463,20.05670
11.30000,0.94168,401.16808,0.01378,1.37782,20.22832
11.40000,0.95011,404.29821,0.01392,1.39161,20.38615
11.50000,0.95825,406.85544,0.01405,1.40476,20.51510
11.60000,0.96656,410.34683,0.01418,1.41821,20.69115
11.70000,0.97505,413.08128,0.01431,1.43149,20.82903
11.80000,0.98324,416.41230,0.01445,1.44489,20.99699
11.90000,0.99161,419.49362,0.01458,1.45801,21.15236
12.00000,1.00010,421.86817,0.01472,1.47156,21.27209
12.10000,1.00829,425.37712,0.01485,1.48478,21.44903
12.20000,1.01666,427.27529,0.01498,1.49845,21.54474
12.30000,1.02509,430.83485,0.01512,1.51171,21.72423
12.40000,1.03328,433.53178,0.01526,1.52552,21.86021
12.50000,1.04165,436.94740,0.01539,1.53901,22.03244
12.60000,1.05002,439.80903,0.01552,1.55206,22.17674
12.70000,1.05827,441.46543,0.01560,1.56036,22.26026
12.80000,1.06670,444.53191,0.01574,1.57394,22.41488
12.90000,1.07496,447.15852,0.01587,1.58736,22.54732
13.00000,1.08327,451.47599,0.01601,1.60102,22.76503
13.10000,1.09170,453.98325,0.01615,1.61465,22.89145
13.20000,1.09995,456.36175,0.01628,1.62788,23.01138
13.30000,1.10826,459.79572,0.01642,1.64165,23.18454
13.40000,1.11675,462.02643,0.01655,1.65522,23.29702
13.50000,1.12506,465.05937,0.01668,1.66818,23.44995
13.60000,1.13325,468.86383,0.01682,1.68172,23.64178
13.70000,1.14174,471.56783,0.01695,1.69525,23.77813
13.80000,1.14993,474.31360,0.01709,1.70858,23.91658
13.90000,1.15824,476.60721,0.01722,1.72208,24.03223
14.00000,1.16679,480.53204,0.01736,1.73615,24.23013
14.10000,1.17498,482.75753,0.01750,1.74951,24.34235
14.20000,1.18329,485.47224,0.01763,1.76297,24.47924
14.30000,1.19172,489.25909,0.01777,1.77661,24.67019
14.40000,1.19998,491.69376,0.01791,1.79050,24.79295
14.50000,1.20841,494.50509,0.01804,1.80381,24.93471
14.60000,1.21672,497.92700,0.01818,1.81756,25.10725
14.70000,1.22497,498.80254,0.01827,1.82726,25.15140
14.80000,1.23334,501.75143,0.01839,1.83891,25.30009
14.90000,1.24171,503.99872,0.01852,1.85157,25.41341
15.00000,1.24996,507.37467,0.01865,1.86499,25.58364
15.10000,1.25833,510.12915,0.01879,1.87875,25.72253
15.20000,1.26664,512.79506,0.01892,1.89216,25.85695
15.30000,1.27495,515.01803,0.01906,1.90604,25.96904
15.40000,1.28338,518.24846,0.01920,1.91972,26.13193
15.50000,1.29169,521.16611,0.01933,1.93323,26.27905
15.60000,1.29994,523.76469,0.01947,1.94663,26.41008
15.70000,1.30831,527.08508,0.01960,1.96029,26.57751
15.80000,1.31656,529.89828,0.01974,1.97386,26.71936
15.90000,1.32494,532.25812,0.01988,1.98766,26.83835
16.00000,1.33337,534.89967,0.02001,2.00131,26.97154
16.10000,1.34156,538.06473,0.02015,2.01491,27.13114
16.20000,1.34993,540.26688,0.02029,2.02867,27.24218
16.30000,1.35842,543.08590,0.02043,2.04266,27.38432
16.40000,1.36667,545.30953,0.02056,2.05649,27.49645
16.50000,1.37504,547.96683,0.02070,2.07004,27.63044
16.60000,1.38341,550.66044,0.02083,2.08347,27.76626
16.70000,1.39166,552.35508,0.02091,2.09118,27.85171
16.80000,1.40003,555.05289,0.02106,2.10574,27.98774
16.90000,1.40840,557.29141,0.02119,2.11924,28.10062
17.00000,1.41671,560.54443,0.02133,2.13319,28.26464
17.10000,1.42502,562.68587,0.02147,2.14718,28.37262
17.20000,1.43333,565.63062,0.02161,2.16079,28.52111
17.30000,1.44164,568.13234,0.02175,2.17474,28.64725
17.40000,1.45001,570.72821,0.02189,2.18877,28.77815
17.50000,1.45839,573.24241,0.02202,2.20225,28.90492
17.60000,1.46670,576.18809,0.02216,2.21604,29.05345
17.70000,1.47507,578.22270,0.02230,2.23016,29.15605
17.80000,1.48338,580.75855,0.02244,2.24408,29.28391
17.90000,1.49157,583.25566,0.02258,2.25769,29.40983
18.00000,1.49994,586.59124,0.02272,2.27164,29.57802
18.10000,1.50825,589.40728,0.02286,2.28555,29.72001
18.20000,1.51656,591.70648,0.02299,2.29948,29.83595
18.30000,1.52505,593.97114,0.02313,2.31347,29.95014
18.40000,1.53324,596.51476,0.02327,2.32711,30.07840
18.50000,1.54167,598.89071,0.02341,2.34055,30.19820
18.60000,1.55004,600.20532,0.02349,2.34864,30.26449
18.70000,1.55829,602.60887,0.02363,2.36253,30.38568
18.80000,1.56666,604.81313,0.02377,2.37685,30.49683
18.90000,1.57497,607.84235,0.02391,2.39073,30.64957
19.00000,1.58329,610.07994,0.02405,2.40484,30.76240
19.10000,1.59160,612.64476,0.02419,2.41887,30.89173
19.20000,1.60003,615.64222,0.02433,2.43275,31.04287
19.30000,1.60834,617.58771,0.02447,2.44704,31.14097
19.40000,1.61665,620.81628,0.02461,2.46109,31.30377
19.50000,1.62502,623.02728,0.02474,2.47433,31.41525
19.60000,1.63333,624.93789,0.02488,2.48801,31.51159
19.70000,1.64176,627.79915,0.02502,2.50222,31.65587
19.80000,1.65013,629.99986,0.02517,2.51666,31.76683
19.90000,1.65838,632.48691,0.02530,2.53048,31.89224
20.00000,1.66675,634.86989,0.02545,2.54480,32.01240
20.10000,1.67500,637.35074,0.02559,2.55947,32.13749
20.20000,1.68331,640.10955,0.02574,2.57360,32.27660
20.30000,1.69168,641.48945,0.02588,2.58783,32.34618
20.40000,1.69999,643.81342,0.02602,2.60179,32.46336
20.50000,1.70831,645.47393,0.02609,2.60931,32.54709
20.60000,1.71668,647.72395,0.02624,2.62415,32.66055
20.70000,1.72499,649.77016,0.02638,2.63824,32.76373
20.80000,1.73330,651.91058,0.02652,2.65232,32.87165
20.90000,1.74173,655.36867,0.02668,2.66755,33.04602
21.00000,1.74998,657.64785,0.02681,2.68138,33.16095
21.10000,1.75829,660.03795,0.02696,2.69562,33.28146
21.20000,1.76672,662.53035,0.02710,2.71027,33.40714
21.30000,1.77497,664.72380,0.02724,2.72443,33.51774
21.40000,1.78334,667.40392,0.02739,2.73895,33.65288
21.50000,1.79165,669.21143,0.02753,2.75330,33.74402
21.60000,1.79996,671.60260,0.02768,2.76795,33.86459
21.70000,1.80833,673.94050,0.02783,2.78255,33.98248
21.80000,1.81670,676.36915,0.02797,2.79706,34.10494
21.90000,1.82507,678.33532,0.02812,2.81160,34.20408
22.00000,1.83339,680.34604,0.02826,2.82611,34.30547
22.10000,1.84164,683.11067,0.02841,2.84057,34.44487
22.20000,1.84995,685.36294,0.02855,2.85536,34.55844
