Time,Extension,Load,Strain 1,Tensile strain,Tensile stress
(sec),(mm),(N),(mm/mm),(%),(MPa)
0.00000,0.00006,9.90463,0.00036,0.03634,0.48872
0.10000,0.00251,10.53964,0.00038,0.03756,0.52005
0.20000,0.01214,14.12282,0.00051,0.05120,0.69686
0.30000,0.02260,18.94178,0.00068,0.06835,0.93464
0.40000,0.03223,23.67904,0.00083,0.08311,1.16839
0.50000,0.04119,27.62723,0.00098,0.09764,1.36320
0.60000,0.04980,30.96827,0.00111,0.11145,1.52806
0.70000,0.05823,34.53880,0.00125,0.12458,1.70424
0.80000,0.06667,38.82636,0.00138,0.13824,1.91580
0.90000,0.07498,41.99222,0.00151,0.15132,2.07201
1.00000,0.08329,46.19798,0.00165,0.16487,2.27954
1.10000,0.09172,49.66740,0.00178,0.17848,2.45073
1.20000,0.10009,53.23149,0.00192,0.19178,2.62659
1.30000,0.10834,56.89882,0.00205,0.20473,2.80754
1.40000,0.11671,61.20449,0.00219,0.21862,3.02000
1.50000,0.12514,65.20508,0.00232,0.23176,3.21740
1.60000,0.13339,68.76955,0.00245,0.24535,3.39328
1.70000,0.14164,72.34411,0.00259,0.25882,3.56966
1.80000,0.15001,76.22003,0.00272,0.27211,3.76091
1.90000,0.15832,79.91779,0.00285,0.28520,3.94336
2.00000,0.16663,82.73141,0.00299,0.29863,4.08220
2.10000,0.17500,86.90936,0.00312,0.31240,4.28835
2.20000,0.18325,90.12161,0.00326,0.32558,4.44685
2.30000,0.19157,94.09830,0.00339,0.33898,4.64307
2.40000,0.20000,97.48939,0.00353,0.35255,4.81040
2.50000,0.20837,101.54998,0.00366,0.36627,5.01076
2.60000,0.21668,104.53381,0.00380,0.37991,5.15799
2.70000,0.22499,108.39289,0.00393,0.39281,5.34840
2.80000,0.23330,112.22695,0.00406,0.40623,5.53759
2.90000,0.24161,115.49750,0.00420,0.41985,5.69897
3.00000,0.24998,119.92203,0.00433,0.43332,5.91728
3.10000,0.25841,123.16856,0.00447,0.44717,6.07748
3.20000,0.26672,126.29977,0.00461,0.46051,6.23198
3.30000,0.27503,130.51926,0.00474,0.47421,6.44018
3.40000,0.28340,133.56426,0.00488,0.48763,6.59043
3.50000,0.29165,136.69380,0.00501,0.50091,6.74485
3.60000,0.30008,141.13662,0.00515,0.51481,6.96407
3.70000,0.30839,144.46012,0.00528,0.52770,7.12806
3.80000,0.31670,148.54990,0.00541,0.54144,7.32986
3.90000,0.32508,152.32580,0.00555,0.55519,7.51617
4.00000,0.33333,155.61598,0.00569,0.56851,7.67852
4.10000,0.34164,159.44074,0.00582,0.58246,7.86725
4.20000,0.35001,162.64594,0.00596,0.59588,8.02540
4.30000,0.35826,166.52979,0.00609,0.60928,8.21704
4.40000,0.36663,169.61768,0.00623,0.62270,8.36940
4.50000,0.37500,173.52290,0.00636,0.63623,8.56210
4.60000,0.38331,176.68639,0.00650,0.65016,8.71819
4.70000,0.39162,180.20928,0.00663,0.66347,8.89202
4.80000,0.40005,183.82396,0.00677,0.67729,9.07038
4.90000,0.40836,187.35456,0.00691,0.69082,9.24459
5.00000,0.41667,190.85080,0.00704,0.70448,9.41710
5.10000,0.42510,194.31695,0.00718,0.71841,9.58813
5.20000,0.43329,198.55460,0.00732,0.73159,9.79723
5.30000,0.44161,201.55688,0.00745,0.74509,9.94537
5.40000,0.45004,205.40899,0.00759,0.75888,10.13545
5.50000,0.45829,208.16613,0.00772,0.77241,10.27149
5.60000,0.46666,211.66995,0.00786,0.78639,10.44438
5.70000,0.47509,215.92316,0.00801,0.80076,10.65424
5.80000,0.48328,218.56746,0.00814,0.81417,10.78472
5.90000,0.49165,222.96633,0.00828,0.82798,11.00177
6.00000,0.50002,226.49444,0.00842,0.84174,11.17586
6.10000,0.50833,229.79889,0.00855,0.85505,11.33891
6.20000,0.51664,232.92711,0.00868,0.86821,11.49327
6.30000,0.52501,237.06791,0.00882,0.88248,11.69758
6.40000,0.53332,239.66054,0.00896,0.89590,11.82551
6.50000,0.54169,243.46435,0.00910,0.90951,12.01320
6.60000,0.55000,247.48363,0.00923,0.92340,12.21152
6.70000,0.55825,250.66782,0.00937,0.93663,12.36864
6.80000,0.56674,253.94461,0.00951,0.95051,12.53033
6.90000,0.57500,257.40140,0.00965,0.96452,12.70089
7.00000,0.58331,260.22205,0.00978,0.97779,12.84007
7.10000,0.59180,264.12068,0.00992,0.99201,13.03244
7.20000,0.59993,267.24122,0.01005,1.00502,13.18642
7.30000,0.60824,271.15806,0.01019,1.01868,13.37969
7.40000,0.61673,274.20449,0.01032,1.03232,13.53000
7.50000,0.62492,278.08596,0.01046,1.04578,13.72153
7.60000,0.63329,281.96229,0.01060,1.05963,13.91280
7.70000,0.64166,284.87043,0.01073,1.07342,14.05629
7.80000,0.64997,288.16632,0.01087,1.08681,14.21892
7.90000,0.65834,291.21072,0.01101,1.10088,14.36914
8.00000,0.66671,295.28763,0.01115,1.11480,14.57030
8.10000,0.67496,298.09945,0.01129,1.12889,14.70905
8.20000,0.68327,302.32246,0.01142,1.14192,14.91742
8.30000,0.69164,305.06919,0.01155,1.15544,15.05295
8.40000,0.70002,308.52538,0.01169,1.16912,15.22349
8.50000,0.70839,312.04119,0.01183,1.18300,15.39697
8.60000,0.71664,315.54552,0.01197,1.19683,15.56989
8.70000,0.72501,317.68116,0.01208,1.20814,15.67526
8.80000,0.73338,321.66084,0.01222,1.22188,15.87163
8.90000,0.74169,324.84953,0.01235,1.23514,16.02897
9.00000,0.75000,328.07800,0.01249,1.24903,16.18827
9.10000,0.75843,330.73206,0.01263,1.26250,16.31923
9.20000,0.76662,334.53626,0.01276,1.27570,16.50694
9.30000,0.77493,337.42536,0.01290,1.28986,16.64950
9.40000,0.78336,340.87356,0.01303,1.30327,16.81964
9.50000,0.79167,344.40260,0.01317,1.31717,16.99377
