Time,Extension,Load,Strain 1,Tensile strain,Tensile stress
(sec),(mm),(N),(mm/mm),(%),(MPa)
0.00000,0.00000,4.42892,0.00007,0.00704,0.20982
0.10000,0.00407,5.68575,0.00010,0.00989,0.26937
0.20000,0.01375,9.03540,0.00023,0.02284,0.42806
0.30000,0.02350,13.17963,0.00037,0.03702,0.62439
0.40000,0.03259,15.64317,0.00050,0.04958,0.74111
0.50000,0.04143,19.36986,0.00062,0.06206,0.91766
0.60000,0.04986,22.31654,0.00074,0.07405,1.05726
0.70000,0.05823,25.52103,0.00086,0.08594,1.20907
0.80000,0.06667,28.83989,0.00098,0.09824,1.36631
0.90000,0.07498,31.23466,0.00111,0.11060,1.47976
1.00000,0.08329,34.78514,0.00123,0.12251,1.64797
1.10000,0.09172,37.67587,0.00135,0.13512,1.78492
1.20000,0.10003,40.67180,0.00147,0.14740,1.92685
1.30000,0.10834,43.86642,0.00160,0.15951,2.07820
1.40000,0.11677,47.18683,0.00172,0.17233,2.23551
1.50000,0.12508,50.04752,0.00184,0.18434,2.37103
1.60000,0.13339,52.98671,0.00196,0.19635,2.51028
1.70000,0.14164,56.22742,0.00209,0.20884,2.66381
1.80000,0.15001,58.87452,0.00221,0.22139,2.78922
1.90000,0.15832,61.67124,0.00234,0.23425,2.92171
2.00000,0.16663,64.98567,0.00247,0.24680,3.07874
2.10000,0.17494,68.09247,0.00260,0.25962,3.22592
2.20000,0.18325,70.90633,0.00272,0.27185,3.35923
2.30000,0.19163,73.05440,0.00285,0.28470,3.46100
2.40000,0.20000,77.51806,0.00297,0.29708,3.67247
2.50000,0.20837,79.88517,0.00310,0.30981,3.78461
2.60000,0.21668,83.02832,0.00323,0.32256,3.93352
2.70000,0.22499,85.99710,0.00335,0.33487,4.07417
2.80000,0.23330,89.05050,0.00348,0.34761,4.21882
2.90000,0.24161,91.56212,0.00359,0.35865,4.33781
3.00000,0.24998,94.20011,0.00371,0.37146,4.46279
3.10000,0.25841,97.97709,0.00385,0.38486,4.64173
3.20000,0.26672,100.23772,0.00397,0.39707,4.74883
3.30000,0.27503,103.20710,0.00410,0.40995,4.88950
3.40000,0.28340,105.66866,0.00423,0.42252,5.00612
3.50000,0.29165,108.48579,0.00435,0.43543,5.13958
3.60000,0.30002,112.30977,0.00449,0.44871,5.32075
3.70000,0.30839,114.45060,0.00462,0.46203,5.42217
3.80000,0.31670,117.84850,0.00475,0.47500,5.58315
3.90000,0.32508,120.46106,0.00488,0.48809,5.70692
4.00000,0.33339,123.14366,0.00501,0.50095,5.83401
4.10000,0.34164,126.50068,0.00514,0.51392,5.99305
4.20000,0.34995,129.35984,0.00527,0.52654,6.12850
4.30000,0.35826,131.98187,0.00540,0.54002,6.25272
4.40000,0.36663,134.59076,0.00553,0.55278,6.37632
4.50000,0.37500,137.95047,0.00566,0.56624,6.53549
4.60000,0.38331,140.56577,0.00578,0.57800,6.65939
4.70000,0.39162,143.67463,0.00590,0.59002,6.80668
4.80000,0.40005,145.17587,0.00599,0.59867,6.87780
4.90000,0.40836,149.02168,0.00612,0.61151,7.06000
5.00000,0.41667,150.91533,0.00624,0.62412,7.14971
5.10000,0.42510,153.65920,0.00638,0.63810,7.27970
5.20000,0.43329,156.65089,0.00651,0.65131,7.42143
5.30000,0.44155,159.29221,0.00664,0.66413,7.54657
5.40000,0.45004,162.47702,0.00678,0.67756,7.69745
5.50000,0.45829,165.02931,0.00690,0.69036,7.81837
5.60000,0.46666,168.24878,0.00704,0.70358,7.97089
5.70000,0.47509,170.95472,0.00717,0.71653,8.09909
5.80000,0.48328,173.29085,0.00729,0.72914,8.20976
5.90000,0.49159,176.07129,0.00742,0.74216,8.34149
6.00000,0.50008,179.13739,0.00756,0.75605,8.48675
6.10000,0.50827,181.76347,0.00770,0.76965,8.61116
6.20000,0.51664,184.98745,0.00783,0.78279,8.76390
6.30000,0.52507,187.61071,0.00797,0.79667,8.88818
6.40000,0.53332,190.38784,0.00809,0.80930,9.01974
6.50000,0.54169,193.02467,0.00822,0.82230,9.14466
6.60000,0.55000,196.05572,0.00836,0.83600,9.28826
6.70000,0.55825,197.80665,0.00846,0.84618,9.37121
6.80000,0.56674,199.70261,0.00855,0.85459,9.46104
6.90000,0.57506,202.95607,0.00868,0.86789,9.61517
7.00000,0.58331,204.47141,0.00881,0.88071,9.68696
7.10000,0.59174,208.18308,0.00895,0.89484,9.86280
7.20000,0.59993,210.38721,0.00908,0.90826,9.96723
7.30000,0.60824,213.52062,0.00921,0.92069,10.11567
7.40000,0.61673,216.53022,0.00934,0.93417,10.25826
7.50000,0.62492,218.98779,0.00947,0.94736,10.37468
7.60000,0.63329,221.74935,0.00961,0.96063,10.50551
7.70000,0.64166,224.52695,0.00974,0.97378,10.63710
7.80000,0.64997,226.82317,0.00987,0.98678,10.74589
7.90000,0.65828,229.82066,0.01000,1.00048,10.88790
8.00000,0.66671,232.77209,0.01013,1.01341,11.02772
8.10000,0.67496,235.40885,0.01027,1.02720,11.15264
8.20000,0.68327,237.86547,0.01040,1.03954,11.26903
8.30000,0.69170,240.09792,0.01054,1.05399,11.37479
8.40000,0.70002,243.09678,0.01067,1.06710,11.51686
8.50000,0.70839,246.48192,0.01081,1.08073,11.67724
8.60000,0.71670,248.77584,0.01094,1.09356,11.78591
8.70000,0.72501,249.75790,0.01100,1.09955,11.83244
8.80000,0.73338,252.90928,0.01113,1.11287,11.98174
8.90000,0.74169,255.46863,0.01126,1.12594,12.10299
9.00000,0.75000,257.17008,0.01139,1.13883,12.18359
9.10000,0.75837,260.17157,0.01153,1.15282,12.32579
9.20000,0.76662,262.37008,0.01166,1.16604,12.42995
9.30000,0.77493,265.72051,0.01179,1.17921,12.58868
9.40000,0.78336,267.90577,0.01193,1.19251,12.69220
9.50000,0.79167,271.74046,0.01206,1.20595,12.87387
9.60000,0.79992,273.62253,0.01219,1.21941,12.96304
9.70000,0.80835,276.46215,0.01233,1.23253,13.09757
9.80000,0.81666,278.76440,0.01246,1.24561,13.20664
9.90000,0.82498,280.98698,0.01259,1.25894,13.31193
10.00000,0.83341,284.62477,0.01272,1.27232,13.48428
10.10000,0.84172,286.60516,0.01286,1.28635,13.57810
10.20000,0.85003,289.05470,0.01299,1.29938,13.69415
10.30000,0.85840,292.50323,0.01313,1.31285,13.85752
10.40000,0.86665,294.86478,0.01326,1.32639,13.96940
10.50000,0.87502,295.70581,0.01333,1.33348,14.00925
10.60000,0.88333,297.62727,0.01344,1.34443,14.10028
10.70000,0.89158,300.80427,0.01358,1.35771,14.25079
10.80000,0.89995,303.06841,0.01371,1.37077,14.35806
10.90000,0.90832,305.36652,0.01385,1.38455,14.46693
11.00000,0.91669,308.07168,0.01398,1.39817,14.59509
11.10000,0.92506,310.71820,0.01412,1.41185,14.72047
11.20000,0.93337,313.64039,0.01424,1.42417,14.85891
11.30000,0.94168,315.45116,0.01438,1.43826,14.94470
11.40000,0.95006,318.19148,0.01452,1.45163,15.07452
11.50000,0.95825,320.69921,0.01465,1.46475,15.19333
11.60000,0.96650,323.77245,0.01479,1.47854,15.33892
11.70000,0.97505,325.58197,0.01492,1.49180,15.42465
11.80000,0.98330,327.81402,0.01505,1.50527,15.53039
11.90000,0.99161,330.45164,0.01519,1.51911,15.65535
12.00000,1.00010,332.95911,0.01532,1.53242,15.77415
12.10000,1.00829,335.24476,0.01546,1.54642,15.88243
12.20000,1.01666,337.49742,0.01559,1.55914,15.98915
12.30000,1.02509,339.21036,0.01565,1.56452,16.07030
12.40000,1.03328,340.94334,0.01578,1.57819,16.15240
12.50000,1.04159,343.61742,0.01591,1.59143,16.27909
12.60000,1.05008,346.47014,0.01606,1.60593,16.41424
12.70000,1.05827,348.47478,0.01619,1.61850,16.50921
12.80000,1.06664,351.18309,0.01632,1.63176,16.63752
12.90000,1.07502,353.89613,0.01646,1.64553,16.76605
13.00000,1.08327,355.48795,0.01659,1.65912,16.84146
13.10000,1.09164,358.08983,0.01672,1.67244,16.96473
13.20000,1.10001,359.96509,0.01687,1.68658,17.05357
13.30000,1.10832,362.47482,0.01700,1.70006,17.17247
13.40000,1.11675,365.30946,0.01713,1.71340,17.30676
13.50000,1.12506,367.73719,0.01727,1.72722,17.42178
13.60000,1.13325,370.10638,0.01740,1.74037,17.53402
13.70000,1.14168,371.91936,0.01754,1.75389,17.61991
13.80000,1.14993,372.81862,0.01759,1.75946,17.66252
13.90000,1.15824,375.72507,0.01773,1.77334,17.80021
14.00000,1.16679,377.82635,0.01787,1.78731,17.89976
14.10000,1.17492,380.13600,0.01801,1.80094,18.00918
14.20000,1.18323,382.18151,0.01815,1.81465,18.10609
14.30000,1.19178,384.84612,0.01829,1.82863,18.23233
14.40000,1.19998,387.17191,0.01843,1.84263,18.34251
14.50000,1.20841,389.40478,0.01856,1.85587,18.44830
14.60000,1.21678,391.50687,0.01870,1.87001,18.54788
14.70000,1.22497,394.21706,0.01883,1.88325,18.67628
14.80000,1.23334,396.15552,0.01897,1.89725,18.76812
14.90000,1.24171,398.18883,0.01911,1.91068,18.86444
15.00000,1.24996,400.77888,0.01925,1.92482,18.98715
15.10000,1.25827,401.83906,0.01934,1.93431,19.03738
15.20000,1.26670,404.05779,0.01945,1.94546,19.14249
15.30000,1.27495,406.17678,0.01960,1.95964,19.24288
15.40000,1.28338,408.28479,0.01973,1.97276,19.34275
15.50000,1.29169,411.40383,0.01987,1.98663,19.49051
15.60000,1.29994,412.80920,0.02000,2.00014,19.55709
15.70000,1.30831,415.35781,0.02015,2.01464,19.67784
15.80000,1.31656,417.71270,0.02028,2.02836,19.78940
15.90000,1.32494,420.38551,0.02042,2.04177,19.91603
16.00000,1.33337,422.24783,0.02056,2.05630,20.00426
16.10000,1.34156,424.48221,0.02070,2.06962,20.11011
16.20000,1.34993,427.01275,0.02083,2.08348,20.23000
16.30000,1.35836,428.05355,0.02092,2.09180,20.27930
16.40000,1.36667,430.18446,0.02106,2.10574,20.38026
16.50000,1.37498,432.83505,0.02120,2.11971,20.50583
16.60000,1.38341,434.55265,0.02134,2.13410,20.58720
16.70000,1.39166,437.53646,0.02148,2.14776,20.72857
16.80000,1.40003,439.05647,0.02162,2.16179,20.80058
16.90000,1.40840,441.75955,0.02176,2.17578,20.92863
17.00000,1.41671,444.30955,0.02190,2.18967,21.04944
17.10000,1.42502,446.03935,0.02204,2.20383,21.13139
17.20000,1.43333,448.10362,0.02218,2.21790,21.22919
17.30000,1.44164,449.59076,0.02228,2.22813,21.29964
17.40000,1.45001,451.50900,0.02241,2.24100,21.39052
17.50000,1.45839,453.31293,0.02255,2.25494,21.47598
17.60000,1.46670,455.34056,0.02269,2.26935,21.57204
17.70000,1.47507,457.55445,0.02283,2.28318,21.67693
17.80000,1.48338,460.02157,0.02298,2.29760,21.79381
17.90000,1.49163,461.81786,0.02311,2.31123,21.87891
18.00000,1.49994,464.33439,0.02326,2.32599,21.99813
18.10000,1.50825,465.69048,0.02340,2.34033,22.06238
18.20000,1.51662,467.12533,0.02350,2.35012,22.13036
18.30000,1.52505,468.74094,0.02363,2.36295,22.20690
18.40000,1.53324,471.52163,0.02377,2.37707,22.33863
18.50000,1.54161,473.71225,0.02391,2.39100,22.44242
18.60000,1.55004,474.76972,0.02406,2.40593,22.49251
18.70000,1.55829,477.18752,0.02420,2.41971,22.60706
18.80000,1.56666,479.19503,0.02434,2.43403,22.70217
18.90000,1.57503,480.96771,0.02447,2.44716,22.78615
19.00000,1.58323,482.73583,0.02461,2.46054,22.86991
19.10000,1.59160,484.99405,0.02475,2.47497,22.97690
19.20000,1.60003,485.66782,0.02489,2.48861,23.00882
19.30000,1.60828,487.64148,0.02503,2.50276,23.10232
19.40000,1.61665,489.93197,0.02516,2.51637,23.21083
19.50000,1.62502,491.57818,0.02530,2.53028,23.28882
19.60000,1.63333,493.20883,0.02542,2.54176,23.36608
19.70000,1.64176,494.58877,0.02554,2.55431,23.43145
19.80000,1.65013,497.12174,0.02569,2.56871,23.55145
19.90000,1.65838,498.25185,0.02584,2.58351,23.60499
20.00000,1.66669,500.57643,0.02598,2.59785,23.71512
20.10000,1.67500,502.76015,0.02613,2.61282,23.81858
20.20000,1.68331,504.48589,0.02628,2.62756,23.90034
20.30000,1.69168,505.90886,0.02641,2.64141,23.96775
20.40000,1.69999,508.16680,0.02655,2.65533,24.07472
20.50000,1.70825,509.42572,0.02670,2.66959,24.13436
20.60000,1.71674,510.86694,0.02684,2.68374,24.20264
20.70000,1.72499,513.36596,0.02698,2.69786,24.32103
20.80000,1.73330,514.31488,0.02713,2.71256,24.36599
20.90000,1.74179,516.69977,0.02727,2.72660,24.47898
21.00000,1.74998,516.95998,0.02737,2.73735,24.49130
21.10000,1.75829,519.11566,0.02751,2.75136,24.59343
21.20000,1.76672,520.53425,0.02766,2.76643,24.66064
21.30000,1.77491,522.67667,0.02781,2.78126,24.76213
21.40000,1.78334,524.46076,0.02796,2.79603,24.84666
21.50000,1.79171,526.08498,0.02811,2.81068,24.92361
21.60000,1.80002,527.17901,0.02826,2.82595,24.97544
21.70000,1.80839,529.71616,0.02841,2.84083,25.09564
21.80000,1.81676,530.96786,0.02855,2.85476,25.15494
21.90000,1.82507,532.78590,0.02869,2.86937,25.24107
22.00000,1.83339,533.83713,0.02884,2.88421,25.29087
22.10000,1.84170,536.02210,0.02899,2.89853,25.39438
22.20000,1.85001,536.97429,0.02913,2.91342,25.43949
22.30000,1.85832,538.23222,0.02923,2.92320,25.49909
22.40000,1.86669,539.83280,0.02938,2.93810,25.57492
22.50000,1.87500,541.30470,0.02953,2.95333,25.64465
22.60000,1.88337,542.80479,0.02969,2.96893,25.71572
22.70000,1.89168,544.56117,0.02984,2.98435,25.79893
22.80000,1.89993,545.05337,0.02994,2.99374,25.82224
22.90000,1.90830,547.43318,0.03009,3.00919,25.93499
23.00000,1.91655,548.14862,0.03025,3.02454,25.96889
23.10000,1.92498,549.77559,0.03040,3.03989,26.04596
23.20000,1.93329,551.03679,0.03055,3.07313,26.10571
23.30000,1.94154,552.94367,0.03068,3.10613,26.19605
23.40000,1.94991,554.02797,0.03080,3.13962,26.24742
23.43400,1.95272,554.37158,0.03086,3.15086,26.26370
23.53400,1.96110,556.00130,0.03101,3.18434,26.34091
23.63400,1.96947,556.90333,0.03117,3.21782,26.38364
23.73400,1.97778,559.24132,0.03133,3.25106,26.49441
23.83400,1.98615,559.89446,0.03149,3.28455,26.52535
23.93400,1.99452,561.98528,0.03164,3.31803,26.62440
24.03400,2.00289,563.08862,0.03180,3.35151,26.67668
24.13400,2.01120,565.19471,0.03196,3.38475,26.77645
24.23400,2.01951,565.99258,0.03211,3.41800,26.81425
24.33400,2.02788,566.98350,0.03225,3.45148,26.86120
24.43400,2.03619,568.41690,0.03241,3.48472,26.92911
24.53400,2.04456,570.64774,0.03257,3.51820,27.03479
24.63400,2.05287,571.23201,0.03273,3.55145,27.06248
24.73400,2.06118,572.02205,0.03289,3.58469,27.09990
24.83400,2.06955,574.32489,0.03305,3.61817,27.20900
24.93400,2.07786,575.69062,0.03333,3.65141,27.27370
25.03400,2.08623,577.05897,0.03332,3.68490,27.33853
25.13400,2.09455,577.07522,0.03331,3.71814,27.33930
25.23400,2.10286,578.14540,0.03398,3.75138,27.39000
25.33400,2.11123,580.50239,0.02749,3.78486,27.50167
25.43400,2.11948,580.23501,0.00716,3.81787,27.48900
25.53400,2.12785,581.32992,0.00528,3.85135,27.54087
25.63400,2.13616,582.82372,0.00503,3.88459,27.61164
25.73400,2.14447,584.62932,0.00464,3.91784,27.69718
25.83400,2.15284,585.83198,0.00318,3.95132,27.75416
25.93400,2.16115,587.34580,0.00297,3.98456,27.82588
26.03400,2.16958,588.55936,0.00385,4.01828,27.88337
26.13400,2.17783,589.57632,0.00453,4.05129,27.93155
26.23400,2.18614,590.46694,0.00438,4.08453,27.97374
26.33400,2.19451,591.93964,0.00450,4.11801,28.04351
26.43400,2.20276,592.67404,0.00459,4.15102,28.07830
26.53400,2.21113,593.68699,0.00469,4.18450,28.12629
26.63400,2.21951,594.74711,0.00452,4.21798,28.17652
26.73400,2.22782,596.09618,0.00392,4.25122,28.24043
26.83400,2.23613,596.67658,0.00252,4.28447,28.26793
26.93400,2.24450,598.53597,-0.00315,4.31795,28.35602
27.03400,2.25281,599.11008,-0.01048,4.35119,28.38321
27.13400,2.26118,600.21481,-0.01170,4.38467,28.43555
27.23400,2.26955,601.35336,-0.13081,4.41815,28.48949
27.33400,2.27786,602.58391,-0.13908,4.45140,28.54779
27.43400,2.28617,603.24380,-0.13927,4.48464,28.57905
27.53400,2.29454,602.74000,-0.13924,4.51812,28.55519
27.63400,2.30285,604.90244,-0.13925,4.55137,28.65763
27.73400,2.31116,604.83040,-0.13926,4.58461,28.65422
27.83400,2.31953,605.94380,-0.13925,4.61809,28.70697
27.93400,2.32784,607.18735,-0.13925,4.65133,28.76588
28.03400,2.33621,608.29613,-0.13926,4.68482,28.81841
28.13400,2.34447,608.85814,-0.13926,4.71782,28.84504
28.23400,2.35284,609.66127,-0.13926,4.75130,28.88309
28.33400,2.36127,610.69322,-0.13926,4.78502,28.93197
28.43400,2.36958,611.11227,-0.13926,4.81827,28.95183
28.53400,2.37789,612.22129,-0.13926,4.85151,29.00437
28.63400,2.38620,613.50861,-0.13926,4.88475,29.06536
28.73400,2.39439,614.27844,-0.13926,4.91752,29.10183
28.83400,2.40282,615.05674,-0.13926,4.95124,29.13870
28.93400,2.41113,615.93330,-0.13926,4.98448,29.18023
29.03400,2.41950,616.47063,-0.13926,5.01796,29.20568
29.13400,2.42775,617.65034,-0.13926,5.05097,29.26157
29.23400,2.43612,617.90617,-0.13927,5.08445,29.27369
29.33400,2.44443,618.10557,-0.13927,5.11769,29.28314
29.43400,2.45280,618.90660,-0.13926,5.15117,29.32109
29.53400,2.46117,619.96239,-0.13927,5.18466,29.37111
