Time,Extension,Load,Strain 1,Tensile strain,Tensile stress
(sec),(mm),(N),(mm/mm),(%),(MPa)
0.00000,0.00006,-1.28208,0.00000,-0.00029,-0.06677
0.10000,0.00407,0.71430,0.00003,0.00264,0.03720
0.20000,0.01369,3.60125,0.00017,0.01701,0.18757
0.30000,0.02350,8.09874,0.00033,0.03280,0.42181
0.40000,0.03259,11.78286,0.00047,0.04702,0.61369
0.50000,0.04143,14.87009,0.00061,0.06125,0.77448
0.60000,0.04986,17.50103,0.00074,0.07382,0.91151
0.70000,0.05823,20.79522,0.00087,0.08714,1.08308
0.80000,0.06667,23.84668,0.00100,0.10042,1.24201
0.90000,0.07498,27.38603,0.00114,0.11355,1.42636
1.00000,0.08323,30.19031,0.00126,0.12638,1.57241
1.10000,0.09172,33.31794,0.00140,0.14013,1.73531
1.20000,0.10003,36.45296,0.00153,0.15318,1.89859
1.30000,0.10834,40.51226,0.00167,0.16671,2.11001
1.40000,0.11677,43.42751,0.00180,0.18038,2.26185
1.50000,0.12508,46.53664,0.00194,0.19379,2.42378
1.60000,0.13339,49.37555,0.00207,0.20735,2.57164
1.70000,0.14170,52.91918,0.00221,0.22067,2.75621
1.80000,0.14995,55.86368,0.00233,0.23347,2.90957
1.90000,0.15832,58.84690,0.00247,0.24702,3.06494
2.00000,0.16663,61.42720,0.00260,0.26024,3.19933
2.10000,0.17494,64.75901,0.00274,0.27439,3.37287
2.20000,0.18325,68.18812,0.00288,0.28807,3.55146
2.30000,0.19163,71.03651,0.00302,0.30202,3.69982
2.40000,0.20000,74.20531,0.00315,0.31500,3.86486
2.50000,0.20837,77.70180,0.00329,0.32869,4.04697
2.60000,0.21668,80.64684,0.00342,0.34234,4.20036
2.70000,0.22499,84.23266,0.00356,0.35559,4.38712
2.80000,0.23336,87.38869,0.00369,0.36909,4.55149
2.90000,0.24161,90.35444,0.00383,0.38267,4.70596
3.00000,0.24998,93.31230,0.00397,0.39655,4.86002
3.10000,0.25841,96.25137,0.00411,0.41075,5.01309
3.20000,0.26672,99.10535,0.00424,0.42436,5.16174
3.30000,0.27503,102.34675,0.00438,0.43829,5.33056
3.40000,0.28340,106.00948,0.00452,0.45177,5.52133
3.50000,0.29165,107.83677,0.00465,0.46481,5.61650
3.60000,0.30002,111.56170,0.00479,0.47908,5.81051
3.70000,0.30839,114.96403,0.00493,0.49292,5.98771
3.80000,0.31670,117.37559,0.00507,0.50681,6.11331
3.90000,0.32502,120.05514,0.00520,0.52050,6.25287
4.00000,0.33339,123.62780,0.00535,0.53458,6.43895
