Time,Extension,Load,Strain 1,Tensile strain,Tensile stress
(sec),(mm),(N),(mm/mm),(%),(MPa)
0.00000,0.00000,23.12176,0.00085,0.08466,1.13342
0.10000,0.00335,24.07530,0.00086,0.08634,1.18016
0.20000,0.01268,27.33107,0.00098,0.09754,1.33976
0.30000,0.02290,32.16564,0.00111,0.11117,1.57675
0.40000,0.03235,36.80201,0.00124,0.12410,1.80402
0.50000,0.04125,40.69418,0.00136,0.13564,1.99481
0.60000,0.04986,44.77511,0.00147,0.14713,2.19486
0.70000,0.05829,48.22489,0.00158,0.15773,2.36397
0.80000,0.06661,51.58458,0.00168,0.16847,2.52866
0.90000,0.07504,55.24102,0.00179,0.17941,2.70789
1.00000,0.08335,58.11785,0.00190,0.19040,2.84891
1.10000,0.09166,61.48743,0.00201,0.20063,3.01409
1.20000,0.10015,64.81075,0.00212,0.21182,3.17700
1.30000,0.10846,68.61654,0.00223,0.22273,3.36356
1.40000,0.11677,72.26674,0.00234,0.23351,3.54249
1.50000,0.12508,74.66447,0.00244,0.24418,3.66002
1.60000,0.13333,78.26564,0.00255,0.25474,3.83655
1.70000,0.14170,81.51139,0.00266,0.26573,3.99566
1.80000,0.15001,84.57302,0.00276,0.27593,4.14574
1.90000,0.15832,87.23474,0.00286,0.28638,4.27621
2.00000,0.16657,90.40179,0.00298,0.29775,4.43146
2.10000,0.17500,93.29814,0.00309,0.30887,4.57344
2.20000,0.18331,96.13300,0.00319,0.31909,4.71240
2.30000,0.19169,99.48189,0.00330,0.33014,4.87656
2.40000,0.20000,102.86446,0.00341,0.34109,5.04238
2.50000,0.20837,105.66984,0.00352,0.35185,5.17989
2.60000,0.21668,108.63163,0.00363,0.36289,5.32508
2.70000,0.22493,111.02021,0.00373,0.37331,5.44217
2.80000,0.23330,114.36773,0.00383,0.38342,5.60626
2.90000,0.24167,117.26976,0.00395,0.39454,5.74852
3.00000,0.24998,120.43188,0.00405,0.40538,5.90352
3.10000,0.25835,122.96169,0.00416,0.41613,6.02753
3.20000,0.26672,125.63291,0.00427,0.42678,6.15848
3.30000,0.27503,128.03919,0.00437,0.43736,6.27643
3.40000,0.28334,131.11366,0.00448,0.44827,6.42714
3.50000,0.29171,133.29010,0.00459,0.45878,6.53383
3.60000,0.30008,136.75075,0.00469,0.46926,6.70347
3.70000,0.30839,139.32849,0.00480,0.47970,6.82983
3.80000,0.31676,141.71520,0.00490,0.49038,6.94682
3.90000,0.32496,144.09763,0.00501,0.50056,7.06361
4.00000,0.33333,146.79566,0.00511,0.51128,7.19587
4.10000,0.34170,149.30331,0.00522,0.52221,7.31879
4.20000,0.35001,151.32813,0.00533,0.53282,7.41805
4.30000,0.35832,154.58935,0.00543,0.54312,7.57791
4.40000,0.36663,156.78031,0.00553,0.55338,7.68531
4.50000,0.37494,158.99261,0.00564,0.56359,7.79376
4.60000,0.38337,161.32733,0.00574,0.57410,7.90820
4.70000,0.39168,163.36595,0.00584,0.58422,8.00813
4.80000,0.39999,166.10021,0.00595,0.59482,8.14217
4.90000,0.40836,168.20254,0.00605,0.60541,8.24522
5.00000,0.41661,171.46535,0.00616,0.61629,8.40516
5.10000,0.42492,173.68702,0.00627,0.62651,8.51407
5.20000,0.43341,175.81760,0.00637,0.63682,8.61851
5.30000,0.44166,177.97311,0.00647,0.64723,8.72417
5.40000,0.44998,180.60368,0.00658,0.65795,8.85312
5.50000,0.45847,182.42528,0.00668,0.66808,8.94242
5.60000,0.46666,184.16822,0.00678,0.67841,9.02785
5.70000,0.47497,186.72182,0.00688,0.68844,9.15303
5.80000,0.48346,188.73557,0.00699,0.69902,9.25174
5.90000,0.49165,190.60671,0.00709,0.70874,9.34347
6.00000,0.49996,192.97545,0.00720,0.71954,9.45958
6.10000,0.50845,195.17879,0.00730,0.73046,9.56759
6.20000,0.51664,197.05850,0.00741,0.74105,9.65973
6.30000,0.52501,198.81153,0.00752,0.75169,9.74566
6.40000,0.53338,200.75475,0.00762,0.76220,9.84092
6.50000,0.54157,202.29360,0.00773,0.77267,9.91635
6.60000,0.55006,204.97290,0.00783,0.78338,10.04769
6.70000,0.55843,207.58274,0.00794,0.79424,10.17562
6.80000,0.56668,209.77708,0.00804,0.80430,10.28319
6.90000,0.57506,211.25316,0.00815,0.81532,10.35555
7.00000,0.58337,213.59383,0.00826,0.82628,10.47029
7.10000,0.59162,215.03759,0.00837,0.83740,10.54106
7.20000,0.59999,217.01609,0.00848,0.84844,10.63804
7.30000,0.60836,218.62264,0.00859,0.85918,10.71680
7.40000,0.61655,220.98466,0.00870,0.87029,10.83258
7.50000,0.62498,223.18724,0.00881,0.88086,10.94055
7.60000,0.63329,224.65200,0.00892,0.89170,11.01235
