Time,Extension,Load,Strain 1,Tensile strain,Tensile stress
(sec),(mm),(N),(mm/mm),(%),(MPa)
0.00000,0.00006,12.00072,0.00082,0.08153,0.56501
0.10000,0.02415,18.48454,0.00102,0.10209,0.87027
0.20000,0.07157,39.94533,0.00173,0.17272,1.88067
0.30000,0.11922,61.41968,0.00247,0.24655,2.89170
0.40000,0.16418,80.83704,0.00317,0.31688,3.80589
0.50000,0.20741,99.23155,0.00385,0.38456,4.67192
0.60000,0.24962,116.02548,0.00450,0.45005,5.46259
0.70000,0.29171,131.97490,0.00514,0.51417,6.21351
0.80000,0.33345,148.28249,0.00579,0.57864,6.98129
0.90000,0.37506,163.52672,0.00643,0.64314,7.69900
1.00000,0.41673,178.45328,0.00709,0.70878,8.40176
1.10000,0.45835,192.72459,0.00774,0.77410,9.07366
1.20000,0.50002,207.16696,0.00841,0.84148,9.75362
1.30000,0.54169,219.34239,0.00909,0.90850,10.32685
1.40000,0.58343,232.91556,0.00976,0.97630,10.96589
1.50000,0.62492,245.68120,0.01045,1.04526,11.56691
1.60000,0.66659,258.15580,0.01115,1.11477,12.15423
1.70000,0.70833,269.48510,0.01185,1.18473,12.68762
1.80000,0.75006,279.95836,0.01257,1.25713,13.18071
1.90000,0.79167,290.95376,0.01329,1.32918,13.69839
2.00000,0.83341,300.71682,0.01403,1.40319,14.15804
2.10000,0.87502,310.58989,0.01478,1.47777,14.62288
2.20000,0.91669,318.40499,0.01553,1.55271,14.99082
2.30000,0.95831,327.37197,0.01629,1.62897,15.41299
2.40000,0.99998,335.27892,0.01706,1.70565,15.78526
2.50000,1.04159,343.37158,0.01783,1.78346,16.16627
2.60000,1.08339,351.10088,0.01861,1.86146,16.53017
2.70000,1.12500,358.28934,0.01940,1.93961,16.86861
2.80000,1.16673,364.03772,0.02019,2.01874,17.13925
2.90000,1.20847,370.80988,0.02099,2.09928,17.45809
3.00000,1.25002,377.89787,0.02181,2.18060,17.79180
3.10000,1.29163,382.98063,0.02261,2.26106,18.03110
3.20000,1.33331,388.90056,0.02342,2.34163,18.30982
3.30000,1.37492,395.13316,0.02423,2.42338,18.60326
3.40000,1.41671,400.35252,0.02506,2.50597,18.84899
3.50000,1.45833,405.22786,0.02589,2.58913,19.07852
3.60000,1.50000,410.58334,0.02672,2.67170,19.33067
3.70000,1.54161,415.46957,0.02755,2.75517,19.56071
3.80000,1.58323,420.30010,0.02840,2.83952,19.78814
3.90000,1.62490,425.22615,0.02925,2.92475,20.02006
4.00000,1.66675,428.90110,0.03010,3.01043,20.19308
4.10000,1.70842,434.09080,0.03098,3.09751,20.43742
4.20000,1.75004,437.43807,0.03184,3.18425,20.59501
4.30000,1.79165,441.16396,0.03273,3.27295,20.77043
4.40000,1.83344,445.62668,0.03363,3.36284,20.98054
4.50000,1.87512,448.36220,0.03454,3.52953,21.10933
4.60000,1.91661,452.19790,0.03546,3.69551,21.28992
4.70000,1.95817,455.32701,0.03640,3.86172,21.43724
4.70800,1.96145,455.40482,0.03647,3.87488,21.44090
4.80800,2.00331,458.00731,0.03743,4.04229,21.56343
4.90800,2.04492,460.62418,0.03840,4.20874,21.68664
5.00800,2.08677,462.52715,0.03940,4.37615,21.77623
5.10800,2.12833,463.99171,0.04042,4.54237,21.84518
5.20800,2.17006,465.74501,0.04147,4.70930,21.92773
5.30800,2.21161,466.49571,0.04254,4.87551,21.96307
5.40800,2.25341,467.53404,0.04363,5.04269,22.01196
5.50800,2.29502,468.07639,0.04475,5.20914,22.03749
5.60800,2.33675,468.32147,0.04590,5.37607,22.04903
5.70800,2.37849,468.90038,0.04709,5.54300,22.07629
5.80800,2.42004,468.70308,0.04829,5.70922,22.06700
5.90800,2.46159,468.27295,0.04952,5.87543,22.04675
6.00800,2.50327,467.57553,0.05077,6.04213,22.01391
6.10800,2.54494,466.77440,0.05204,6.20882,21.97620
6.20800,2.58661,465.76425,0.05334,6.37551,21.92864
6.30800,2.62835,464.55381,0.05465,6.54244,21.87165
6.40800,2.66996,464.06989,0.05596,6.70890,21.84887
6.50800,2.71175,462.52077,0.05755,6.87607,21.77593
6.60800,2.75343,462.02042,0.05826,7.04276,21.75237
6.70800,2.79510,460.33049,0.06108,7.20946,21.67281
6.80800,2.83671,459.04275,0.02633,7.37591,21.61218
6.90800,2.87827,458.87339,0.00897,7.54213,21.60421
7.00800,2.91994,457.00539,0.00359,7.70882,21.51626
7.10800,2.96167,456.11658,0.00378,7.87575,21.47441
7.20800,3.00352,455.14670,0.00391,8.04316,21.42875
7.30800,3.04496,453.76862,0.00413,8.20890,21.36387
7.40800,3.08651,453.15167,0.00142,8.37511,21.33482
7.50800,3.12825,452.72699,0.00472,8.54205,21.31483
7.60800,3.16998,452.10076,0.00467,8.70898,21.28535
7.70800,3.21165,450.74304,0.00666,8.87567,21.22142
7.80800,3.25333,450.26955,0.00588,9.04236,21.19913
7.90800,3.29494,448.94931,0.00877,9.20882,21.13697
8.00800,3.33661,448.99117,0.01352,9.37551,21.13894
