Time,Extension,Load,Strain 1,Tensile strain,Tensile stress
(sec),(mm),(N),(mm/mm),(%),(MPa)
0.00000,0.00006,24.40095,0.00124,0.12363,1.14983
0.10000,0.00425,26.40238,0.00127,0.12687,1.24414
0.20000,0.01381,31.08542,0.00142,0.14225,1.46481
0.30000,0.02356,36.33377,0.00158,0.15834,1.71213
0.40000,0.03270,40.57367,0.00174,0.17358,1.91192
0.50000,0.04149,45.87150,0.00188,0.18832,2.16157
0.60000,0.04986,49.57807,0.00203,0.20302,2.33623
0.70000,0.05823,54.38530,0.00216,0.21645,2.56276
0.80000,0.06673,57.90392,0.00231,0.23071,2.72856
0.90000,0.07498,62.54097,0.00244,0.24391,2.94707
1.00000,0.08335,66.70213,0.00258,0.25792,3.14315
1.10000,0.09178,70.57770,0.00272,0.27192,3.32578
1.20000,0.10009,75.06080,0.00285,0.28526,3.53703
1.30000,0.10840,79.42151,0.00300,0.30005,3.74252
1.40000,0.11677,83.45731,0.00313,0.31337,3.93270
1.50000,0.12502,86.92832,0.00327,0.32660,4.09626
1.60000,0.13339,91.02990,0.00341,0.34070,4.28953
1.70000,0.14170,94.98449,0.00354,0.35444,4.47588
1.80000,0.14995,98.87979,0.00368,0.36803,4.65944
1.90000,0.15832,103.17368,0.00381,0.38087,4.86178
2.00000,0.16657,105.19308,0.00391,0.39086,4.95693
2.10000,0.17482,109.26117,0.00405,0.40498,5.14863
2.20000,0.18325,113.60798,0.00418,0.41831,5.35346
2.30000,0.19157,116.90707,0.00432,0.43204,5.50892
2.40000,0.19994,120.63081,0.00446,0.44560,5.68439
2.50000,0.20837,124.87747,0.00460,0.45959,5.88451
2.60000,0.21668,128.15485,0.00473,0.47327,6.03894
2.70000,0.22499,132.19182,0.00487,0.48668,6.22918
2.80000,0.23336,135.93512,0.00501,0.50066,6.40557
2.90000,0.24167,139.75025,0.00514,0.51447,6.58535
3.00000,0.24998,143.46670,0.00528,0.52824,6.76047
3.10000,0.25841,147.26723,0.00542,0.54186,6.93956
3.20000,0.26672,150.72338,0.00555,0.55515,7.10242
3.30000,0.27497,154.50448,0.00568,0.56845,7.28060
3.40000,0.28340,157.40237,0.00579,0.57911,7.41715
3.50000,0.29177,160.70871,0.00593,0.59325,7.57296
3.60000,0.30008,164.23347,0.00607,0.60720,7.73905
3.70000,0.30833,168.08416,0.00621,0.62053,7.92050
3.80000,0.31665,171.49827,0.00634,0.63411,8.08138
3.90000,0.32502,174.80014,0.00648,0.64791,8.23697
4.00000,0.33327,177.86181,0.00661,0.66115,8.38125
4.10000,0.34164,181.86109,0.00675,0.67507,8.56970
4.20000,0.34995,185.82280,0.00688,0.68848,8.75639
4.30000,0.35820,188.86840,0.00702,0.70225,8.89990
4.40000,0.36663,193.29004,0.00716,0.71558,9.10826
4.50000,0.37500,196.65370,0.00729,0.72907,9.26676
4.60000,0.38331,200.34288,0.00743,0.74251,9.44061
4.70000,0.39162,202.57076,0.00752,0.75182,9.54559
4.80000,0.39999,206.38139,0.00766,0.76579,9.72515
4.90000,0.40824,209.69682,0.00779,0.77918,9.88138
5.00000,0.41661,212.75727,0.00793,0.79272,10.02560
5.10000,0.42504,216.27485,0.00807,0.80658,10.19136
5.20000,0.43335,220.10095,0.00820,0.81984,10.37165
5.30000,0.44166,222.82389,0.00833,0.83331,10.49996
5.40000,0.45004,226.71993,0.00847,0.84674,10.68355
5.50000,0.45829,230.63077,0.00860,0.86001,10.86784
5.60000,0.46666,233.41232,0.00874,0.87385,10.99891
5.70000,0.47503,236.98695,0.00887,0.88701,11.16736
5.80000,0.48334,240.45550,0.00901,0.90075,11.33080
5.90000,0.49171,242.72220,0.00910,0.91048,11.43761
6.00000,0.50002,246.85403,0.00924,0.92409,11.63232
6.10000,0.50833,249.24304,0.00938,0.93775,11.74489
6.20000,0.51664,253.14668,0.00951,0.95129,11.92884
6.30000,0.52495,256.58384,0.00965,0.96470,12.09081
6.40000,0.53326,259.66433,0.00978,0.97811,12.23597
6.50000,0.54169,263.46811,0.00991,0.99132,12.41521
6.60000,0.55000,266.70161,0.01005,1.00524,12.56758
6.70000,0.55825,269.77947,0.01019,1.01856,12.71261
6.80000,0.56674,273.86690,0.01033,1.03276,12.90522
6.90000,0.57500,275.59975,0.01042,1.04208,12.98688
7.00000,0.58331,278.97116,0.01055,1.05512,13.14575
7.10000,0.59174,281.35383,0.01069,1.06884,13.25802
7.20000,0.59993,285.24387,0.01082,1.08200,13.44133
7.30000,0.60818,288.90742,0.01095,1.09498,13.61397
7.40000,0.61673,291.27006,0.01109,1.10900,13.72530
7.50000,0.62498,294.68234,0.01122,1.12209,13.88609
7.60000,0.63329,297.82425,0.01135,1.13490,14.03415
7.70000,0.64172,300.21784,0.01148,1.14763,14.14694
7.80000,0.64997,302.56165,0.01158,1.15807,14.25738
7.90000,0.65828,305.59781,0.01171,1.17085,14.40045
8.00000,0.66671,309.13372,0.01185,1.18528,14.56707
8.10000,0.67496,311.58861,0.01199,1.19923,14.68275
8.20000,0.68333,315.14503,0.01212,1.21243,14.85034
8.30000,0.69170,318.15509,0.01226,1.22641,14.99218
8.40000,0.70002,320.56016,0.01238,1.23760,15.10551
8.50000,0.70839,322.88262,0.01249,1.24942,15.21495
8.60000,0.71664,325.82455,0.01263,1.26309,15.35358
8.70000,0.72489,329.02481,0.01276,1.27620,15.50439
8.80000,0.73344,332.32083,0.01290,1.28955,15.65970
8.90000,0.74169,334.81135,0.01302,1.30202,15.77706
9.00000,0.75000,337.42858,0.01314,1.31421,15.90039
