Time,Extension,Load,Strain 1,Tensile strain,Tensile stress
(sec),(mm),(N),(mm/mm),(%),(MPa)
0.00000,0.00006,28.68708,0.00117,0.11742,1.38953
0.10000,0.00419,31.21253,0.00121,0.12075,1.51186
0.20000,0.01381,35.04823,0.00136,0.13598,1.69765
0.30000,0.02356,40.24995,0.00152,0.15194,1.94961
0.40000,0.03270,45.34171,0.00167,0.16749,2.19625
0.50000,0.04143,50.41420,0.00182,0.18243,2.44194
0.60000,0.04986,54.70726,0.00197,0.19715,2.64989
0.70000,0.05823,58.44202,0.00211,0.21097,2.83079
0.80000,0.06673,62.17309,0.00225,0.22503,3.01152
0.90000,0.07498,66.11903,0.00239,0.23913,3.20265
1.00000,0.08335,70.73746,0.00253,0.25274,3.42636
1.10000,0.09178,75.36959,0.00267,0.26725,3.65073
1.20000,0.10003,78.53807,0.00281,0.28117,3.80420
1.30000,0.10840,83.02034,0.00295,0.29510,4.02131
1.40000,0.11683,87.29962,0.00309,0.30913,4.22859
1.50000,0.12502,90.93364,0.00323,0.32258,4.40461
1.60000,0.13339,95.16456,0.00337,0.33676,4.60955
1.70000,0.14170,99.39438,0.00351,0.35149,4.81443
1.80000,0.14995,102.67816,0.00365,0.36457,4.97349
1.90000,0.15832,107.06484,0.00379,0.37876,5.18597
2.00000,0.16657,110.96683,0.00393,0.39289,5.37497
2.10000,0.17488,114.78195,0.00407,0.40722,5.55977
2.20000,0.18331,118.34523,0.00421,0.42116,5.73236
2.30000,0.19163,122.02248,0.00435,0.43516,5.91048
2.40000,0.19994,125.82825,0.00448,0.44848,6.09482
2.50000,0.20837,130.38465,0.00463,0.46250,6.31553
2.60000,0.21668,133.05896,0.00477,0.47702,6.44506
2.70000,0.22499,137.71860,0.00491,0.49096,6.67076
2.80000,0.23336,140.90292,0.00505,0.50517,6.82501
2.90000,0.24167,144.33046,0.00520,0.51952,6.99103
3.00000,0.24998,149.00268,0.00533,0.53308,7.21734
3.10000,0.25841,152.35204,0.00547,0.54728,7.37957
3.20000,0.26672,156.19205,0.00560,0.56044,7.56558
3.30000,0.27497,159.86355,0.00574,0.57442,7.74341
3.40000,0.28340,163.40642,0.00589,0.58880,7.91502
3.50000,0.29177,167.64625,0.00603,0.60278,8.12039
3.60000,0.30008,170.44947,0.00617,0.61730,8.25617
3.70000,0.30833,174.45751,0.00631,0.63103,8.45031
3.80000,0.31665,177.82919,0.00645,0.64467,8.61363
3.90000,0.32502,181.56146,0.00658,0.65799,8.79441
4.00000,0.33327,185.32487,0.00672,0.67227,8.97670
4.10000,0.34164,189.13805,0.00687,0.68668,9.16140
4.20000,0.34995,192.69636,0.00700,0.69970,9.33376
4.30000,0.35826,196.32147,0.00714,0.71369,9.50935
4.40000,0.36663,199.62599,0.00728,0.72789,9.66941
4.50000,0.37500,203.41063,0.00742,0.74153,9.85273
4.60000,0.38331,206.49717,0.00755,0.75544,10.00224
4.70000,0.39162,210.13974,0.00769,0.76909,10.17867
4.80000,0.39999,213.79839,0.00783,0.78319,10.35589
4.90000,0.40824,216.91895,0.00797,0.79716,10.50704
5.00000,0.41661,220.45195,0.00811,0.81089,10.67817
5.10000,0.42504,224.22129,0.00825,0.82514,10.86075
5.20000,0.43335,227.88169,0.00839,0.83888,11.03805
5.30000,0.44166,231.30781,0.00852,0.85231,11.20401
5.40000,0.45004,235.35648,0.00867,0.86697,11.40011
5.50000,0.45835,237.89636,0.00880,0.88016,11.52314
5.60000,0.46666,241.39280,0.00895,0.89452,11.69250
5.70000,0.47503,244.84941,0.00909,0.90852,11.85993
5.80000,0.48334,248.09472,0.00922,0.92214,12.01712
5.90000,0.49171,251.89838,0.00936,0.93628,12.20136
6.00000,0.50002,255.59701,0.00950,0.95046,12.38052
6.10000,0.50833,259.02484,0.00964,0.96430,12.54655
6.20000,0.51664,262.31899,0.00978,0.97783,12.70611
6.30000,0.52495,266.06086,0.00992,0.99215,12.88736
6.40000,0.53326,269.25262,0.01006,1.00638,13.04196
6.50000,0.54169,272.47341,0.01021,1.02050,13.19797
6.60000,0.55000,275.85279,0.01035,1.03459,13.36166
6.70000,0.55831,279.01886,0.01048,1.04817,13.51502
6.80000,0.56674,282.55556,0.01062,1.06228,13.68633
6.90000,0.57500,284.32063,0.01070,1.06998,13.77182
7.00000,0.58331,287.42107,0.01084,1.08425,13.92200
7.10000,0.59174,291.15390,0.01099,1.09853,14.10281
7.20000,0.59993,293.32985,0.01112,1.11236,14.20821
7.30000,0.60818,297.18459,0.01126,1.12633,14.39492
7.40000,0.61673,300.45328,0.01141,1.14086,14.55325
7.50000,0.62492,303.57789,0.01155,1.15469,14.70460
7.60000,0.63329,307.21435,0.01169,1.16908,14.88074
7.70000,0.64172,310.25163,0.01183,1.18275,15.02786
7.80000,0.64997,313.54846,0.01197,1.19659,15.18755
7.90000,0.65828,316.41093,0.01210,1.21045,15.32620
8.00000,0.66671,319.67377,0.01225,1.22538,15.48424
8.10000,0.67496,322.49885,0.01239,1.23943,15.62108
8.20000,0.68333,325.63445,0.01253,1.25346,15.77297
8.30000,0.69176,328.95035,0.01268,1.26815,15.93358
8.40000,0.70002,332.21215,0.01282,1.28195,16.09157
8.50000,0.70839,335.04502,0.01296,1.29617,16.22879
8.60000,0.71664,338.35163,0.01311,1.31059,16.38896
8.70000,0.72489,341.20982,0.01325,1.32459,16.52740
8.80000,0.73344,343.85992,0.01339,1.33916,16.65576
8.90000,0.74169,347.38595,0.01354,1.35357,16.82656
9.00000,0.75000,350.75608,0.01367,1.36738,16.98980
9.10000,0.75843,353.36041,0.01382,1.38152,17.11595
9.20000,0.76662,356.75408,0.01396,1.39606,17.28033
9.30000,0.77493,359.83329,0.01410,1.41021,17.42948
9.40000,0.78336,362.94372,0.01425,1.42492,17.58014
9.50000,0.79161,365.71207,0.01439,1.43925,17.71423
9.60000,0.79992,368.63096,0.01454,1.45378,17.85562
9.70000,0.80835,371.70921,0.01468,1.46790,18.00472
9.80000,0.81660,373.93973,0.01482,1.48197,18.11276
9.90000,0.82498,377.16846,0.01496,1.49635,18.26915
10.00000,0.83341,379.89111,0.01511,1.51090,18.40103
10.10000,0.84166,382.34931,0.01526,1.52560,18.52010
10.20000,0.84991,385.69553,0.01540,1.54035,18.68218
10.30000,0.85834,388.37402,0.01555,1.55521,18.81192
10.40000,0.86671,391.15907,0.01570,1.57005,18.94682
10.50000,0.87502,393.06004,0.01584,1.58405,19.03890
10.60000,0.88333,396.39245,0.01598,1.59848,19.20032
10.70000,0.89164,398.73733,0.01613,1.61268,19.31390
