Time,Extension,Load,Strain 1,Tensile strain,Tensile stress
(sec),(mm),(N),(mm/mm),(%),(MPa)
0.00000,0.00006,23.07893,0.00095,0.09453,1.02186
0.10000,0.00419,24.35047,0.00097,0.09740,1.07816
0.20000,0.01375,29.19243,0.00112,0.11227,1.29255
0.30000,0.02356,34.18463,0.00128,0.12752,1.51359
0.40000,0.03270,39.44954,0.00142,0.14155,1.74670
0.50000,0.04143,42.73921,0.00155,0.15473,1.89235
0.60000,0.04986,46.46900,0.00164,0.16428,2.05750
0.70000,0.05823,50.51366,0.00176,0.17649,2.23658
0.80000,0.06673,51.92782,0.00182,0.18241,2.29920
0.90000,0.07498,55.65262,0.00195,0.19461,2.46412
1.00000,0.08329,59.91760,0.00207,0.20675,2.65296
1.10000,0.09178,63.58501,0.00219,0.21950,2.81534
1.20000,0.10003,66.87098,0.00231,0.23067,2.96083
1.30000,0.10840,70.24354,0.00243,0.24263,3.11016
1.40000,0.11683,74.41484,0.00254,0.25399,3.29485
1.50000,0.12496,77.37618,0.00264,0.26440,3.42597
1.60000,0.13333,81.12252,0.00276,0.27579,3.59184
1.70000,0.14170,83.46518,0.00284,0.28370,3.69557
1.80000,0.14995,86.95548,0.00295,0.29494,3.85011
1.90000,0.15832,90.46758,0.00307,0.30663,4.00561
2.00000,0.16663,94.16140,0.00318,0.31776,4.16916
2.10000,0.17494,96.54327,0.00328,0.32814,4.27463
2.20000,0.18331,99.85828,0.00338,0.33842,4.42140
2.30000,0.19163,102.00153,0.00345,0.34542,4.51630
2.40000,0.19994,105.25348,0.00356,0.35608,4.66029
2.50000,0.20837,108.27946,0.00366,0.36558,4.79427
2.60000,0.21668,111.02809,0.00375,0.37510,4.91597
2.70000,0.22493,113.86232,0.00384,0.38377,5.04146
2.80000,0.23336,115.41722,0.00391,0.39063,5.11030
2.90000,0.24167,118.07121,0.00399,0.39941,5.22781
3.00000,0.24992,120.97707,0.00408,0.40791,5.35648
3.10000,0.25841,122.86667,0.00416,0.41603,5.44014
3.20000,0.26666,124.50048,0.00422,0.42166,5.51248
3.30000,0.27497,126.86142,0.00429,0.42893,5.61702
3.40000,0.28340,129.05940,0.00437,0.43655,5.71433
3.50000,0.29171,130.00582,0.00441,0.44113,5.75624
3.60000,0.30002,132.33318,0.00447,0.44715,5.85929
3.70000,0.30833,134.43786,0.00453,0.45317,5.95248
3.80000,0.31665,135.71811,0.00457,0.45704,6.00916
3.90000,0.32502,136.55220,0.00462,0.46225,6.04609
4.00000,0.33333,138.65241,0.00468,0.46805,6.13908
4.10000,0.34164,139.81495,0.00473,0.47275,6.19056
4.20000,0.34995,141.17401,0.00476,0.47636,6.25073
4.30000,0.35826,143.02070,0.00481,0.48143,6.33250
4.40000,0.36663,144.42875,0.00486,0.48551,6.39484
4.50000,0.37500,145.10852,0.00488,0.48795,6.42494
4.60000,0.38331,146.34449,0.00493,0.49277,6.47966
4.70000,0.39168,147.95001,0.00496,0.49584,6.55075
4.80000,0.39999,148.79238,0.00499,0.49931,6.58805
4.90000,0.40824,150.47994,0.00504,0.50358,6.66277
5.00000,0.41667,150.67765,0.00506,0.50604,6.67152
5.10000,0.42504,152.13457,0.00510,0.50978,6.73603
5.20000,0.43335,153.04310,0.00514,0.51365,6.77626
5.30000,0.44166,153.64455,0.00517,0.51681,6.80289
5.40000,0.45010,155.66894,0.00521,0.52148,6.89252
5.50000,0.45835,156.43247,0.00524,0.52391,6.92633
5.60000,0.46666,157.86742,0.00529,0.52852,6.98986
5.70000,0.47503,158.94519,0.00532,0.53155,7.03758
5.80000,0.48334,160.77987,0.00534,0.53449,7.11882
5.90000,0.49165,161.30776,0.00537,0.53738,7.14219
6.00000,0.50002,161.95625,0.00541,0.54051,7.17090
6.10000,0.50827,163.21680,0.00543,0.54338,7.22671
