Time,Extension,Load,Strain 1,Tensile strain,Tensile stress
(sec),(mm),(N),(mm/mm),(%),(MPa)
0.00000,0.00006,27.57632,0.00127,0.12661,1.41219
0.10000,0.00419,29.28941,0.00129,0.12942,1.49991
0.20000,0.01375,33.94675,0.00144,0.14414,1.73842
0.30000,0.02356,39.59481,0.00160,0.16030,2.02765
0.40000,0.03270,44.67929,0.00175,0.17536,2.28803
0.50000,0.04143,49.92220,0.00189,0.18930,2.55652
0.60000,0.04986,54.82741,0.00203,0.20324,2.80772
0.70000,0.05823,58.57431,0.00217,0.21713,2.99960
0.80000,0.06667,62.82763,0.00231,0.23081,3.21741
0.90000,0.07498,67.60179,0.00245,0.24490,3.46189
1.00000,0.08329,71.78765,0.00258,0.25817,3.67625
1.10000,0.09178,76.13836,0.00272,0.27185,3.89905
1.20000,0.10003,80.15322,0.00285,0.28535,4.10465
1.30000,0.10840,84.96523,0.00298,0.29836,4.35108
1.40000,0.11683,89.38520,0.00313,0.31279,4.57742
1.50000,0.12496,93.34507,0.00326,0.32577,4.78021
1.60000,0.13339,97.11515,0.00340,0.33965,4.97328
1.70000,0.14170,101.53921,0.00354,0.35370,5.19983
1.80000,0.14989,105.29448,0.00367,0.36666,5.39214
1.90000,0.15832,109.78139,0.00381,0.38067,5.62192
2.00000,0.16663,113.44638,0.00394,0.39390,5.80960
2.10000,0.17494,117.97399,0.00408,0.40774,6.04146
2.20000,0.18331,121.77865,0.00421,0.42139,6.23630
2.30000,0.19163,125.37433,0.00435,0.43454,6.42043
2.40000,0.19994,129.56396,0.00449,0.44857,6.63498
2.50000,0.20837,133.24248,0.00463,0.46258,6.82336
2.60000,0.21668,137.69901,0.00477,0.47661,7.05158
2.70000,0.22493,141.79510,0.00490,0.49007,7.26134
2.80000,0.23336,145.62238,0.00504,0.50394,7.45734
2.90000,0.24167,149.57449,0.00517,0.51679,7.65972
3.00000,0.24992,153.33062,0.00531,0.53069,7.85208
3.10000,0.25841,156.68314,0.00545,0.54483,8.02376
3.20000,0.26666,160.37492,0.00558,0.55840,8.21282
3.30000,0.27497,164.53828,0.00572,0.57225,8.42602
3.40000,0.28346,169.10277,0.00587,0.58651,8.65977
3.50000,0.29171,172.77508,0.00600,0.60021,8.84783
3.60000,0.30002,176.53874,0.00614,0.61393,9.04057
3.70000,0.30839,180.03923,0.00627,0.62747,9.21983
3.80000,0.31665,183.17602,0.00641,0.64060,9.38046
3.90000,0.32502,187.77148,0.00655,0.65482,9.61580
4.00000,0.33333,191.16370,0.00668,0.66837,9.78951
4.10000,0.34164,193.53145,0.00677,0.67723,9.91076
4.20000,0.34995,196.86695,0.00690,0.69036,10.08158
4.30000,0.35826,200.73203,0.00704,0.70418,10.27951
4.40000,0.36657,204.43602,0.00718,0.71807,10.46919
4.50000,0.37500,208.34371,0.00732,0.73160,10.66930
4.60000,0.38337,212.56695,0.00746,0.74570,10.88557
4.70000,0.39162,215.61338,0.00759,0.75949,11.04158
4.80000,0.39999,218.96786,0.00773,0.77323,11.21336
4.90000,0.40824,223.06221,0.00787,0.78677,11.42304
5.00000,0.41661,226.37672,0.00801,0.80072,11.59277
5.10000,0.42504,229.59355,0.00814,0.81435,11.75751
5.20000,0.43335,234.28798,0.00828,0.82795,11.99791
5.30000,0.44166,237.47431,0.00842,0.84196,12.16108
5.40000,0.45010,241.55246,0.00856,0.85638,12.36992
5.50000,0.45829,244.65239,0.00870,0.87021,12.52867
5.60000,0.46666,248.30520,0.00885,0.88476,12.71573
5.70000,0.47503,252.21866,0.00899,0.89860,12.91614
5.80000,0.48334,255.12963,0.00912,0.91202,13.06521
5.90000,0.49171,259.15815,0.00926,0.92575,13.27151
6.00000,0.50002,262.72503,0.00940,0.93986,13.45417
6.10000,0.50827,266.04352,0.00954,0.95378,13.62411
6.20000,0.51664,269.64317,0.00967,0.96746,13.80845
6.30000,0.52495,272.78608,0.00982,0.98150,13.96940
6.40000,0.53326,276.86425,0.00996,0.99580,14.17824
6.50000,0.54169,279.72234,0.01009,1.00935,14.32461
6.60000,0.55000,283.60207,0.01024,1.02369,14.52329
6.70000,0.55831,286.88912,0.01037,1.03710,14.69162
6.80000,0.56674,290.36768,0.01051,1.05112,14.86976
6.90000,0.57500,294.03351,0.01065,1.06548,15.05748
7.00000,0.58331,296.93979,0.01079,1.07904,15.20632
7.10000,0.59174,299.65520,0.01093,1.09330,15.34537
7.20000,0.59993,303.17225,0.01107,1.10685,15.52548
7.30000,0.60818,306.16301,0.01120,1.12008,15.67864
7.40000,0.61673,309.80743,0.01134,1.13428,15.86527
7.50000,0.62498,313.40823,0.01148,1.14841,16.04967
7.60000,0.63329,317.06176,0.01163,1.16261,16.23676
7.70000,0.64178,320.08158,0.01177,1.17668,16.39141
7.80000,0.64997,323.13296,0.01191,1.19091,16.54767
7.90000,0.65828,326.69927,0.01205,1.20460,16.73030
