Time,Extension,Load,Strain 1,Tensile strain,Tensile stress
(sec),(mm),(N),(mm/mm),(%),(MPa)
0.00000,0.00006,33.01998,0.00140,0.14010,1.80842
0.10000,0.00419,34.32147,0.00143,0.14306,1.87970
0.20000,0.01381,39.16383,0.00158,0.15825,2.14491
0.30000,0.02356,44.89749,0.00174,0.17446,2.45892
0.40000,0.03270,48.16488,0.00190,0.18975,2.63787
0.50000,0.04149,53.42286,0.00204,0.20432,2.92584
0.60000,0.04986,57.64089,0.00219,0.21884,3.15685
0.70000,0.05823,61.20711,0.00232,0.23229,3.35216
0.80000,0.06667,65.82568,0.00246,0.24609,3.60511
0.90000,0.07498,69.59292,0.00260,0.25961,3.81143
1.00000,0.08329,73.36114,0.00273,0.27300,4.01781
1.10000,0.09178,77.12009,0.00288,0.28751,4.22368
1.20000,0.10003,81.29550,0.00301,0.30135,4.45235
1.30000,0.10840,85.33812,0.00315,0.31527,4.67376
1.40000,0.11683,90.01362,0.00330,0.32979,4.92982
1.50000,0.12496,92.34267,0.00343,0.34258,5.05738
1.60000,0.13333,96.73334,0.00357,0.35695,5.29784
1.70000,0.14170,100.14926,0.00370,0.37032,5.48493
1.80000,0.14989,103.94682,0.00384,0.38375,5.69291
1.90000,0.15832,107.83415,0.00398,0.39754,5.90581
2.00000,0.16663,111.72921,0.00412,0.41167,6.11913
2.10000,0.17494,115.68004,0.00426,0.42609,6.33551
2.20000,0.18331,118.72889,0.00439,0.43916,6.50249
2.30000,0.19163,121.82918,0.00451,0.45079,6.67228
2.40000,0.19994,124.87950,0.00463,0.46263,6.83934
2.50000,0.20837,128.84928,0.00476,0.47633,7.05675
2.60000,0.21668,132.17441,0.00490,0.49025,7.23886
2.70000,0.22493,135.85485,0.00504,0.50389,7.44043
2.80000,0.23336,139.96350,0.00518,0.51791,7.66545
2.90000,0.24167,143.06000,0.00532,0.53175,7.83504
3.00000,0.24992,146.84163,0.00546,0.54574,8.04215
3.10000,0.25841,150.13780,0.00560,0.55983,8.22267
3.20000,0.26666,153.25161,0.00573,0.57304,8.39321
3.30000,0.27497,156.85097,0.00587,0.58689,8.59034
3.40000,0.28346,161.32843,0.00601,0.60084,8.83556
3.50000,0.29171,164.37442,0.00615,0.61472,9.00238
3.60000,0.30002,167.24409,0.00629,0.62910,9.15954
3.70000,0.30839,171.51269,0.00643,0.64250,9.39332
3.80000,0.31665,174.89607,0.00656,0.65606,9.57862
3.90000,0.32502,178.33466,0.00670,0.66983,9.76695
4.00000,0.33333,182.05653,0.00684,0.68367,9.97078
4.10000,0.34164,185.49152,0.00698,0.69776,10.15891
4.20000,0.34995,188.87827,0.00712,0.71163,10.34439
4.30000,0.35826,191.69269,0.00726,0.72574,10.49853
4.40000,0.36657,195.44500,0.00740,0.73960,10.70404
4.50000,0.37500,199.33900,0.00754,0.75356,10.91730
4.60000,0.38337,202.80352,0.00768,0.76751,11.10704
4.70000,0.39162,205.58464,0.00781,0.78083,11.25936
4.80000,0.39999,208.95104,0.00795,0.79520,11.44373
4.90000,0.40824,212.59671,0.00809,0.80910,11.64339
5.00000,0.41667,215.91804,0.00823,0.82313,11.82529
5.10000,0.42504,219.09256,0.00837,0.83737,11.99916
5.20000,0.43335,222.07219,0.00851,0.85050,12.16234
5.30000,0.44166,225.60579,0.00865,0.86468,12.35587
5.40000,0.45010,229.31541,0.00879,0.87852,12.55903
5.50000,0.45829,232.64531,0.00892,0.89198,12.74140
5.60000,0.46666,235.38689,0.00906,0.90610,12.89155
5.70000,0.47503,239.42816,0.00920,0.92003,13.11288
5.80000,0.48334,242.63558,0.00934,0.93396,13.28855
5.90000,0.49165,244.44694,0.00948,0.94816,13.38775
6.00000,0.50002,248.85386,0.00962,0.96249,13.62911
6.10000,0.50827,251.59456,0.00976,0.97630,13.77921
6.20000,0.51664,255.00292,0.00990,0.98988,13.96588
6.30000,0.52501,256.64493,0.01000,1.00006,14.05580
