File name: osso23_p1_intacto_10MHz_rep1_med1.txt
Dia: terça-feira, 18 de fevereiro de 2020
Hora: 13:22

Frequency (min) -6dB: 7,86MHz
Frequency (central): 8,75MHz
Frequency (max) -6dB: 9,84MHz
FSAB:  -4,53 dB/MHz
AIB: -18,88 dB
IRC: -10,37 dB
Frequency (superior limit): 12,00MHz
Reflection duration: 982,1ns
Backscatter duration: 2,0us
Sample (initial): 33,9us
Reference (initial): 46,9us
dF (PDS): 78,1kHz

ABTF	Linear regression
-15,701374	-8,540532
-16,054959	-8,853891
-16,408543	-9,148812
-16,762128	-9,426187
-17,115712	-9,687209
-17,469296	-9,933300
-17,822881	-10,166018
-18,176465	-10,386951
-18,530050	-10,597584
-18,883634	-10,799167
-19,237218	-10,992558
-19,590803	-11,178063
-19,944387	-11,355266
-20,297971	-11,522862
-20,651556	-11,678503
-21,005140	-11,818698
-21,358725	-11,938811
-21,712309	-12,033234
-22,065893	-12,095795
-22,419478	-12,120459
-22,773062	-12,102310
-23,126647	-12,038654
-23,480231	-11,930016
-23,833815	-11,780704
-24,187400	-11,598716
