File name: osso23_p1_intacto_10MHz_rep1_med3.txt
Dia: terça-feira, 18 de fevereiro de 2020
Hora: 13:24

Frequency (min) -6dB: 7,86MHz
Frequency (central): 8,75MHz
Frequency (max) -6dB: 9,84MHz
FSAB:   0,37 dB/MHz
AIB: -28,04 dB
IRC: -17,88 dB
Frequency (superior limit): 12,00MHz
Reflection duration: 982,1ns
Backscatter duration: 2,0us
Sample (initial): 35,4us
Reference (initial): 46,9us
dF (PDS): 78,1kHz

ABTF	Linear regression
-29,663617	-15,868596
-29,635074	-15,499308
-29,606531	-15,249002
-29,577988	-15,099455
-29,549444	-15,038739
-29,520901	-15,059496
-29,492358	-15,157926
-29,463815	-15,333240
-29,435272	-15,587429
-29,406728	-15,925295
-29,378185	-16,354730
-29,349642	-16,887247
-29,321099	-17,538807
-29,292556	-18,330915
-29,264012	-19,291740
-29,235469	-20,455977
-29,206926	-21,858336
-29,178383	-23,500959
-29,149840	-25,229677
-29,121296	-26,433815
-29,092753	-26,148244
-29,064210	-24,468297
-29,035667	-22,384604
-29,007124	-20,447280
-28,978581	-18,789045
