File name: osso25_p1_intacto_10MHz_rep1_med2.txt
Dia: terça-feira, 18 de fevereiro de 2020
Hora: 13:26

Frequency (min) -6dB: 7,86MHz
Frequency (central): 8,75MHz
Frequency (max) -6dB: 9,84MHz
FSAB:   5,18 dB/MHz
AIB: -21,11 dB
IRC:  -7,52 dB
Frequency (superior limit): 12,00MHz
Reflection duration: 982,1ns
Backscatter duration: 2,0us
Sample (initial): 34,7us
Reference (initial): 46,9us
dF (PDS): 78,1kHz

ABTF	Linear regression
-27,081744	-22,201627
-26,676774	-18,968469
-26,271804	-15,673264
-25,866835	-13,220495
-25,461865	-11,371702
-25,056896	-9,930708
-24,651926	-8,778090
-24,246956	-7,840377
-23,841987	-7,070584
-23,437017	-6,437663
-23,032048	-5,920696
-22,627078	-5,505572
-22,222108	-5,183010
-21,817139	-4,947340
-21,412169	-4,795727
-21,007200	-4,727640
-20,602230	-4,744415
-20,197260	-4,848772
-19,792291	-5,044076
-19,387321	-5,332983
-18,982352	-5,714850
-18,577382	-6,180833
-18,172412	-6,705178
-17,767443	-7,231934
-17,362473	-7,661745
