Time,Extension,Load,Strain 1,Tensile strain,Tensile stress
(sec),(mm),(N),,(%),(MPa)
0.00000,0.00000,10.90159,0.00000,0.00000,0.26332
0.10000,0.00078,11.71387,0.00000,0.00311,0.28294
0.20000,0.00448,16.00997,0.00000,0.01794,0.38671
0.30000,0.00879,18.68509,0.00000,0.03516,0.45133
0.40000,0.01268,20.83446,0.00000,0.05070,0.50325
0.50000,0.01638,22.67606,0.00000,0.06553,0.54773
0.60000,0.01985,23.59798,0.00000,0.07940,0.57000
0.70000,0.02320,22.69348,0.00000,0.09279,0.54815
0.80000,0.02667,21.23794,0.00000,0.10666,0.51299
0.90000,0.03001,20.95933,0.00000,0.12006,0.50626
1.00000,0.03324,20.57176,0.00000,0.13297,0.49690
1.10000,0.03659,20.47872,0.00000,0.14636,0.49465
1.20000,0.03994,19.85904,0.00000,0.15976,0.47969
1.30000,0.04323,19.81690,0.00000,0.17291,0.47867
1.40000,0.04664,19.92013,0.00000,0.18654,0.48116
1.50000,0.04998,19.78420,0.00000,0.19994,0.47788
1.60000,0.05333,19.31759,0.00000,0.21333,0.46661
1.70000,0.05662,18.93012,0.00000,0.22648,0.45725
1.80000,0.05985,19.65430,0.00000,0.23940,0.47474
1.90000,0.06326,19.55165,0.00000,0.25303,0.47226
2.00000,0.06655,19.39395,0.00000,0.26618,0.46845
2.10000,0.06989,19.51519,0.00000,0.27958,0.47138
2.20000,0.07330,19.56737,0.00000,0.29321,0.47264
2.30000,0.07665,19.62307,0.00000,0.30660,0.47399
2.40000,0.07994,20.14822,0.00000,0.31975,0.48667
2.50000,0.08329,19.95689,0.00000,0.33315,0.48205
2.60000,0.08658,19.30711,0.00000,0.34630,0.46636
2.70000,0.08998,19.34862,0.00000,0.35993,0.46736
2.80000,0.09333,19.64348,0.00000,0.37333,0.47448
2.90000,0.09668,19.40726,0.00000,0.38672,0.46877
3.00000,0.10009,19.51318,0.00000,0.40035,0.47133
3.10000,0.10338,19.07912,0.00000,0.41350,0.46085
3.20000,0.10660,19.87642,0.00000,0.42642,0.48011
3.30000,0.11001,19.35792,0.00000,0.44005,0.46758
3.40000,0.11330,19.96335,0.00000,0.45320,0.48221
3.50000,0.11659,19.28763,0.00000,0.46636,0.46588
3.60000,0.12000,19.49791,0.00000,0.47999,0.47096
3.70000,0.12329,19.59223,0.00000,0.49314,0.47324
3.80000,0.12663,20.01254,0.00000,0.50654,0.48339
3.90000,0.12992,19.80280,0.00000,0.51969,0.47833
4.00000,0.13315,19.76037,0.00000,0.53260,0.47730
4.10000,0.13656,19.76585,0.00000,0.54624,0.47744
4.20000,0.13991,19.85278,0.00000,0.55963,0.47954
4.30000,0.14332,20.24984,0.00000,0.57326,0.48913
