Time,Extension,Load,Strain 1,Tensile strain,Tensile stress
(sec),(mm),(N),,(%),(MPa)
0.00000,0.00000,-0.76132,0.00000,0.00000,-0.01259
0.10000,0.00102,0.73940,0.00000,0.00407,0.01223
0.20000,0.00508,9.81419,0.00000,0.02033,0.16227
0.30000,0.01058,23.12683,0.00000,0.04233,0.38239
0.40000,0.01578,35.60071,0.00000,0.06314,0.58864
0.50000,0.02039,45.14206,0.00000,0.08155,0.74640
0.60000,0.02469,52.19986,0.00000,0.09877,0.86309
0.70000,0.02900,59.70094,0.00000,0.11599,0.98712
0.80000,0.03330,65.98484,0.00000,0.13321,1.09102
0.90000,0.03755,72.91143,0.00000,0.15019,1.20555
1.00000,0.04179,79.46631,0.00000,0.16717,1.31393
1.10000,0.04586,85.90787,0.00000,0.18343,1.42043
1.20000,0.04992,92.88482,0.00000,0.19970,1.53579
1.30000,0.05417,99.14762,0.00000,0.21668,1.63935
1.40000,0.05835,105.49966,0.00000,0.23342,1.74437
1.50000,0.06260,112.90696,0.00000,0.25040,1.86685
1.60000,0.06678,119.95592,0.00000,0.26714,1.98340
1.70000,0.07085,125.64678,0.00000,0.28340,2.07749
1.80000,0.07504,132.28662,0.00000,0.30014,2.18728
1.90000,0.07910,138.99534,0.00000,0.31641,2.29820
2.00000,0.08335,144.88512,0.00000,0.33339,2.39559
2.10000,0.08759,151.59453,0.00000,0.35037,2.50652
2.20000,0.09172,157.56277,0.00000,0.36687,2.60520
2.30000,0.09590,164.73989,0.00000,0.38361,2.72387
2.40000,0.10003,171.14254,0.00000,0.40011,2.82974
2.50000,0.10415,177.92047,0.00000,0.41661,2.94181
2.60000,0.10834,185.02250,0.00000,0.43335,3.05923
2.70000,0.11258,190.96314,0.00000,0.45033,3.15746
2.80000,0.11677,198.04402,0.00000,0.46708,3.27454
2.90000,0.12083,204.42219,0.00000,0.48334,3.38000
3.00000,0.12496,211.50291,0.00000,0.49984,3.49707
3.10000,0.12921,218.30779,0.00000,0.51682,3.60959
3.20000,0.13333,224.50632,0.00000,0.53332,3.71208
3.30000,0.13770,231.40770,0.00000,0.55078,3.82619
3.40000,0.14170,236.86762,0.00000,0.56680,3.91646
3.50000,0.14583,243.19575,0.00000,0.58331,4.02109
3.60000,0.15001,250.30368,0.00000,0.60005,4.13862
3.70000,0.15420,255.81180,0.00000,0.61679,4.22969
3.80000,0.15844,263.33558,0.00000,0.63377,4.35409
3.90000,0.16263,269.78420,0.00000,0.65051,4.46072
4.00000,0.16663,276.79119,0.00000,0.66653,4.57657
4.10000,0.17076,283.70922,0.00000,0.68304,4.69096
4.20000,0.17494,290.75013,0.00000,0.69978,4.80738
4.30000,0.17925,298.06446,0.00000,0.71700,4.92831
4.40000,0.18349,305.43071,0.00000,0.73398,5.05011
4.50000,0.18756,312.17483,0.00000,0.75024,5.16162
4.60000,0.19163,321.13548,0.00000,0.76650,5.30978
